Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007   ,2.38   ,2.60   ,4.36   ,1.88   ,1.55   ,5.26  ,-3.01   ,3.29   ,2.29   ,0.17   ,2.67   ,4.18   ,5.39   ,1.31   ,0.93   ,5.13   ,7.25   ,2.72   ,1.41   ,0.58   ,7.09   ,3.77   ,6.45   ,4.39   ,4.76
199008   ,0.15   ,2.63   ,2.18   ,0.45  ,-1.67  ,-4.60  ,-3.55  ,-4.36  ,-2.47   ,6.96  ,-7.97 ,-15.38  ,-3.49 ,-11.83  ,-6.69  ,-2.78  ,-4.47 ,-10.89  ,-5.94  ,-6.13  ,-8.19  ,-9.63  ,-2.65  ,-5.84 ,-12.29
199009  ,-3.77  ,-4.91  ,-4.22  ,-0.81  ,-5.40  ,-6.66  ,-9.81  ,-4.99  ,-0.76  ,-0.29  ,-4.08  ,-6.81  ,-1.75  ,-7.29  ,-4.57  ,-4.51  ,-4.51  ,-6.97  ,-5.84  ,-7.19  ,-9.80  ,-8.15  ,-5.70 ,-10.36 ,-11.83
199010 ,-13.81  ,-9.82  ,-8.47  ,-8.11 ,-10.21   ,0.49  ,-7.60  ,-1.46  ,-8.61  ,-7.04  ,-3.37 ,-12.63  ,-5.32  ,-3.90  ,-4.31  ,-5.46  ,-6.56  ,-1.73  ,-8.97  ,-1.52   ,1.62   ,0.55  ,-5.38  ,-0.76   ,2.37
199011  ,-5.02  ,-5.17  ,-2.93  ,-2.57  ,-2.85   ,3.46  ,-1.98  ,-5.44  ,-1.50  ,-7.24  ,-3.75  ,-4.11  ,-4.35  ,-6.01  ,-2.06  ,-9.20  ,-4.28  ,-4.36  ,-2.09  ,-4.09  ,-2.28  ,-1.86  ,-3.01   ,1.93  ,-2.79
199012  ,-6.33  ,-3.48  ,-2.20  ,-3.78  ,-2.98  ,-2.54  ,-1.63  ,-1.61  ,-3.64   ,0.14  ,-2.07  ,-4.34  ,-3.12  ,-3.67  ,-1.95  ,-2.66   ,0.01  ,-1.75  ,-1.38  ,-0.04   ,2.99   ,1.09  ,-3.09  ,-0.89  ,-0.55
199101   ,1.15  ,-2.23   ,3.15   ,0.97   ,0.07   ,3.04   ,6.17   ,5.35   ,1.67   ,3.31   ,3.53   ,0.73   ,2.09   ,5.01   ,6.43   ,1.99   ,4.99   ,3.83   ,5.97   ,3.42   ,5.42   ,5.57   ,4.14  ,10.08   ,8.33
199102  ,-0.42   ,4.50   ,8.84   ,4.72   ,2.21  ,11.72   ,8.25   ,4.92   ,9.90   ,3.69  ,10.14  ,16.67   ,6.43  ,14.11   ,6.71   ,4.62  ,10.04  ,10.56  ,11.19  ,10.16   ,9.80   ,9.84   ,8.31   ,5.66  ,13.37
199103   ,1.39   ,1.39   ,6.45   ,2.14   ,2.99  ,-0.71   ,6.05  ,-2.27   ,3.46   ,1.89  ,-0.88   ,0.65  ,-0.10   ,0.46   ,2.79   ,1.63   ,3.92   ,3.07   ,0.09   ,1.39   ,1.94   ,3.94   ,2.14   ,4.21   ,2.96
199104   ,1.86   ,5.24   ,8.02   ,3.13   ,6.30  ,-0.12   ,5.55  ,10.48   ,6.16   ,5.45   ,2.61  ,-1.49   ,7.58  ,-0.30   ,3.82   ,5.13   ,8.84   ,3.29   ,1.41   ,1.63   ,0.72   ,3.54   ,5.40   ,2.92   ,0.09
199105  ,-0.76  ,-0.08  ,-2.27  ,-1.06  ,-2.75  ,-2.55   ,2.08  ,-2.94  ,-2.74   ,3.57  ,-3.87  ,-2.28  ,-3.42  ,-4.14  ,-1.66  ,-3.15  ,-0.10  ,-0.27  ,-1.27  ,-1.60  ,-2.02  ,-0.32  ,-0.66   ,1.43   ,4.18
199106   ,2.00   ,0.15   ,5.44   ,1.58   ,1.21  ,-3.03   ,0.70  ,-0.33   ,0.31   ,5.04  ,-0.52  ,-0.78  ,-1.93  ,-5.89  ,-2.10   ,5.65   ,0.89  ,-0.49  ,-2.38  ,-1.33  ,-1.08  ,-0.04   ,1.72  ,-0.18  ,-2.22
199107  ,-0.35  ,11.19   ,4.37   ,5.50   ,7.04   ,4.66   ,2.17   ,4.86  ,12.92   ,4.93   ,2.81   ,2.51   ,3.86   ,4.99   ,5.34   ,3.81   ,7.84   ,2.40   ,2.93   ,7.65   ,3.61   ,6.66   ,7.73   ,7.34   ,9.62
199108  ,-3.86  ,-3.38   ,0.28   ,0.66  ,-1.07  ,-4.94  ,-1.95  ,-0.54  ,-2.76   ,0.15   ,0.37  ,-1.15  ,-1.03   ,2.45  ,-3.37  ,-2.93   ,1.63  ,-1.96  ,-2.91  ,-1.82   ,0.41  ,-2.04  ,-1.63  ,-1.52   ,0.92
199109   ,1.91  ,-0.45   ,3.55   ,4.28   ,7.02   ,1.17  ,-1.83   ,2.19   ,2.61   ,2.34   ,1.50   ,3.52   ,2.32  ,-0.01   ,1.19  ,-1.10   ,0.39  ,-0.81   ,3.18   ,3.41   ,0.26   ,1.27   ,1.92   ,1.50   ,0.79
199110  ,-0.39   ,2.74   ,4.02   ,7.35   ,9.76   ,1.93   ,6.05   ,3.12   ,1.40   ,6.22   ,3.54   ,7.97   ,2.91   ,3.31   ,2.86   ,0.47   ,4.99   ,2.87   ,5.58   ,1.34   ,4.60   ,4.90   ,3.24   ,5.05   ,4.41
199111   ,3.91  ,-0.26   ,0.78   ,1.35   ,3.68   ,0.84   ,2.42   ,0.05   ,3.50   ,0.47   ,3.37   ,4.77  ,-0.18   ,5.88   ,1.97   ,4.46   ,2.54   ,0.85   ,0.44   ,0.30   ,2.03  ,-1.47  ,-2.66   ,0.75  ,-0.64
199112  ,-5.36  ,-2.11   ,0.16  ,-1.51  ,-1.94   ,2.23  ,-0.97  ,-0.32   ,0.10  ,-1.93   ,2.31   ,1.56  ,-1.29   ,0.29  ,-0.86   ,2.19   ,3.32   ,2.49   ,2.55   ,0.64   ,2.46   ,1.56   ,3.04   ,1.63   ,1.47
199201   ,5.15  ,-0.46   ,1.16  ,-0.34   ,2.43   ,2.02   ,1.68   ,2.73  ,-1.05  ,-0.38   ,0.78   ,4.53   ,1.12   ,1.86   ,5.93   ,0.80  ,-1.06   ,0.35   ,2.04   ,2.34   ,1.23   ,1.32   ,0.41   ,0.98   ,5.33
199202  ,12.16   ,1.18   ,3.75   ,5.97   ,3.97  ,-1.19   ,6.33   ,1.95   ,1.38   ,1.95  ,-1.39   ,2.11   ,2.75   ,1.35  ,-0.77   ,1.19   ,3.07  ,-1.88   ,0.89   ,1.22   ,2.45   ,0.58   ,1.31   ,3.59   ,7.45
199203   ,1.64  ,-1.92   ,2.64   ,0.05   ,1.91  ,-2.44  ,-2.92  ,-1.97  ,-4.58  ,-1.08   ,1.68   ,2.09   ,1.39  ,-1.85  ,-1.00   ,1.29   ,1.24  ,-0.31   ,0.89   ,0.07   ,1.03  ,-0.58   ,0.55  ,-0.11  ,-1.19
199204  ,-0.10   ,2.10   ,0.83   ,1.92  ,-1.95  ,-4.74   ,2.70   ,4.94   ,3.84   ,1.05   ,2.94   ,3.67   ,5.87   ,7.43  ,-0.52   ,2.15   ,8.25   ,1.07   ,3.37   ,3.83   ,6.83   ,6.76   ,4.06   ,7.32   ,6.57
199205   ,7.89   ,2.84   ,5.28   ,9.05   ,4.90   ,7.42   ,3.71   ,2.95   ,5.60   ,9.23   ,6.70   ,4.72   ,8.75  ,11.07  ,11.58   ,5.52   ,8.35   ,4.89   ,9.32  ,14.42   ,4.82   ,7.80   ,4.16  ,12.63  ,14.46
199206  ,-0.49   ,0.43   ,0.65  ,-1.52  ,-2.87  ,-0.99  ,-1.89   ,0.24   ,0.64  ,-0.28  ,-3.25   ,0.42   ,0.18  ,-0.28  ,-0.10   ,2.75   ,2.69   ,0.80  ,-1.99  ,-0.49  ,-2.98  ,-0.64  ,-0.14  ,-1.84   ,0.13
199207   ,1.51   ,0.15   ,0.70   ,3.07   ,0.32  ,-5.07  ,-1.21   ,0.76  ,-3.51  ,-4.76   ,2.22  ,-2.36  ,-3.91  ,-1.18  ,-4.79  ,-2.07  ,-5.89  ,-2.53   ,0.21  ,-6.80  ,-2.21  ,-4.70  ,-2.75  ,-6.65   ,0.22
199208  ,-9.89  ,-5.02  ,-3.14  ,-2.89  ,-4.31  ,-7.13  ,-6.28  ,-7.49  ,-6.15  ,-5.93  ,-3.08  ,-4.18  ,-7.51  ,-5.60  ,-5.74  ,-6.80  ,-7.04  ,-7.05  ,-5.39  ,-6.87  ,-4.76  ,-7.53  ,-5.85  ,-7.44  ,-3.62
199209  ,-2.14  ,-1.08  ,-1.86   ,0.26  ,-1.02  ,-0.17  ,-4.13  ,-2.65  ,-2.75   ,2.65   ,2.58  ,-2.94  ,-2.45  ,-0.55  ,-0.07  ,-0.06  ,-3.86  ,-2.87  ,-1.32   ,0.53  ,-3.92  ,-3.37  ,-2.48  ,-1.83   ,0.51
199210  ,-2.98  ,-1.01  ,-2.12  ,-0.24  ,-0.75   ,2.86  ,-0.35   ,1.05   ,2.69   ,1.74  ,10.67   ,2.48   ,1.19   ,1.53   ,1.84   ,3.30   ,0.28  ,-5.22   ,1.64   ,5.90   ,5.03   ,0.47   ,0.43   ,4.16   ,9.32
199211  ,-2.52   ,1.76   ,2.06   ,0.54   ,1.20   ,4.14  ,-1.80   ,2.94  ,-0.57   ,2.44   ,1.02  ,-0.94  ,-1.07   ,3.63   ,0.97   ,1.33   ,2.15  ,-1.85  ,-1.01   ,0.34  ,-0.86  ,-4.20  ,-2.01  ,-5.01  ,-2.70
199212   ,4.66   ,2.37   ,2.92  ,11.39   ,1.99   ,3.32   ,2.28  ,-0.60   ,2.30  ,-0.53   ,1.74   ,1.81   ,2.13   ,1.02  ,-1.08   ,0.19   ,1.64   ,2.52   ,0.64  ,-4.55   ,4.35   ,0.97   ,2.91  ,-3.40  ,-4.21
199301   ,6.34   ,0.81   ,2.81   ,1.75   ,2.51   ,1.87   ,2.78   ,1.90   ,1.72   ,3.24   ,0.61   ,0.90   ,0.50   ,1.17   ,1.58   ,2.15   ,1.47   ,2.43   ,2.41   ,3.22   ,2.22  ,-0.86  ,-0.44   ,1.11   ,3.35
199302   ,5.24   ,5.37   ,6.44   ,7.41   ,9.33   ,3.01   ,8.60   ,8.40   ,7.04   ,6.06  ,11.41   ,7.21   ,8.70   ,5.04   ,6.89   ,7.39   ,3.78   ,3.20   ,9.36   ,5.49   ,7.32   ,8.76   ,8.60  ,12.08   ,9.52
