Date,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
199007   ,3.71   ,1.79  ,-1.47   ,0.48   ,2.05   ,1.75   ,0.49  ,-2.63  ,-0.77   ,2.30   ,5.12   ,1.57  ,-0.98   ,0.87   ,5.29   ,5.27   ,1.55   ,3.64  ,-0.86   ,6.50   ,4.89   ,5.90   ,6.36   ,4.64   ,3.64
199008   ,1.48  ,-2.74  ,-1.47  ,-1.66  ,-2.25   ,0.85   ,0.61  ,-2.71  ,-2.65   ,2.94 ,-12.69 ,-10.88  ,-5.14  ,-9.02  ,-4.18  ,-4.35  ,-4.46  ,-5.98  ,-9.05  ,-3.27  ,-7.11  ,-5.35  ,-5.90 ,-10.09  ,-8.40
199009  ,-3.61  ,-2.51  ,-4.07  ,-4.38  ,-7.10  ,-2.17  ,-2.88  ,-8.31  ,-2.12  ,-3.07  ,-3.04  ,-6.15  ,-2.22 ,-10.20  ,-4.80  ,-7.35  ,-4.21  ,-9.25  ,-6.75  ,-2.46  ,-3.82  ,-6.30 ,-10.20 ,-11.25 ,-11.46
199010 ,-10.95  ,-7.17  ,-8.53  ,-6.92 ,-10.15  ,-7.70  ,-2.34  ,-9.07  ,-4.30  ,-9.52  ,-2.26  ,-4.44  ,-6.11   ,2.18 ,-10.13  ,-3.21  ,-3.74  ,-1.18  ,-6.24  ,-9.82  ,-5.70  ,-2.95   ,1.57   ,1.76   ,0.10
199011  ,-2.82  ,-4.44  ,-1.55  ,-5.72  ,-3.67  ,-4.44  ,-0.73  ,-2.62  ,-0.26  ,-6.28  ,-5.91  ,-2.95  ,-4.24  ,-3.91  ,-5.38  ,-4.79  ,-2.60  ,-2.31 ,-10.69  ,-3.61  ,-3.99  ,-1.26  ,-2.55  ,-0.40  ,-1.29
199012  ,-4.63  ,-1.90  ,-3.27  ,-1.75  ,-3.19  ,-0.75  ,-1.76  ,-0.24  ,-1.42  ,-4.91  ,-3.12  ,-6.92  ,-2.32  ,-1.53  ,-4.72  ,-0.03   ,0.65   ,0.43  ,-0.26  ,-3.95  ,-2.73  ,-1.31   ,1.90   ,0.22   ,0.01
199101  ,-0.44   ,0.98   ,2.85   ,1.12   ,0.33   ,4.38   ,2.68   ,0.06   ,2.85   ,7.55   ,2.77   ,5.36   ,2.21   ,3.34   ,1.36   ,6.53   ,3.79   ,4.07   ,3.65   ,3.04   ,5.47   ,4.51   ,7.04   ,8.96   ,5.81
199102   ,3.12   ,4.42   ,4.32   ,6.19   ,2.45   ,9.33   ,9.53  ,-0.65   ,6.03   ,2.87  ,14.50   ,9.04   ,7.29   ,9.72  ,12.71  ,12.66   ,5.95  ,10.86  ,14.64   ,6.09   ,9.13   ,8.54   ,7.65  ,11.77   ,8.61
199103   ,3.67   ,3.89   ,1.59   ,1.82  ,-0.60   ,3.26   ,3.62   ,0.54   ,4.89  ,-2.65   ,4.02   ,3.65  ,-2.08  ,-0.32  ,-0.17   ,2.82  ,-0.36   ,3.05   ,0.25   ,2.87   ,4.60   ,1.23   ,3.58   ,2.80   ,4.41
199104   ,6.12   ,4.30   ,4.37   ,6.71   ,3.90   ,5.97   ,4.13   ,0.19  ,10.19   ,7.60  ,-1.18   ,4.03  ,-0.71  ,-1.81   ,3.96   ,3.10   ,3.46   ,9.16   ,1.77   ,3.12   ,5.84   ,5.71  ,-0.67   ,2.41   ,0.85
199105  ,-0.13  ,-0.96  ,-7.03  ,-5.31  ,-2.49   ,4.35  ,-2.87   ,4.89  ,-4.65  ,-0.62   ,0.44  ,-4.17  ,-4.72  ,-1.27  ,-4.36  ,-2.37  ,-2.64   ,0.28   ,0.06  ,-3.36  ,-4.04   ,0.45   ,1.18   ,2.14  ,-2.73
199106   ,1.96   ,1.02   ,1.14  ,-1.25   ,4.24   ,3.26   ,1.21   ,0.74   ,0.32  ,-1.29  ,-7.10  ,-1.06   ,0.99   ,0.33  ,-1.08  ,-1.40   ,0.04   ,0.30   ,3.79   ,0.68   ,2.44   ,1.39   ,0.03  ,-2.61  ,-1.20
199107   ,9.43   ,8.81   ,4.48   ,7.26   ,7.65   ,6.83   ,6.21  ,12.39   ,6.93   ,6.39   ,0.36   ,7.95   ,7.58   ,3.37   ,4.93   ,4.73   ,5.28   ,3.35   ,7.58   ,2.52   ,7.34   ,4.94  ,11.56   ,5.86   ,3.22
199108  ,-1.30  ,-0.98   ,0.21  ,-1.88  ,-0.14   ,1.98  ,-1.38  ,-4.30   ,2.29  ,-0.94   ,0.02  ,-1.21  ,-1.92  ,-3.01   ,2.68  ,-0.47  ,-2.86  ,-2.97   ,0.07  ,-2.62   ,0.17  ,-3.98  ,-0.35  ,-0.23  ,-1.71
199109   ,6.64   ,5.42   ,5.38   ,8.67   ,4.46   ,3.81   ,2.15   ,2.43   ,1.93   ,6.43   ,0.04   ,3.43   ,3.06   ,2.81   ,3.59   ,2.20   ,1.99   ,1.34  ,-0.56   ,4.06   ,2.45   ,0.47  ,-0.13   ,0.66   ,2.51
199110  ,13.66   ,6.42   ,5.48   ,8.67   ,2.36   ,7.02   ,2.50   ,4.51  ,-0.03  ,11.78   ,4.67   ,4.15   ,5.17  ,10.24   ,5.07   ,2.73   ,1.47   ,2.38   ,0.91   ,5.14   ,4.08   ,5.01   ,3.25   ,4.96   ,5.94
199111   ,3.09   ,0.00   ,2.69   ,3.05   ,3.07  ,-1.34   ,1.29  ,-0.23   ,0.30   ,3.16   ,0.49   ,0.02  ,-1.28   ,0.59   ,5.67  ,-0.55   ,0.42   ,3.77  ,-0.28   ,1.34  ,-3.57  ,-0.41   ,0.95   ,0.58   ,0.30
199112  ,-4.53  ,-0.46   ,0.65  ,-2.64  ,-0.75  ,-0.58  ,-0.98  ,-1.85  ,-1.41  ,-3.13   ,0.23  ,-0.44  ,-2.55  ,-2.75  ,-1.34  ,-0.30   ,2.58   ,0.42   ,3.25   ,3.37  ,-0.07   ,1.13   ,1.77   ,3.93   ,2.35
199201   ,3.15   ,1.99   ,3.10   ,2.20   ,4.27  ,-0.88   ,2.11  ,-2.01   ,3.17  ,-0.37   ,2.09   ,2.68   ,1.33  ,-2.76   ,6.63   ,0.86   ,3.00   ,1.88  ,-1.24   ,1.91   ,1.10  ,-0.11   ,2.65   ,1.14   ,4.77
199202   ,5.34   ,4.61   ,2.83   ,4.57   ,4.11   ,1.51   ,0.11   ,4.96   ,4.28   ,2.52   ,1.69   ,0.44  ,-0.20  ,-1.26   ,1.45   ,1.07   ,1.27   ,3.24   ,1.62  ,-0.38   ,3.40  ,-1.44   ,5.49   ,1.32   ,4.32
199203  ,-2.98   ,1.30   ,3.20   ,2.48   ,3.58  ,-3.05  ,-1.21 ,-12.19  ,-4.55  ,-3.44   ,1.49   ,1.07   ,3.75   ,1.20  ,-1.47   ,0.90  ,-0.67   ,2.07   ,0.75   ,0.19  ,-0.79  ,-1.52  ,-1.08   ,1.34   ,0.72
199204  ,-2.92   ,0.64  ,-0.97  ,-6.60  ,-0.99   ,2.07   ,2.91   ,1.73   ,3.02  ,-3.09   ,2.10   ,2.26   ,2.04   ,8.83   ,3.03   ,1.73   ,2.10   ,4.30   ,6.28   ,3.15   ,4.42   ,4.91   ,5.79   ,7.86   ,8.35
