Date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199011  ,-4.51  ,-4.86  ,-3.28  ,-2.25  ,-3.88  ,-5.86  ,-4.75  ,-5.13  ,-3.16  ,-5.20  ,-5.62  ,-4.73  ,-4.85   ,0.12  ,-6.25 ,-10.02  ,-9.03  ,-1.67  ,-1.30  ,-4.64  ,-3.19  ,-4.59  ,-2.04   ,0.33  ,-0.46
199012  ,-3.99  ,-1.92  ,-1.52  ,-1.68  ,-4.65  ,-4.40  ,-0.98   ,1.78   ,0.07  ,-3.59  ,-5.34  ,-2.44  ,-2.90  ,-2.99  ,-1.48  ,-5.25   ,0.36  ,-0.11   ,1.21  ,-2.20  ,-2.59  ,-2.29  ,-1.33   ,1.29   ,1.58
199101   ,1.72  ,-0.30   ,1.64   ,2.63   ,5.91   ,2.29   ,8.83   ,3.60   ,3.84   ,2.52   ,4.21   ,2.50   ,3.41   ,5.45   ,3.10   ,2.15   ,2.81   ,3.57   ,4.37   ,7.48   ,5.37   ,6.04   ,7.02   ,7.28   ,6.59
199102   ,7.26   ,7.48   ,7.81   ,5.33   ,9.38  ,18.22  ,15.18   ,8.55   ,6.30  ,12.12  ,16.64  ,11.26  ,11.15  ,14.03   ,9.22  ,13.67  ,15.64   ,9.69  ,10.97  ,13.78   ,8.67  ,12.53   ,9.59   ,6.87   ,7.86
199103   ,2.29   ,0.92  ,-0.36   ,3.07   ,4.58   ,0.01  ,-1.44   ,0.00   ,2.13   ,4.14  ,-3.18   ,4.93  ,-1.76   ,4.74   ,4.93   ,2.75   ,3.20   ,2.82  ,-0.01   ,5.45  ,-1.57   ,2.81   ,4.01   ,1.08   ,4.90
199104  ,-1.17   ,4.66   ,4.58   ,3.89   ,4.35   ,1.75   ,2.97   ,8.90   ,4.58  ,-1.24  ,-1.10   ,1.54   ,1.53  ,-1.18   ,2.71  ,-0.84   ,0.01   ,4.53   ,2.56   ,2.25   ,5.86   ,6.67   ,2.55   ,5.38  ,-0.99
199105  ,-5.43   ,0.17  ,-0.73  ,-0.31   ,0.17  ,-2.06   ,2.39   ,0.87   ,0.25  ,-0.32  ,-6.28   ,0.73  ,-1.28   ,0.97   ,5.11  ,-1.98   ,0.12  ,-1.24  ,-1.52  ,-1.35 ,-10.53  ,-3.22   ,4.10  ,-4.30   ,3.31
199106   ,5.37   ,0.19   ,0.83  ,-2.09   ,1.99  ,-0.97  ,-1.73   ,2.99   ,1.85   ,2.19  ,-2.66  ,-1.32  ,-1.79  ,-2.26  ,-1.95  ,-2.10   ,4.00  ,-1.39   ,1.03  ,-0.02  ,-4.70  ,-0.22  ,-0.18   ,0.32  ,-0.18
199107  ,11.76   ,2.31   ,2.76   ,7.54   ,6.65   ,6.68   ,3.20   ,5.60   ,3.05   ,7.41   ,4.26   ,5.49   ,4.48   ,5.52   ,0.49   ,7.04   ,0.67   ,2.55   ,5.49   ,9.38  ,10.40   ,6.13   ,4.15   ,6.60   ,9.07
199108  ,-3.56  ,-1.74  ,-1.21   ,2.06   ,1.78  ,-2.25  ,-2.65  ,-1.32  ,-3.13  ,-0.67  ,-2.62  ,-2.77   ,1.83   ,0.94   ,1.88  ,-4.06  ,-3.93  ,-2.07  ,-0.76   ,1.18  ,-0.23  ,-0.61  ,-2.56   ,0.22  ,-0.68
199109   ,3.37   ,0.85   ,1.21   ,3.66   ,9.98  ,-0.15  ,-0.09   ,2.89   ,1.11   ,4.25  ,-1.12   ,0.78   ,0.16   ,5.34   ,3.62   ,1.52  ,-0.15  ,-0.07   ,2.87   ,4.04   ,1.71   ,2.69   ,1.80   ,1.34  ,-0.45
199110   ,4.53   ,3.16   ,5.71   ,8.16  ,12.55   ,4.58   ,0.53   ,2.20   ,4.83   ,3.96   ,7.01   ,4.33   ,2.38   ,2.35   ,2.55   ,4.63   ,3.02   ,3.69  ,-0.41   ,1.92   ,6.17   ,4.23   ,6.12   ,3.38   ,3.41
199111   ,4.01   ,2.58   ,0.76   ,6.44   ,1.93   ,3.24   ,3.30  ,-1.24   ,3.18   ,0.40   ,1.45   ,3.39  ,-1.15   ,4.73   ,2.50   ,0.90   ,3.32   ,1.60   ,1.91   ,0.54   ,0.11  ,-0.63   ,0.68  ,-1.89  ,-0.11
199112  ,-2.95  ,-2.37  ,-3.28  ,-0.72  ,-2.62  ,-0.25   ,0.05  ,-1.37  ,-1.68  ,10.40  ,-3.18   ,1.12   ,0.58   ,2.35   ,1.70  ,-0.18   ,3.57   ,0.95   ,1.89   ,2.54   ,1.26   ,3.37   ,2.59  ,-0.18   ,4.35
199201  ,-0.75  ,-0.61   ,3.14   ,3.34   ,3.33   ,1.13   ,1.18   ,0.79   ,0.04   ,2.13   ,0.94   ,0.11   ,5.79   ,2.44   ,2.80   ,2.53   ,1.64   ,2.54   ,3.70   ,0.40   ,1.65   ,1.26  ,-0.09   ,4.22   ,1.40
199202   ,2.90   ,3.12   ,3.75   ,5.06   ,7.51   ,3.83   ,2.54   ,2.79   ,3.09   ,0.87  ,-0.43  ,-2.19   ,2.51   ,6.07   ,2.11   ,3.42  ,-1.49  ,-0.70   ,2.73   ,3.13  ,-1.07   ,1.92   ,0.66   ,3.91   ,8.05
199203   ,2.34  ,-1.07  ,-0.18   ,1.94  ,-1.04  ,-0.50  ,-0.72   ,2.63  ,-2.01  ,-0.18  ,-0.61   ,1.16   ,3.48   ,1.22  ,-0.77   ,0.35  ,-2.62   ,1.00   ,0.47   ,2.07   ,0.70  ,-0.89  ,-0.85  ,-0.75   ,2.80
199204   ,2.33   ,0.39   ,7.11   ,1.54   ,0.63   ,0.61   ,1.53   ,6.10   ,0.77   ,1.78   ,1.42   ,5.45  ,10.73   ,5.76   ,2.94   ,6.20   ,2.99   ,2.04   ,4.97   ,6.58   ,5.51   ,4.83   ,5.74   ,6.33   ,8.60
199205   ,8.79   ,1.87   ,9.47   ,5.11   ,3.84   ,6.87   ,8.85   ,8.40   ,8.13   ,6.11   ,3.91   ,6.44   ,8.84  ,11.47   ,6.06   ,6.11   ,7.45   ,8.15  ,11.14   ,9.02  ,-1.28   ,2.44   ,6.58  ,13.33  ,12.77
199206  ,-2.67  ,-1.06   ,1.97  ,-3.84  ,-0.69  ,-0.96  ,-2.84  ,-0.36  ,-0.88   ,0.31  ,-1.32   ,5.30  ,-1.03  ,-1.39   ,4.77  ,-1.93   ,0.01  ,-0.82   ,4.37   ,1.17  ,-2.26  ,-3.75  ,-3.02  ,-1.93   ,3.42
199207  ,-2.97  ,-0.37   ,1.12   ,2.11   ,6.34  ,-4.33  ,-1.64  ,-3.80  ,-6.51  ,-1.54  ,-3.86  ,-0.43  ,-4.61  ,-3.09  ,-1.38  ,-3.55  ,-1.11  ,-3.04  ,-2.11  ,-7.88  ,-2.21  ,-3.97  ,-3.44  ,-4.40  ,-2.29
199208  ,-8.21  ,-5.79  ,-4.29  ,-3.87   ,0.58  ,-7.41  ,-7.39  ,-6.58  ,-5.33  ,-3.00 ,-10.10  ,-6.08  ,-4.07  ,-4.72  ,-6.32 ,-10.85  ,-4.99  ,-4.52  ,-4.50  ,-7.55  ,-8.48  ,-8.28  ,-3.77  ,-5.73  ,-3.29
199209  ,-2.53  ,-0.21  ,-3.70   ,0.08  ,-2.07   ,0.79  ,-0.37  ,-0.42  ,-2.96  ,-0.91  ,-2.87  ,-2.88  ,-2.42  ,-1.76  ,-1.56  ,-2.35  ,-1.42  ,-3.46   ,1.28  ,-2.03  ,-4.30  ,-4.05  ,-2.67  ,-1.27  ,-0.62
199210   ,3.67  ,-0.92  ,-1.19  ,-3.17   ,2.08  ,-1.29   ,3.18   ,2.14   ,1.35   ,3.53   ,0.21   ,0.31  ,-0.31   ,5.32   ,5.15  ,-2.27  ,-2.82   ,0.37   ,4.84   ,4.56  ,-5.62  ,-7.34   ,5.80  ,10.50  ,11.05
199211   ,1.42   ,1.88  ,-0.03   ,0.17   ,1.82   ,2.78  ,-1.07  ,-1.53   ,1.75   ,3.25  ,-1.54  ,-0.05  ,-0.14   ,3.50   ,0.81  ,-1.04   ,0.42  ,-1.92  ,-0.02   ,0.34   ,1.36   ,0.26  ,-0.55  ,-6.08  ,-4.70
199212   ,1.80   ,0.83   ,1.95  ,10.15   ,8.18  ,-0.54   ,2.52   ,1.30   ,1.54  ,-0.89  ,-1.27   ,2.24   ,2.59  ,-1.38  ,-5.78   ,5.13   ,3.59   ,0.08  ,-2.49  ,-4.95  ,10.97   ,6.15   ,0.70  ,-4.68  ,-4.85
199301   ,3.26   ,2.12   ,2.26   ,2.64   ,3.20   ,2.46   ,1.82   ,2.59   ,2.35  ,-0.85   ,2.86  ,-0.09   ,1.23   ,3.32   ,2.44   ,2.86   ,1.36   ,0.61   ,3.03   ,1.51  ,-3.02  ,-3.31   ,2.82   ,2.38   ,4.32
199302   ,7.23   ,6.68   ,6.91   ,9.19   ,8.79  ,11.01   ,6.41   ,6.58   ,8.08   ,5.58   ,7.46   ,6.10   ,8.14   ,7.66   ,6.85   ,8.04   ,7.38   ,6.73   ,5.81  ,10.06   ,5.93   ,9.28   ,9.36   ,8.22   ,8.46
199303   ,9.21   ,6.57   ,4.34   ,8.06   ,5.17   ,6.24   ,4.04   ,5.31   ,4.97  ,11.51   ,5.82   ,5.55   ,3.73   ,2.35   ,7.06   ,6.82   ,6.63   ,2.56   ,6.59   ,6.90   ,3.35   ,4.43  ,-0.25  ,-1.58   ,4.74
