Date,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,ME1 BM1 HiOP,ME1 BM2 LoOP,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 HiOP,ME1 BM3 LoOP,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 HiOP,ME1 BM4 LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,ME2 BM1 HiOP,ME2 BM2 LoOP,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 HiOP,ME2 BM3 LoOP,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 HiOP,ME2 BM4 LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
199007     ,2.66     ,2.33     ,1.70     ,2.54    ,-9.12     ,6.77     ,1.23     ,3.42     ,6.25     ,2.56    ,-0.12     ,3.27     ,1.88     ,1.51    ,-3.84     ,0.40    ,11.32    ,13.41     ,6.00     ,6.18     ,7.47     ,1.66     ,3.58     ,5.78    ,-0.80     ,3.93     ,6.76     ,7.98     ,3.73     ,1.79     ,6.49     ,5.81
199008    ,-1.78    ,-1.56   ,-13.08    ,-1.98    ,-9.93    ,-3.91    ,-4.84    ,-4.06    ,-5.14    ,-4.48    ,-2.32    ,-1.05     ,4.55    ,13.77    ,-4.28    ,-4.80   ,-11.66     ,0.47   ,-11.83    ,-8.03   ,-13.84    ,-6.95    ,-3.50    ,-8.00    ,-5.43    ,-5.62    ,-1.25    ,-7.78    ,-9.99    ,-6.29   ,-12.85   ,-10.58
199009    ,-4.45    ,-2.54    ,-7.85    ,-5.24    ,-1.67    ,-0.79    ,-7.25     ,0.23   ,-11.82    ,-0.23    ,-4.77    ,-4.89    ,-9.06    ,-2.16    ,-3.73    ,-9.38   ,-11.07    ,-5.08   ,-13.53    ,-8.52   ,-11.47    ,-7.19    ,-3.75    ,-3.91   ,-10.88    ,-9.00    ,-6.64     ,0.00    ,-8.03   ,-17.55   ,-11.98    ,-4.19
199010   ,-13.81    ,-8.68     ,1.63    ,-6.58    ,-7.87   ,-11.05    ,-5.45    ,-6.45   ,-11.07    ,-4.75    ,-7.98    ,-6.53   ,-13.34    ,-7.65    ,-0.53   ,-21.81    ,-7.54    ,-5.89     ,5.89     ,2.14    ,-0.72     ,1.65    ,-9.39    ,-4.92    ,-6.81     ,3.03    ,-6.44    ,-2.78     ,4.81   ,-11.43    ,-2.33    ,-8.67
199011    ,-9.25    ,-2.29    ,-3.20    ,-4.40    ,-2.69    ,-6.81    ,-4.48     ,0.08    ,-6.28    ,-7.26    ,-4.43    ,-3.70   ,-10.89     ,2.49    ,-5.10    ,10.85    ,-8.48    ,-9.32     ,1.41    ,-1.87    ,-7.06    ,-8.91    ,-3.50     ,0.75    ,-5.99     ,0.76    ,-0.65    ,-1.47    ,-4.32     ,1.44    ,-2.09     ,3.85
199012    ,-4.60    ,-2.70    ,-2.18    ,-4.04     ,4.18    ,-6.61    ,-4.47    ,-3.09     ,1.51    ,-6.12    ,-0.66    ,-2.96     ,2.13    ,-1.85    ,-1.73    ,-2.73    ,-1.12    ,-2.09     ,1.21     ,3.55     ,4.68    ,-1.57    ,-1.89    ,-1.45    ,-2.32     ,0.92    ,-3.46    ,-2.38    ,-0.12    ,-3.56    ,-3.24    ,-2.98
199101    ,-1.58     ,5.61     ,4.27     ,3.61    ,-5.10     ,1.51     ,3.28     ,2.83    ,-3.64     ,6.22    ,-0.23     ,2.25     ,1.42     ,4.85    ,-0.94     ,1.39     ,2.26     ,4.81     ,7.04     ,5.21    ,10.15     ,3.12     ,1.92     ,6.74     ,5.03     ,8.91     ,5.62     ,3.85     ,5.30    ,10.44    ,14.58    ,-1.54
199102    ,-0.04     ,7.51    ,10.80     ,8.98    ,-0.64     ,9.95    ,10.38     ,8.96     ,9.18     ,3.67     ,6.29     ,9.53    ,-0.70     ,0.57     ,2.96    ,-8.59    ,10.42    ,10.46     ,9.90     ,9.69     ,7.97    ,14.04     ,6.68     ,7.52     ,8.76     ,5.75     ,5.46    ,11.18    ,10.60    ,15.07     ,9.19     ,5.93
199103     ,2.19     ,4.45    ,-1.97     ,1.15     ,6.07    ,16.32    ,-3.11     ,2.19     ,8.55    ,-0.06     ,0.91     ,8.89    ,12.43     ,3.91     ,0.35    ,-1.96     ,7.74     ,7.59     ,3.17     ,0.47     ,7.03     ,4.58     ,0.72     ,5.87     ,1.65    ,10.10     ,2.51     ,4.79     ,2.16     ,1.78    ,-1.76     ,6.41
199104     ,5.56     ,8.66     ,0.84     ,6.10    ,-0.65   ,-12.76     ,1.12     ,7.38    ,15.50    ,14.68     ,2.96     ,1.64     ,1.47     ,2.98    ,-2.76     ,7.55     ,4.69     ,3.26     ,6.13     ,0.21    ,-0.29     ,1.01     ,5.71     ,5.48     ,2.31    ,-0.94     ,6.52    ,-3.48    ,-0.78     ,6.12     ,6.20     ,3.85
199105     ,5.87    ,-3.55    ,-0.26    ,-2.58     ,0.07     ,1.67    ,-1.96    ,-2.66    ,-6.76    ,-1.19     ,0.13    ,-0.80     ,2.01     ,8.53    ,-2.97    ,-7.40    ,-4.93    ,-6.82    ,-5.51     ,1.60    ,-1.07     ,0.55    ,-3.21    ,-3.67    ,-2.07     ,1.85     ,0.24    ,-0.12     ,1.71    ,-2.54     ,3.50    ,-2.51
199106    ,-2.61     ,2.62    ,-1.16     ,0.34     ,5.04   ,-10.41    ,-1.88     ,1.16    ,-2.59     ,9.56    ,-0.87    ,-2.46    ,-4.49     ,3.53     ,0.38     ,3.05    ,-4.95     ,3.44    ,-2.20    ,-0.90    ,-4.74     ,1.43    ,-0.78     ,2.45     ,2.94    ,-0.27     ,2.57    ,-3.56    ,-1.58    ,-6.45    ,-1.01    ,-7.14
199107     ,6.86     ,7.62    ,-0.29     ,3.46     ,8.78     ,4.41     ,5.10     ,7.35     ,8.78     ,2.25     ,7.62     ,8.51     ,8.62    ,11.53     ,5.91    ,10.47     ,6.13   ,-99.99     ,2.52     ,4.92     ,5.07     ,9.88     ,5.50     ,4.38     ,1.63     ,7.13     ,5.83     ,1.38     ,9.13    ,11.89     ,6.84     ,3.87
199108    ,-0.28    ,-1.37    ,-1.36    ,-1.51    ,-3.58    ,-0.33     ,1.09    ,-0.85    ,-3.56    ,-0.56    ,-1.08     ,0.00     ,5.91    ,-4.34    ,-4.07    ,-0.14     ,2.94   ,-99.99    ,-0.93     ,0.73    ,-0.23    ,-4.31     ,0.11    ,-3.11    ,-3.02    ,-3.02    ,-1.14     ,4.24     ,0.40    ,-2.23    ,-2.65    ,-6.78
199109     ,3.12     ,1.11    ,-0.61     ,1.25     ,4.14     ,1.76     ,0.46     ,5.17     ,8.68     ,1.01     ,4.54     ,3.66     ,5.14     ,7.13     ,3.51     ,4.92     ,5.70   ,-99.99    ,-1.18     ,2.12    ,-0.20    ,-0.66     ,1.08     ,0.12     ,2.52     ,2.10     ,2.54    ,-4.93     ,2.26     ,1.34     ,1.68     ,3.93
199110     ,1.59    ,10.89     ,0.06     ,4.81     ,6.39     ,5.41     ,4.46     ,4.92     ,8.57     ,3.77     ,3.48     ,5.56    ,31.33     ,5.32     ,6.15    ,23.70    ,-0.79   ,-99.99     ,5.65     ,4.89     ,3.30     ,1.25     ,0.32     ,4.66     ,4.82     ,3.93     ,6.89    ,-5.15     ,6.38     ,2.57     ,2.39     ,2.42
199111    ,-0.20     ,1.96     ,2.68     ,1.56     ,2.66     ,3.51     ,0.49    ,-0.06     ,6.14     ,1.18     ,1.59    ,10.91    ,-4.72     ,4.35    ,11.44    ,-0.45    ,-1.62   ,-99.99     ,1.54    ,-0.93     ,2.20     ,0.83     ,0.95    ,-3.45     ,1.47    ,-2.47    ,-0.40    ,-9.83    ,-1.10     ,3.10    ,-3.80    ,-4.48
199112     ,0.59    ,-1.00    ,-0.89     ,0.50    ,-0.90     ,1.04     ,0.41    ,-1.20    ,-8.53    ,-1.92    ,-0.81     ,0.87    ,-3.07    ,-2.15    ,-2.06     ,3.63    ,-2.01   ,-99.99     ,2.84     ,0.58     ,4.90     ,3.59    ,-0.20     ,2.40     ,2.19     ,2.18     ,1.37     ,4.34     ,0.16     ,2.99    ,-0.21     ,2.09
199201    ,-1.07     ,5.11     ,1.88     ,1.40     ,1.86     ,1.33    ,-0.29     ,1.82     ,1.49     ,2.99    ,-0.81     ,1.40    ,-0.50     ,9.43    ,-1.38     ,5.51    ,-3.04   ,-99.99     ,0.03     ,0.51    ,-0.21     ,5.81     ,2.50    ,-2.09     ,2.85     ,4.31    ,-0.30    ,-4.51     ,1.41     ,7.45    ,-2.18     ,5.34
199202     ,2.32     ,1.32     ,2.44     ,2.93     ,1.56     ,5.18     ,3.40     ,3.42    ,-1.94     ,2.19     ,3.07     ,5.42     ,1.88    ,-2.96     ,9.14    ,-0.41     ,7.34   ,-99.99    ,-3.17     ,3.17    ,-0.06     ,3.34     ,0.08    ,-2.34    ,-1.97     ,3.90     ,2.84     ,0.54     ,2.78     ,5.06     ,4.61    ,-1.69
199203    ,-3.05    ,-1.47    ,-1.14     ,0.10    ,-6.11     ,0.85    ,-1.61    ,-0.25     ,1.13    ,-0.71     ,3.35     ,2.01    ,-4.37     ,0.29     ,3.37    ,-3.62     ,0.33   ,-99.99     ,3.07     ,0.11    ,-0.16    ,-3.20    ,-0.84    ,-0.34    ,-0.16     ,1.75     ,1.78    ,-1.18     ,0.32    ,-1.40     ,0.90    ,-6.36
199204    ,-2.47    ,-0.32     ,4.51     ,1.69     ,0.77     ,4.82     ,3.77     ,6.12    ,-4.61    ,-2.95     ,2.92    ,-0.60    ,-4.53    ,-4.45     ,2.50    ,-3.48    ,-1.13   ,-99.99     ,6.72     ,5.36    ,-0.67     ,7.98     ,4.62     ,3.64     ,5.32     ,6.68     ,4.50    ,-5.02     ,5.51     ,7.79     ,5.95     ,2.03
199205     ,8.67     ,6.43     ,5.29     ,3.97    ,10.97     ,9.77     ,6.35     ,3.80     ,1.47     ,7.17     ,8.96    ,10.41     ,3.41    ,-0.36     ,9.62     ,4.79    ,-1.38   ,-99.99     ,3.80     ,4.85     ,3.42    ,14.39     ,4.07     ,0.99    ,12.66    ,11.51     ,8.08     ,3.55    ,10.97    ,21.43     ,1.18     ,4.42
199206    ,-2.29    ,-1.04     ,2.23    ,-0.65    ,-4.20     ,0.96    ,-1.78    ,-1.94    ,-4.45    ,-1.94     ,2.14     ,2.74    ,-1.70    ,-5.97    ,-1.96    ,-6.68     ,0.51   ,-99.99    ,-1.88    ,-2.50    ,-1.86    ,-1.20    ,-0.53    ,-3.05     ,0.15    ,-0.89    ,-1.96     ,0.24    ,-0.58     ,1.72    ,-6.49    ,-4.44
