Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007   ,3.01   ,1.38   ,1.86   ,6.26   ,4.57   ,4.48
199008  ,-6.64  ,-4.08  ,-2.08  ,-7.67  ,-5.88  ,-8.77
199009  ,-5.36  ,-4.79  ,-3.89  ,-8.81  ,-6.90 ,-10.40
199010  ,-6.42  ,-4.89  ,-7.26   ,1.55  ,-4.03  ,-0.56
199011  ,-2.54  ,-4.37  ,-4.02  ,-1.94  ,-2.16  ,-2.00
199012  ,-4.12  ,-3.46  ,-2.42   ,2.05  ,-1.22  ,-1.68
199101   ,3.11   ,3.69   ,2.08   ,5.01   ,5.51   ,8.71
199102   ,9.65   ,9.40   ,5.20   ,9.61   ,7.80  ,10.87
199103  ,-0.60   ,1.91   ,3.23   ,2.04   ,4.11   ,1.80
199104   ,3.24   ,6.00   ,2.99   ,1.70   ,4.45   ,1.71
199105  ,-1.35  ,-1.63  ,-0.77  ,-0.22  ,-1.16   ,2.09
199106   ,0.01   ,0.31   ,0.10  ,-0.71   ,0.96  ,-1.37
199107   ,3.89   ,4.12   ,8.52   ,4.54   ,6.63   ,8.68
199108  ,-3.68  ,-0.69  ,-0.69  ,-0.16  ,-2.32  ,-0.33
199109   ,0.80   ,1.91   ,4.12   ,1.04   ,1.17   ,1.33
199110   ,2.96   ,4.92   ,6.11   ,4.71   ,3.88   ,4.13
199111   ,2.95   ,0.71   ,3.54   ,0.38  ,-1.33   ,0.81
199112  ,-0.08   ,0.08  ,-1.49   ,2.08   ,2.05   ,1.57
199201   ,3.20   ,1.37   ,1.16   ,0.56   ,1.41   ,3.87
199202   ,1.91   ,3.32   ,2.52   ,1.91   ,0.44   ,5.64
199203   ,0.58  ,-0.53   ,0.51   ,1.41  ,-0.85  ,-0.85
199204   ,0.71   ,3.88   ,0.53   ,6.42   ,5.34   ,6.14
199205   ,6.87   ,5.31   ,6.62   ,5.74   ,6.76  ,14.81
199206  ,-1.63  ,-0.25  ,-1.03  ,-0.06  ,-1.99  ,-0.50
199207  ,-1.16  ,-0.46  ,-2.82  ,-2.75  ,-3.93  ,-2.20
199208  ,-6.73  ,-5.28  ,-5.61  ,-5.86  ,-6.61  ,-4.48
199209  ,-1.57  ,-2.24   ,0.04  ,-2.88  ,-3.47   ,0.34
199210   ,1.14   ,0.00   ,1.36   ,2.96   ,1.34   ,7.16
199211  ,-0.76   ,0.99   ,0.32  ,-0.46  ,-3.13  ,-2.71
199212   ,2.32   ,2.53   ,0.79   ,4.12   ,0.92  ,-3.84
199301   ,1.54   ,1.50   ,2.11   ,1.20   ,0.20   ,2.81
199302   ,6.91   ,7.25   ,7.07   ,7.21   ,8.74   ,9.69
199303   ,6.44   ,6.00   ,6.19   ,3.56   ,2.55   ,1.23
199304  ,10.99   ,6.78  ,10.20   ,3.85   ,5.70   ,7.24
