Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199007   ,2.80   ,0.25   ,2.06   ,4.74   ,5.92   ,3.66
199008  ,-2.26  ,-5.58  ,-2.66  ,-7.65  ,-5.94  ,-8.60
199009  ,-3.00  ,-6.20  ,-5.88  ,-5.33  ,-8.46 ,-10.79
199010  ,-7.58  ,-4.99  ,-6.62  ,-4.47  ,-0.61   ,0.03
199011  ,-3.72  ,-4.10  ,-4.57  ,-1.80  ,-2.09  ,-2.06
199012  ,-4.05  ,-2.45  ,-2.67  ,-1.75   ,0.33  ,-0.15
199101   ,2.31   ,3.39   ,1.05   ,4.88   ,6.75   ,6.25
199102   ,8.23   ,6.45   ,7.36   ,9.94   ,7.71  ,11.95
199103   ,4.48   ,0.84  ,-0.48   ,1.71   ,2.61   ,3.97
199104   ,4.04   ,2.78   ,4.90   ,5.22   ,2.81   ,1.04
199105   ,0.99  ,-0.85  ,-3.25  ,-1.82   ,0.43   ,0.59
199106   ,0.40   ,0.52   ,0.09   ,1.13   ,0.08  ,-1.51
199107   ,7.79   ,7.84   ,4.61   ,6.82   ,7.45   ,4.05
199108   ,0.09  ,-1.39  ,-0.76  ,-0.06  ,-1.27  ,-1.44
199109   ,4.68   ,3.15   ,5.19   ,2.48   ,0.31   ,1.63
199110   ,8.18   ,4.97  ,10.03   ,4.25   ,4.05   ,4.88
199111   ,1.85   ,0.02   ,4.06  ,-3.33   ,1.36   ,0.00
199112  ,-1.16  ,-1.24  ,-2.08  ,-0.13   ,2.78   ,2.44
199201   ,1.73   ,0.51   ,3.63   ,0.84   ,1.80   ,2.40
199202   ,3.08   ,2.09   ,2.22   ,2.35   ,2.88   ,1.44
199203  ,-0.05  ,-2.15  ,-1.04  ,-0.93   ,0.62   ,0.09
199204   ,0.07   ,1.84  ,-1.80   ,4.03   ,6.92   ,6.35
199205   ,5.74   ,4.05   ,2.96   ,8.07   ,8.74   ,6.79
199206  ,-1.39  ,-2.39  ,-1.44  ,-1.29  ,-0.88  ,-0.43
199207   ,0.10  ,-2.77  ,-1.80  ,-2.39  ,-1.30  ,-6.06
199208  ,-6.49  ,-6.08  ,-4.39  ,-6.87  ,-5.43  ,-5.68
199209  ,-1.17  ,-0.35  ,-1.24  ,-3.73  ,-2.24  ,-1.10
199210  ,-1.04   ,1.53   ,0.86  ,-1.94   ,3.16   ,7.65
199211  ,-0.04   ,1.63   ,2.33   ,0.31  ,-1.16  ,-5.11
199212   ,3.31   ,2.28   ,0.89   ,4.46   ,1.66  ,-2.90
199301   ,1.23   ,1.16   ,2.43  ,-1.25   ,1.83   ,2.24
199302   ,7.25   ,9.92   ,6.70   ,7.54   ,7.53  ,10.33
199303   ,7.26   ,6.32   ,4.28   ,3.08   ,2.29   ,2.54
199304   ,9.66   ,7.41   ,6.67   ,3.58   ,4.89   ,7.49
199305   ,6.22  ,13.14   ,5.91   ,2.91   ,4.21   ,7.18
199306  ,-0.25   ,1.92   ,1.96  ,-2.58  ,-2.31  ,-4.19
199307   ,6.82   ,1.79   ,3.56   ,7.14   ,2.28  ,-1.31
199308   ,6.19   ,4.62   ,6.81   ,3.57   ,7.78   ,6.95
199309  ,-2.54  ,-2.34  ,-3.21  ,-3.76   ,1.12   ,3.02
199310   ,9.74  ,10.05  ,14.46  ,13.13  ,15.63  ,20.69
199311  ,-0.59  ,-0.16   ,0.61  ,-2.63  ,-2.69  ,-1.30
199312  ,15.95  ,16.67  ,16.81  ,14.56  ,21.28  ,26.94
199401   ,9.02   ,3.88   ,1.92   ,8.20  ,-0.42  ,-0.96
199402   ,0.92  ,-0.85  ,-1.57  ,-4.85  ,-7.29  ,-7.75
199403  ,-9.70  ,-9.23  ,-8.71  ,-8.27 ,-10.26  ,-9.67
199404   ,2.54   ,1.66  ,-0.00   ,2.39   ,4.10  ,-0.86
199405   ,1.88   ,0.53  ,-0.00   ,4.69   ,5.15   ,4.88
199406  ,-2.66  ,-4.86  ,-4.28  ,-4.99  ,-5.37  ,-9.51
199407   ,2.29   ,1.69   ,0.33   ,4.14   ,5.50   ,7.09
199408   ,1.21   ,2.17   ,0.85   ,3.03   ,5.15   ,3.91
199409  ,-0.96  ,-0.67  ,-1.66  ,-2.54  ,-3.26  ,-0.15
199410   ,0.13  ,-1.27  ,-1.49   ,1.21   ,2.12   ,0.98
199411  ,-4.76  ,-5.72  ,-9.88  ,-5.42  ,-7.32 ,-13.11
199412  ,-0.91  ,-3.27  ,-2.94  ,-0.82   ,0.53  ,-3.71
199501  ,-6.12  ,-7.00 ,-10.12  ,-2.57  ,-8.57  ,-9.39
199502   ,0.14   ,0.77   ,1.17   ,2.72   ,7.20  ,11.92
199503  ,-0.81  ,-0.70  ,-2.83   ,0.74   ,1.14   ,1.62
199504   ,2.28   ,0.79  ,-0.53   ,4.78   ,1.85  ,-3.39
199505  ,-0.78   ,0.80   ,2.28   ,0.11   ,5.73  ,10.01
199506  ,-1.37  ,-0.64   ,1.96  ,-1.52  ,-2.61  ,-2.02
199507   ,6.89   ,7.47   ,8.42   ,7.84   ,3.22   ,4.36
199508   ,4.46   ,2.20   ,2.29   ,0.32  ,-2.06  ,-2.98
199509   ,1.91   ,1.49   ,1.54   ,0.66   ,1.25   ,6.31
199510  ,-3.32  ,-1.65  ,-2.03  ,-0.45  ,-0.16   ,0.65
199511   ,2.14   ,1.09   ,0.43   ,1.67   ,0.63   ,2.00
199512   ,2.46   ,2.03   ,0.01   ,3.29   ,3.29   ,3.94
199601   ,6.85   ,6.11   ,9.18   ,4.84   ,8.18  ,15.00
199602   ,3.05   ,2.27   ,2.35   ,1.75   ,1.35  ,-2.30
199603   ,0.93  ,-0.65  ,-1.17  ,-0.21  ,-0.47  ,-1.19
199604   ,4.71   ,3.11   ,2.03   ,3.19   ,1.38   ,1.21
199605   ,3.21  ,-0.00   ,2.65   ,0.86   ,0.04   ,3.04
199606  ,-2.30  ,-2.01  ,-1.23  ,-2.37  ,-1.63  ,-1.25
199607  ,-5.26  ,-4.32  ,-5.28  ,-4.13  ,-5.01  ,-5.75
199608   ,2.91   ,5.17   ,4.77   ,4.87   ,4.15   ,3.78
199609   ,1.90   ,2.06   ,2.67   ,3.41   ,3.72   ,0.36
199610   ,3.74   ,4.13   ,4.40   ,2.79   ,2.73   ,1.82
199611   ,6.87   ,6.19   ,7.94  ,10.05   ,6.53   ,4.27
199612   ,0.13  ,-0.08  ,-1.32   ,0.29  ,-0.32   ,0.34
199701   ,1.13  ,-0.61  ,-0.49  ,-3.85  ,-1.55  ,-0.68
199702   ,4.58   ,4.17   ,5.11   ,0.88   ,1.11   ,0.16
199703  ,-2.29  ,-2.48  ,-2.65  ,-4.68  ,-3.51  ,-6.78
199704   ,0.49   ,0.02  ,-1.12   ,0.83   ,1.82  ,-3.60
