Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199007   ,1.43   ,2.24   ,3.19   ,2.69   ,5.69   ,5.63
199008  ,-2.57  ,-4.15  ,-2.85  ,-8.18  ,-5.32  ,-7.40
199009  ,-4.61  ,-4.54  ,-4.31  ,-8.86  ,-8.67  ,-7.26
199010  ,-6.80  ,-6.74  ,-5.54  ,-1.71  ,-2.64  ,-1.62
199011  ,-4.30  ,-4.60  ,-1.75  ,-4.64  ,-1.20  ,-1.91
199012  ,-2.45  ,-2.75  ,-4.29  ,-0.92  ,-2.12   ,1.45
199101   ,2.43   ,1.95   ,3.03   ,5.11   ,6.29   ,6.19
199102   ,6.54   ,5.57  ,11.00   ,9.71   ,8.44   ,8.56
199103   ,3.45   ,1.32   ,1.18   ,2.09   ,4.77   ,1.26
199104   ,3.77   ,3.11   ,6.11   ,1.53   ,3.98   ,2.87
199105   ,0.87  ,-0.81  ,-3.23  ,-0.07  ,-0.92  ,-0.32
199106   ,0.57   ,0.22  ,-0.15  ,-0.39  ,-0.12   ,0.46
199107   ,6.05   ,5.01   ,5.70   ,7.17   ,7.64   ,4.50
199108  ,-0.87  ,-0.78  ,-1.49  ,-0.64  ,-2.44  ,-0.48
199109   ,2.07   ,3.53   ,1.88   ,1.22   ,1.06   ,1.19
199110   ,6.95   ,3.78   ,5.05   ,4.01   ,3.34   ,4.75
199111   ,2.41   ,2.00   ,2.51   ,0.10  ,-0.04  ,-1.04
199112  ,-1.30  ,-0.59   ,0.03   ,1.76   ,2.08   ,1.23
199201   ,2.96  ,-0.06   ,2.77   ,1.94   ,2.94   ,0.09
199202   ,1.92   ,2.76   ,4.29   ,1.63   ,2.55   ,1.31
199203  ,-0.97   ,0.59   ,0.45   ,0.37  ,-0.91   ,0.71
199204  ,-0.21   ,3.58   ,3.34   ,4.50   ,6.40   ,5.26
199205   ,6.87   ,6.01   ,3.73  ,11.57  ,10.41   ,3.93
199206  ,-0.84  ,-0.34  ,-1.21  ,-0.38  ,-1.29  ,-2.54
199207  ,-1.41  ,-2.99  ,-0.93  ,-4.84  ,-2.79  ,-3.07
199208  ,-6.52  ,-4.56  ,-5.74  ,-6.18  ,-5.39  ,-6.31
199209  ,-1.31  ,-1.83  ,-0.54  ,-1.93  ,-2.07  ,-2.86
199210  ,-1.21   ,1.94   ,2.94   ,7.56   ,2.46   ,1.61
199211   ,0.67   ,0.68   ,1.95  ,-1.77  ,-3.10  ,-0.97
199212   ,1.94   ,1.34   ,1.86  ,-3.68  ,-0.28   ,5.34
199301   ,1.09   ,2.96   ,2.04   ,2.02   ,1.10   ,0.25
199302   ,7.48   ,7.16   ,6.38   ,9.98   ,8.75   ,6.80
199303   ,5.54   ,5.76   ,6.69   ,0.45   ,2.62   ,2.93
199304  ,10.16   ,8.28   ,8.27   ,7.67   ,6.43   ,2.16
199305   ,7.00   ,9.39   ,6.89   ,6.83   ,5.44   ,2.92
199306   ,2.36  ,-2.09   ,0.52  ,-4.83  ,-2.61  ,-2.20
199307   ,4.10   ,2.88   ,2.61   ,2.10   ,1.19   ,4.61
199308   ,5.92   ,5.59   ,5.86   ,7.93   ,6.83   ,5.93
199309  ,-3.63  ,-2.22  ,-0.74   ,1.93   ,1.13  ,-0.97
199310  ,11.37  ,11.68  ,11.61  ,17.51  ,16.33  ,15.82
199311  ,-1.25   ,1.81   ,0.35  ,-2.42  ,-1.65  ,-3.58
199312  ,18.69  ,16.57  ,12.40  ,21.65  ,25.43  ,15.92
199401   ,7.57   ,3.80   ,2.18   ,2.23   ,0.80   ,0.21
199402   ,0.17  ,-1.04  ,-2.51  ,-5.46  ,-7.43  ,-7.20
199403 ,-10.80  ,-8.44  ,-7.72 ,-10.47  ,-9.14  ,-9.77
199404   ,1.87   ,2.10   ,0.08   ,2.85   ,0.92   ,4.40
199405   ,0.52   ,1.03   ,1.16   ,3.19   ,5.43   ,5.63
199406  ,-3.03  ,-4.34  ,-4.31  ,-7.86  ,-6.44  ,-4.88
199407   ,1.91   ,2.08  ,-0.19   ,6.36   ,6.12   ,3.99
199408   ,1.25   ,2.25   ,1.23   ,3.79   ,4.84   ,4.01
199409  ,-0.94  ,-0.97  ,-1.90  ,-2.08  ,-1.50  ,-3.40
199410  ,-0.97  ,-0.72  ,-1.72   ,1.50   ,1.78   ,1.40
199411  ,-8.30  ,-5.02  ,-6.87 ,-12.84  ,-6.22  ,-6.96
199412  ,-2.91  ,-1.66  ,-1.89  ,-3.01  ,-0.44   ,0.10
199501  ,-7.91  ,-9.04  ,-7.74  ,-8.61  ,-8.85  ,-4.30
199502   ,0.47   ,0.80   ,1.29  ,11.89   ,8.01   ,2.16
199503  ,-1.56  ,-1.98  ,-0.77   ,0.93   ,1.15   ,1.30
199504   ,0.03   ,0.69   ,2.10  ,-0.96   ,1.13   ,3.64
199505   ,0.34   ,0.57   ,2.45   ,8.25   ,6.19   ,1.60
199506  ,-0.59  ,-0.23   ,1.56  ,-1.93  ,-1.33  ,-3.08
199507   ,7.71   ,8.04   ,7.93   ,2.50   ,6.06   ,5.21
199508   ,2.28   ,3.25   ,3.10  ,-4.00  ,-1.50   ,0.05
199509   ,0.75   ,0.81   ,2.65   ,1.42   ,3.73   ,1.05
199510  ,-2.80  ,-1.92  ,-1.76   ,0.27  ,-0.18  ,-0.11
199511   ,0.76   ,1.49   ,1.12   ,0.83   ,1.26   ,1.52
199512   ,1.79   ,1.61   ,0.41   ,4.35   ,2.70   ,3.96
199601   ,7.93   ,6.95   ,7.81  ,13.91   ,8.15   ,6.92
199602   ,3.33   ,2.10   ,2.32  ,-0.40  ,-0.06   ,1.60
199603  ,-0.76  ,-0.58  ,-0.05  ,-0.55  ,-0.41  ,-0.99
199604   ,3.35   ,2.76   ,2.40   ,1.44   ,2.31   ,1.82
199605   ,3.63   ,1.09   ,1.26  ,-0.10   ,0.82   ,2.16
199606  ,-2.81  ,-0.66  ,-1.07  ,-1.24  ,-1.47  ,-2.62
199607  ,-5.89  ,-4.20  ,-3.39  ,-5.89  ,-4.49  ,-4.88
199608   ,2.42   ,4.99   ,5.64   ,5.30   ,4.58   ,3.33
199609   ,2.12   ,1.78   ,3.07   ,3.38   ,3.67   ,1.31
199610   ,4.29   ,2.29   ,6.23   ,2.61   ,2.99   ,1.93
199611   ,7.81   ,5.85   ,7.04  ,11.38   ,6.08   ,4.79
199612  ,-0.10  ,-0.52  ,-1.00   ,0.52   ,0.27  ,-0.72
199701   ,1.18  ,-1.43   ,0.22  ,-2.41  ,-2.31  ,-1.13
199702   ,3.91   ,6.54   ,3.31   ,1.23   ,0.38   ,1.28
199703  ,-3.75  ,-1.74  ,-1.20  ,-8.55  ,-3.87  ,-2.50
199704  ,-0.02   ,0.61  ,-0.04  ,-0.62   ,1.28  ,-0.06
199705   ,5.54   ,3.45   ,5.72   ,9.93   ,7.12   ,7.03
199706  ,-0.61   ,0.27   ,0.09  ,-0.74   ,4.15   ,4.20
199707   ,3.82   ,3.60   ,4.89   ,2.47   ,1.90   ,1.44
199708   ,4.67  ,-1.15  ,-3.30  ,-6.30 ,-10.12  ,-9.86
199709  ,-4.12  ,-2.54  ,-0.40   ,3.52   ,5.34   ,5.50
199710 ,-27.75 ,-20.45 ,-22.28 ,-28.30 ,-23.41 ,-14.48
199711  ,-7.80  ,-4.96  ,-5.57  ,-1.87  ,-1.57   ,1.69
199712  ,-8.00  ,-5.50  ,-6.60  ,-2.28   ,0.34   ,0.08
199801 ,-15.15 ,-12.17  ,-8.88 ,-16.13  ,-9.73  ,-0.13
199802  ,14.79  ,14.29  ,13.82  ,22.31  ,14.67   ,4.50
199803  ,-1.12  ,-1.64  ,-2.31  ,-2.08  ,-0.01  ,-2.83
199804  ,-4.67  ,-4.94  ,-1.59  ,-6.97  ,-6.87  ,-2.98
199805 ,-11.18  ,-8.18  ,-9.53 ,-14.17 ,-11.65  ,-7.56
199806 ,-11.23  ,-8.50  ,-9.58  ,-2.47  ,-8.95  ,-2.65
199807  ,-6.52  ,-4.25  ,-3.08 ,-10.38  ,-4.72   ,2.25
199808 ,-16.28 ,-15.68 ,-12.33 ,-15.25 ,-13.18 ,-11.04
199809   ,4.55   ,9.61   ,7.62  ,11.87  ,14.20   ,9.60
199810  ,19.51  ,23.44  ,15.26  ,27.97  ,26.85   ,7.81
199811   ,7.83   ,6.37   ,7.54   ,4.08   ,4.50   ,5.19
199812  ,-5.42  ,-3.50  ,-0.56  ,-4.23  ,-0.29  ,-2.58
199901  ,-2.09  ,-0.19   ,2.49  ,-3.89  ,-1.37   ,3.02
199902  ,-1.90  ,-1.86   ,0.54  ,-2.07   ,0.26  ,-1.32
199903   ,3.30   ,4.03   ,3.91  ,11.61   ,9.73   ,6.98
199904  ,23.53  ,24.65  ,19.32  ,20.53  ,16.78  ,14.60
199905   ,9.97   ,6.89   ,5.85  ,-4.51  ,-5.30  ,-8.36
