Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011  ,-5.81  ,-3.45  ,-5.01  ,-5.22  ,-2.23  ,-0.48
199012  ,-4.00  ,-0.97  ,-3.26  ,-2.80  ,-1.02   ,1.47
199101   ,2.89   ,3.81   ,3.73   ,4.87   ,6.39   ,6.60
199102  ,13.19  ,10.52  ,11.69  ,12.05   ,9.54   ,7.79
199103  ,-0.57   ,0.14   ,3.07   ,2.15   ,2.40   ,3.80
199104  ,-0.84   ,4.28   ,2.00   ,4.21   ,4.05   ,0.62
199105  ,-2.91   ,0.13   ,1.57  ,-4.03  ,-0.23   ,1.66
199106  ,-0.20   ,1.05   ,0.16   ,0.29  ,-0.19  ,-0.40
199107   ,6.94   ,4.42   ,4.94   ,7.05   ,5.05   ,8.12
199108  ,-2.48  ,-1.43   ,0.59  ,-2.82  ,-1.46  ,-0.02
199109   ,0.64   ,1.40   ,4.78   ,1.95   ,1.39   ,0.92
199110   ,4.69   ,2.85   ,6.99   ,4.95   ,4.77   ,3.03
199111   ,3.11   ,1.93   ,1.18   ,2.07  ,-1.21   ,0.46
199112  ,-1.66  ,-0.20   ,2.19   ,1.52   ,1.36   ,3.01
199201   ,0.74   ,1.36   ,1.87   ,1.08   ,1.65   ,2.25
199202   ,2.62   ,2.22   ,4.24  ,-0.17   ,1.98   ,4.87
199203   ,0.48   ,0.73   ,0.03  ,-0.00  ,-1.02   ,1.60
199204   ,1.31   ,3.84   ,2.34   ,5.76   ,4.59   ,8.35
199205   ,6.18   ,7.31   ,5.14   ,2.12   ,8.49  ,12.00
199206  ,-2.07  ,-0.32  ,-0.28  ,-1.78  ,-3.14   ,2.94
199207  ,-3.32  ,-2.02   ,0.13  ,-2.74  ,-3.57  ,-3.44
199208  ,-7.82  ,-5.56  ,-3.50  ,-8.42  ,-5.64  ,-3.92
199209  ,-1.56  ,-1.05  ,-3.38  ,-4.07  ,-2.39  ,-0.73
199210   ,0.73   ,1.34   ,2.45  ,-5.38   ,2.56  ,10.79
199211   ,0.15  ,-0.10   ,1.55   ,0.82  ,-1.91  ,-4.22
199212  ,-0.01   ,2.09  ,-0.05   ,8.96   ,0.45  ,-4.53
199301   ,2.23   ,1.92   ,1.65  ,-2.42   ,1.64   ,3.61
199302   ,8.69   ,7.93   ,7.00   ,7.44   ,9.30   ,7.64
199303   ,6.60   ,5.05   ,7.80   ,3.67   ,1.36   ,2.97
199304   ,8.81   ,9.49  ,12.07   ,2.25   ,6.45   ,6.75
199305   ,5.10   ,8.41   ,9.83   ,2.11   ,5.75   ,5.75
199306   ,0.52   ,1.46   ,1.73  ,-2.64  ,-3.91  ,-2.42
199307   ,0.76   ,1.91   ,5.93   ,3.82   ,1.40   ,3.15
199308   ,5.31   ,7.87   ,3.80   ,6.04   ,7.72   ,4.88
199309  ,-0.93  ,-0.92  ,-3.92   ,0.43   ,1.21  ,-1.91
199310  ,10.67  ,11.14  ,12.98  ,15.37  ,17.24  ,15.79
199311   ,1.50  ,-0.13   ,0.52  ,-1.21  ,-1.99  ,-5.40
199312  ,12.81  ,16.43  ,17.97  ,18.44  ,21.09  ,23.49
199401   ,3.90   ,3.85   ,6.63   ,6.59   ,0.05  ,-2.70
199402  ,-2.50  ,-2.48   ,0.46  ,-4.03  ,-6.31  ,-9.91
199403  ,-8.65  ,-9.01 ,-11.78  ,-8.13 ,-10.00 ,-10.63
199404  ,-0.77   ,1.91   ,1.55   ,2.06   ,4.86  ,-0.61
199405   ,0.41   ,1.04   ,1.27   ,4.29   ,4.46   ,6.19
199406  ,-5.86  ,-3.84  ,-3.26  ,-5.86  ,-6.64  ,-5.78
199407   ,0.02   ,1.48   ,2.79   ,5.22   ,5.88   ,5.93
199408  ,-0.28   ,2.39   ,3.16   ,3.72   ,5.07   ,4.86
199409  ,-1.22  ,-1.87  ,-0.32  ,-3.34  ,-2.68  ,-1.39
199410  ,-1.77  ,-1.11  ,-1.98   ,1.54   ,1.79   ,1.72
199411  ,-8.48  ,-5.40  ,-6.71  ,-7.17  ,-9.28  ,-8.02
199412  ,-4.36  ,-1.21  ,-1.56  ,-1.10  ,-1.00  ,-0.20
199501 ,-11.03  ,-7.23  ,-5.96  ,-8.98  ,-6.34  ,-6.74
