Date,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
199007   ,4.91   ,4.28   ,6.02   ,4.69   ,3.92   ,4.76   ,6.01   ,6.34   ,5.67   ,4.85   ,4.85   ,5.57   ,6.51   ,4.19   ,5.16   ,5.65   ,6.97   ,3.46   ,3.28   ,5.03   ,5.60   ,6.06   ,3.47   ,5.29   ,5.22
199008  ,-8.45  ,-9.70  ,-8.77  ,-8.65 ,-10.31  ,-8.96  ,-9.07 ,-10.30 ,-10.72 ,-12.39 ,-11.89 ,-10.61 ,-10.63 ,-11.71 ,-12.43 ,-11.82 ,-11.40 ,-11.55 ,-11.94 ,-12.51  ,-8.36  ,-8.85 ,-12.70  ,-8.93 ,-11.28
199009  ,-7.80  ,-8.39  ,-7.97  ,-9.46 ,-10.57  ,-9.26  ,-7.69  ,-8.76 ,-10.96 ,-11.75 ,-12.54  ,-9.99 ,-10.59 ,-13.36 ,-12.01 ,-12.00  ,-9.77 ,-11.07 ,-12.58 ,-14.38  ,-8.15 ,-12.28 ,-13.54 ,-11.09 ,-12.94
199010   ,3.67   ,3.34   ,4.12   ,3.47   ,2.12   ,2.58   ,4.87   ,5.83   ,7.70   ,3.84   ,7.94   ,5.58   ,8.66   ,5.46   ,5.54   ,6.77   ,6.64   ,3.41   ,5.57   ,5.26   ,6.62   ,7.42   ,8.24   ,7.74   ,8.62
199011  ,-3.07  ,-1.67  ,-2.48  ,-2.63  ,-3.42  ,-3.14  ,-2.35  ,-1.91  ,-1.05  ,-2.01  ,-2.94  ,-0.87  ,-1.87  ,-1.58  ,-1.79  ,-0.02  ,-0.87  ,-1.56  ,-2.20  ,-3.15   ,0.39   ,2.07  ,-2.66   ,2.30   ,1.33
199012  ,-0.94  ,-1.09  ,-1.80   ,0.84  ,-1.81  ,-0.84   ,1.71   ,0.16  ,-0.54  ,-0.93  ,-1.89   ,0.47   ,0.18  ,-0.10  ,-3.33  ,-1.02  ,-0.18  ,-1.38  ,-1.37  ,-0.42  ,-1.23  ,-2.13   ,0.75  ,-1.40  ,-1.33
199101  ,-0.60  ,-3.61  ,-2.50  ,-1.51  ,-3.44  ,-1.32  ,-0.57  ,-2.13  ,-2.49  ,-2.52  ,-0.60  ,-0.67  ,-1.16  ,-2.22  ,-2.31  ,-0.97  ,-0.33  ,-0.66   ,2.43  ,-1.11   ,1.75   ,1.99   ,3.14   ,4.67   ,2.44
199102   ,5.25   ,7.09   ,7.58   ,7.18   ,9.00   ,8.16   ,7.94  ,12.38   ,8.90  ,11.19  ,10.54   ,8.24   ,8.05  ,11.64  ,10.41   ,8.05   ,7.35   ,9.22  ,11.69  ,13.12   ,6.33   ,6.19   ,8.49   ,7.43   ,9.14
199103  ,-4.67  ,-4.00  ,-2.24  ,-2.43  ,-1.35  ,-6.00  ,-5.55  ,-4.69  ,-3.09  ,-3.57  ,-6.24  ,-6.11  ,-5.72  ,-5.17  ,-4.72  ,-5.24  ,-5.96  ,-5.61  ,-5.16  ,-5.17  ,-7.08  ,-6.78  ,-7.24  ,-5.13  ,-7.11
199104  ,-1.13   ,0.47   ,2.41  ,-0.20  ,-1.19  ,-1.76   ,0.21   ,2.63  ,-2.54  ,-0.38   ,0.04   ,0.05  ,-1.30  ,-2.94  ,-1.86  ,-1.06  ,-0.80  ,-2.05  ,-1.03  ,-2.80  ,-0.17   ,1.18  ,-0.44  ,-0.62  ,-1.01
