Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP
199007   ,3.36   ,4.77   ,6.12   ,5.77   ,4.50   ,4.93   ,5.08   ,6.07   ,4.44   ,6.15   ,4.60   ,5.46   ,4.22   ,5.91   ,6.70   ,5.59   ,4.20   ,2.01   ,5.26   ,5.73   ,4.44   ,6.21   ,6.19   ,4.78   ,4.31
199008  ,-8.59  ,-9.71  ,-8.26  ,-8.84 ,-10.12  ,-9.69  ,-9.87 ,-10.38 ,-10.73 ,-10.80 ,-12.66  ,-9.79 ,-11.62 ,-11.16 ,-10.17  ,-9.44 ,-12.30 ,-14.60 ,-10.84 ,-12.25  ,-9.29 ,-10.88 ,-10.23  ,-9.11 ,-10.72
199009  ,-9.02  ,-8.59  ,-9.14  ,-7.46 ,-10.26 ,-10.33  ,-9.56  ,-9.61  ,-9.90 ,-10.11 ,-11.86  ,-9.63 ,-12.24 ,-12.10 ,-11.68 ,-10.67 ,-12.57 ,-15.14 ,-10.66 ,-11.39 ,-11.77 ,-14.06 ,-10.98 ,-11.21 ,-12.10
199010   ,2.69   ,2.53   ,3.97   ,3.86   ,3.18   ,4.38   ,5.40   ,3.56   ,6.29   ,3.69   ,4.27   ,5.18   ,7.30   ,8.76   ,7.01   ,6.31   ,5.87   ,6.82   ,5.71   ,3.19   ,6.81   ,8.53   ,7.25   ,9.21   ,6.70
199011  ,-3.50  ,-2.98  ,-2.83  ,-2.82  ,-3.47  ,-1.72  ,-2.67  ,-2.41  ,-2.26  ,-2.49  ,-3.42  ,-2.11  ,-0.56  ,-0.04  ,-0.70  ,-1.23  ,-2.75  ,-2.16  ,-1.37  ,-1.27   ,0.47   ,1.69   ,0.00  ,-0.50   ,2.25
199012  ,-1.99   ,0.84  ,-0.13  ,-1.11  ,-0.93  ,-1.43  ,-0.19  ,-0.10   ,0.06   ,0.22  ,-0.90  ,-2.55  ,-2.31   ,0.55   ,0.12  ,-1.42  ,-0.59   ,0.52  ,-1.26  ,-0.86  ,-1.93  ,-0.82  ,-1.19  ,-0.43  ,-0.98
199101  ,-4.15  ,-1.89  ,-1.19  ,-2.18  ,-1.47  ,-2.45  ,-1.67  ,-2.00  ,-1.94  ,-0.89  ,-0.43  ,-3.21  ,-1.58  ,-0.57  ,-2.59  ,-0.96   ,0.12   ,0.22  ,-0.78   ,0.43   ,3.40   ,2.33   ,2.53   ,2.42   ,2.70
199102   ,5.59   ,6.33   ,8.05   ,8.84   ,7.76   ,8.10   ,7.83   ,9.97  ,10.75  ,10.86  ,10.45   ,6.24  ,11.93  ,11.50   ,6.85   ,6.17  ,10.59  ,12.65  ,11.01   ,9.87   ,7.05   ,8.77   ,8.03   ,6.84   ,6.66
199103  ,-4.13  ,-4.68  ,-2.73  ,-0.99  ,-1.07  ,-5.99  ,-5.74  ,-5.80  ,-1.31  ,-4.08  ,-6.88  ,-6.61  ,-5.54  ,-4.14  ,-5.38  ,-7.76  ,-6.19  ,-3.61  ,-5.79  ,-4.14  ,-6.82  ,-6.97  ,-7.26  ,-6.41  ,-5.44
199104  ,-2.83  ,-0.73  ,-0.29   ,1.77   ,0.79  ,-1.01  ,-0.52  ,-2.49   ,0.08   ,0.93  ,-2.59  ,-0.76  ,-0.93  ,-1.41  ,-1.05  ,-0.78  ,-1.60  ,-2.14  ,-2.27  ,-1.97  ,-0.31  ,-1.16   ,0.10   ,0.13   ,0.24
199105  ,-2.91  ,-2.03  ,-1.82  ,-1.87  ,-0.85  ,-3.40  ,-1.81  ,-1.43  ,-1.72  ,-1.96  ,-0.43  ,-0.67  ,-2.22  ,-0.43  ,-1.35  ,-2.63  ,-1.03  ,-1.26  ,-0.03  ,-0.46   ,0.95   ,1.51   ,1.84   ,2.60   ,1.74
199106  ,-6.20  ,-6.29  ,-5.87  ,-5.96  ,-6.06  ,-5.57  ,-6.37  ,-6.72  ,-5.92  ,-5.76  ,-7.81  ,-5.71  ,-6.00  ,-4.67  ,-6.13  ,-5.79  ,-6.69  ,-7.50  ,-4.94  ,-6.96  ,-8.66  ,-7.85  ,-6.41  ,-6.51  ,-7.82
199107   ,0.62   ,3.13   ,1.87   ,2.84   ,2.54   ,0.90   ,3.65   ,4.14   ,3.13   ,4.24   ,2.22   ,3.30   ,2.31   ,2.84   ,4.31   ,0.78   ,3.47   ,3.77   ,3.89   ,5.28   ,3.33   ,5.28   ,8.15   ,7.42   ,7.35
199108  ,-1.26   ,0.94   ,0.27   ,0.79   ,0.76  ,-3.00  ,-0.21   ,2.17   ,1.93   ,3.61  ,-0.01  ,-0.03   ,1.78   ,2.30   ,4.25  ,-0.15   ,1.92   ,1.17   ,2.85   ,2.86   ,1.69   ,0.86   ,2.00   ,2.52   ,2.52
199109   ,5.51   ,4.93   ,7.39   ,8.94   ,8.03   ,1.46   ,3.92   ,3.02   ,7.85   ,7.83   ,3.86   ,4.89   ,3.57   ,3.11   ,3.73   ,3.79   ,4.18   ,3.29   ,3.63   ,2.30   ,1.51   ,1.99   ,4.53   ,3.44   ,3.60
199110  ,-4.51  ,-2.05  ,-3.50  ,-1.68  ,-2.48  ,-3.52  ,-2.41  ,-3.12  ,-0.72  ,-1.98  ,-2.35  ,-2.31  ,-2.40  ,-3.69  ,-2.50  ,-4.09  ,-3.60  ,-4.59  ,-3.53  ,-2.08  ,-3.39  ,-2.68  ,-2.72   ,0.20  ,-2.01
199111  ,-2.40  ,-0.46  ,-0.89  ,-0.16  ,-0.21  ,-2.39  ,-2.55  ,-2.05  ,-0.70  ,-1.42  ,-2.50  ,-0.71  ,-2.67  ,-1.65  ,-2.92  ,-2.82  ,-2.26  ,-2.97  ,-2.56  ,-3.50  ,-4.06   ,0.08  ,-2.25  ,-1.56  ,-2.03
199112   ,2.04   ,5.05   ,1.94   ,3.38   ,3.80   ,4.34   ,4.20   ,2.59   ,2.55   ,3.96   ,4.44   ,2.84   ,4.82   ,3.44   ,1.53   ,3.93   ,4.33   ,5.90   ,5.20   ,5.60   ,5.60   ,6.14   ,7.87   ,9.08   ,7.05
199201  ,-3.12  ,-3.30  ,-2.24  ,-1.81  ,-3.63  ,-2.75  ,-0.95  ,-0.53  ,-0.42   ,0.42   ,0.42   ,1.63   ,1.15   ,2.42   ,1.62  ,-1.19   ,0.37   ,2.12   ,0.85   ,0.57  ,-0.47   ,0.35   ,1.32  ,-1.50  ,-0.67
199202  ,-0.89  ,-1.52   ,0.19  ,-0.10  ,-0.16  ,-1.93  ,-0.57   ,0.71  ,-0.58   ,0.54  ,-2.67   ,0.07   ,0.03   ,1.51   ,0.63  ,-1.39  ,-0.06   ,1.36   ,1.87   ,0.43  ,-1.77  ,-0.04   ,0.82  ,-0.59  ,-0.21
199203  ,-4.75  ,-1.30  ,-1.60  ,-1.79  ,-2.75  ,-2.81  ,-1.66  ,-1.48  ,-0.88  ,-3.63  ,-3.84  ,-4.46  ,-2.33  ,-2.19  ,-3.30  ,-3.37  ,-1.29  ,-2.20  ,-3.19  ,-1.59  ,-4.77  ,-4.73  ,-2.84  ,-3.04  ,-4.06
199204   ,2.16   ,2.82   ,5.09   ,5.02   ,5.65   ,2.25   ,2.98   ,4.56   ,5.45   ,6.24   ,4.36   ,1.00   ,3.34   ,4.71   ,6.28   ,1.45   ,5.79   ,3.46   ,5.96   ,4.74   ,3.92   ,4.70   ,7.14   ,5.64   ,6.93
199205   ,4.87   ,6.57   ,7.36   ,8.87   ,7.65   ,5.27   ,7.24   ,5.48   ,5.27   ,5.68   ,3.19   ,4.64   ,4.53   ,4.95   ,4.51   ,5.32   ,4.74   ,3.53   ,5.24   ,3.91   ,4.81   ,5.57   ,5.18   ,6.19   ,5.09
199206  ,-0.84   ,1.56  ,-0.11   ,0.51   ,1.08  ,-0.82  ,-0.43  ,-1.10  ,-0.15  ,-2.51  ,-1.85  ,-1.87   ,0.04   ,0.91   ,0.35  ,-0.31  ,-1.42  ,-1.12  ,-0.70  ,-1.28  ,-1.92  ,-0.87  ,-1.03  ,-1.25  ,-0.90
199207  ,-6.19  ,-5.74  ,-4.78  ,-4.19  ,-3.94  ,-6.23  ,-4.19  ,-4.09  ,-4.62  ,-4.36  ,-6.09  ,-7.70  ,-4.21  ,-6.40  ,-3.44  ,-6.62  ,-4.44  ,-6.04  ,-4.25  ,-2.39  ,-7.53  ,-3.51  ,-4.22  ,-2.07  ,-1.84
199208  ,-3.05  ,-0.04  ,-0.22  ,-0.66  ,-1.23  ,-1.96  ,-1.76  ,-0.96  ,-1.73  ,-1.82  ,-4.39  ,-3.03  ,-1.41  ,-2.39  ,-1.59  ,-0.61  ,-2.35  ,-1.43  ,-0.28  ,-1.38  ,-3.58  ,-0.60  ,-0.18   ,1.07   ,0.22
199209  ,-7.99  ,-7.18  ,-6.44  ,-4.68  ,-6.16  ,-8.53  ,-7.19  ,-6.25  ,-6.04  ,-5.25  ,-7.81  ,-5.50  ,-3.75  ,-5.80  ,-4.23  ,-8.47  ,-5.32  ,-3.40  ,-3.16  ,-3.84  ,-2.41  ,-0.91  ,-1.67  ,-2.11  ,-2.73
199210 ,-10.49 ,-11.35 ,-11.70  ,-9.75 ,-12.60  ,-7.09  ,-6.97  ,-7.82 ,-10.18  ,-9.79  ,-5.59  ,-6.59 ,-10.12  ,-9.71 ,-10.84  ,-4.80  ,-5.54  ,-8.10  ,-9.16  ,-9.06  ,-2.76  ,-5.07  ,-8.27  ,-8.89  ,-7.17
199211  ,-3.74  ,-3.08  ,-4.20  ,-3.92  ,-1.48  ,-1.02  ,-2.80  ,-4.75  ,-2.53  ,-2.87  ,-1.12  ,-3.27  ,-2.85  ,-3.50  ,-1.13  ,-2.55   ,1.61  ,-1.72  ,-2.17  ,-2.30  ,-1.57  ,-0.69   ,0.29   ,0.13   ,1.19
199212  ,-1.16  ,-0.77   ,2.91   ,0.38   ,1.90  ,-1.66   ,0.29   ,1.10   ,3.26   ,3.09   ,0.66   ,0.92   ,2.35   ,1.92   ,1.80  ,-2.20   ,2.14   ,2.22   ,1.09   ,0.56  ,-0.37   ,3.15   ,1.02   ,1.87   ,1.02
199301   ,3.13   ,4.20   ,4.50   ,3.78   ,3.69   ,3.11   ,3.86   ,5.55   ,4.32   ,6.36   ,1.69   ,3.05   ,3.43   ,4.40   ,4.11   ,4.95   ,3.17   ,3.40   ,2.27   ,2.44   ,2.47   ,2.40  ,-0.61  ,-1.77  ,-0.77
