Date,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,ME1 BM1 HiOP,ME1 BM2 LoOP,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 HiOP,ME1 BM3 LoOP,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 HiOP,ME1 BM4 LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,ME2 BM1 HiOP,ME2 BM2 LoOP,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 HiOP,ME2 BM3 LoOP,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 HiOP,ME2 BM4 LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
199007     ,5.37     ,5.12     ,8.75     ,5.14     ,3.45     ,5.13     ,4.55     ,6.28     ,4.52     ,4.79     ,5.27     ,4.55     ,5.29     ,4.73     ,4.50     ,5.47     ,4.45    ,10.79     ,5.77     ,6.10     ,4.62     ,4.92     ,5.57     ,4.27     ,4.95     ,3.93     ,5.50     ,6.68     ,4.64     ,5.88     ,4.34    ,-2.81
199008    ,-9.57    ,-7.20    ,-9.45    ,-9.44   ,-11.74   ,-10.95    ,-9.83   ,-10.22    ,-9.98   ,-11.21   ,-11.54   ,-12.06   ,-10.81    ,-9.27    ,-9.54   ,-14.88    ,-8.92   ,-12.75   ,-10.41   ,-10.54    ,-9.80   ,-12.55   ,-10.64   ,-10.51   ,-10.88    ,-9.62    ,-7.68   ,-11.35    ,-8.92   ,-12.11   ,-11.46   ,-13.76
199009   ,-12.20    ,-8.69    ,-9.27   ,-10.21   ,-10.08   ,-10.24    ,-9.83    ,-9.81   ,-11.19    ,-9.35   ,-10.03    ,-7.98    ,-9.78    ,-8.70    ,-9.46   ,-20.66   ,-10.48   ,-17.80   ,-11.76   ,-11.10   ,-11.88   ,-13.65   ,-12.06   ,-10.77   ,-12.69   ,-12.77    ,-9.15   ,-15.21   ,-11.86   ,-12.03   ,-12.58   ,-11.89
199010     ,3.23     ,4.46     ,5.35     ,4.82     ,5.56     ,5.51     ,6.19     ,7.79     ,2.80     ,4.64     ,5.11     ,3.42     ,3.45     ,3.74     ,5.65     ,8.04     ,4.70    ,15.99     ,8.05     ,6.02     ,5.07     ,8.84    ,10.14     ,9.04     ,6.89     ,9.30     ,4.84     ,6.42     ,8.37     ,4.50     ,4.81    ,-0.22
199011    ,-3.80    ,-0.80    ,-1.06    ,-2.08    ,-5.98    ,-3.57    ,-1.80    ,-1.18    ,-2.70    ,-2.95    ,-1.19    ,-3.01    ,-0.07    ,-2.64    ,-4.63    ,-6.43     ,0.52    ,-2.50    ,-2.41     ,0.82    ,-1.57    ,-1.35    ,-0.26     ,2.75    ,-0.32     ,2.09     ,0.63     ,0.73     ,0.76     ,1.26    ,-0.21     ,0.85
199012    ,-2.07    ,-1.70    ,-0.56     ,0.48     ,0.02    ,-0.80     ,0.10     ,0.23    ,-0.12     ,0.35     ,0.26     ,0.26     ,0.51     ,0.68    ,-2.87     ,0.33    ,-3.30    ,-1.65    ,-0.70    ,-0.46     ,1.22    ,-1.26    ,-1.28    ,-1.69    ,-3.84    ,-0.41    ,-1.10     ,1.40    ,-1.03    ,-0.61    ,-1.97     ,1.16
199101    ,-4.68    ,-0.80    ,-1.22    ,-1.33    ,-1.73    ,-4.20    ,-1.46    ,-1.30    ,-0.67    ,-1.27    ,-1.47    ,-0.51    ,-3.41    ,-1.63    ,-0.06     ,2.99     ,3.28     ,3.25     ,2.41     ,2.47    ,-2.17     ,1.47     ,3.15     ,1.64     ,0.80     ,2.06    ,-0.35     ,1.66     ,3.94     ,4.29     ,4.44     ,2.25
199102    ,10.93     ,8.43     ,9.02     ,7.31     ,8.64     ,8.52    ,10.89     ,9.32     ,7.12     ,8.35    ,11.21    ,11.70     ,9.44     ,7.11    ,11.63    ,17.96     ,6.29     ,8.41     ,7.50     ,8.21     ,6.05     ,7.70     ,6.24     ,6.28     ,9.11     ,7.45     ,9.04     ,6.20     ,7.13     ,8.98    ,10.32     ,9.26
199103    ,-5.12    ,-8.09    ,-3.67    ,-3.03    ,-6.32    ,-6.58    ,-2.95    ,-3.50    ,-6.64    ,-4.73    ,-2.57    ,-0.31    ,-4.54    ,-4.64    ,-7.19    ,-5.67    ,-6.76   ,-11.91    ,-8.33    ,-3.74    ,-6.43    ,-8.62    ,-7.02    ,-5.20    ,-7.89    ,-7.37    ,-5.43    ,-7.44    ,-5.57    ,-6.38    ,-6.31    ,-5.19
199104     ,0.15    ,-2.37     ,0.78     ,0.32    ,-0.31    ,-1.33    ,-0.69     ,0.91    ,-2.09    ,-1.24    ,-2.02    ,-1.03    ,-1.48     ,0.19     ,1.72    ,-0.54    ,-0.16     ,0.61     ,0.05    ,-1.33    ,-1.30    ,-0.52     ,0.43     ,0.82    ,-0.07    ,-0.82     ,0.61     ,1.36    ,-1.23    ,-2.48    ,-0.70    ,-0.26
