Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007   ,6.23   ,5.22   ,4.86   ,6.22   ,4.67   ,4.55
199008  ,-9.80 ,-10.05 ,-10.65 ,-10.45 ,-10.37 ,-10.20
199009  ,-9.98  ,-9.70 ,-10.03 ,-12.35 ,-11.86 ,-11.43
199010   ,4.42   ,5.59   ,4.21   ,7.94   ,8.24   ,5.92
199011  ,-2.28  ,-2.21  ,-2.06  ,-0.27   ,0.85   ,0.64
199012  ,-0.43   ,0.00  ,-0.04  ,-1.28  ,-0.99  ,-1.16
199101  ,-1.60  ,-1.65  ,-1.82   ,2.50   ,2.17   ,2.66
199102   ,8.52   ,9.26   ,9.31   ,7.97   ,7.19   ,8.50
199103  ,-3.85  ,-4.22  ,-4.63  ,-6.50  ,-6.47  ,-6.26
199104  ,-0.04  ,-0.62  ,-1.20  ,-0.33  ,-0.23  ,-0.34
199105  ,-2.22  ,-1.70  ,-2.23   ,1.13   ,1.45   ,1.38
199106  ,-6.05  ,-6.59  ,-6.78  ,-6.76  ,-7.08  ,-7.40
199107   ,2.74   ,2.87   ,2.83   ,6.18   ,6.55   ,5.39
199108   ,1.30   ,1.67   ,0.25   ,1.61   ,1.90   ,2.51
199109   ,4.68   ,5.99   ,4.39   ,3.42   ,2.85   ,3.62
199110  ,-2.36  ,-2.67  ,-3.59  ,-1.22  ,-2.49  ,-2.58
199111  ,-0.86  ,-0.76  ,-2.45  ,-0.49  ,-2.69  ,-2.53
199112   ,3.84   ,2.80   ,2.96   ,8.92   ,6.69   ,5.61
199201  ,-1.60  ,-0.53  ,-0.88  ,-0.98   ,0.16   ,0.88
199202  ,-0.01  ,-0.52  ,-0.65  ,-0.41  ,-0.38   ,0.59
199203  ,-3.13  ,-3.43  ,-2.73  ,-3.70  ,-3.04  ,-3.52
199204   ,3.97   ,4.76   ,3.86   ,5.09   ,6.16   ,5.07
199205   ,4.84   ,4.97   ,6.83   ,4.81   ,5.63   ,5.62
199206  ,-0.22  ,-0.55  ,-0.94  ,-0.60  ,-1.01  ,-1.58
199207  ,-4.67  ,-4.87  ,-5.72  ,-3.16  ,-3.54  ,-4.86
199208  ,-1.89  ,-1.82  ,-2.06  ,-0.38   ,0.02  ,-1.22
199209  ,-4.52  ,-6.39  ,-6.91  ,-2.17  ,-1.70  ,-3.43
199210  ,-9.74 ,-10.40  ,-8.20  ,-6.54  ,-8.56  ,-5.67
199211  ,-2.82  ,-3.08  ,-2.68  ,-0.30   ,0.41  ,-0.70
199212   ,3.19   ,2.19  ,-0.67   ,0.65   ,1.81   ,2.18
199301   ,4.15   ,4.19   ,4.12  ,-1.56  ,-0.14   ,4.35
199302   ,0.28   ,0.05   ,1.36  ,-0.31   ,2.31   ,2.08
199303   ,7.12   ,6.25   ,7.45   ,4.43   ,6.28   ,5.82
199304   ,5.08   ,4.19   ,7.05   ,1.51   ,1.05   ,3.40
199305   ,0.67   ,0.92   ,2.47   ,0.41   ,1.18   ,1.61
199306  ,-4.38  ,-4.19  ,-4.18  ,-4.30  ,-2.27  ,-1.45
199307  ,-1.12   ,0.41   ,2.18   ,0.30   ,1.45   ,2.99
199308   ,8.68   ,8.52  ,11.26   ,8.20   ,8.43  ,10.24
199309   ,0.01   ,0.80   ,0.18  ,-1.15   ,0.38  ,-1.25
199310  ,-0.55   ,1.14   ,1.61   ,2.59   ,3.53   ,1.95
199311  ,-1.31  ,-1.21  ,-1.81  ,-0.98  ,-2.26  ,-3.66
199312   ,3.89   ,4.78   ,6.80   ,6.34   ,8.30   ,8.65
199401   ,9.82  ,10.38  ,14.27   ,4.47   ,4.69   ,8.70
199402  ,-0.24   ,0.66   ,0.82  ,-3.80  ,-4.10  ,-2.84
199403  ,-2.09  ,-1.48  ,-0.54  ,-2.68  ,-3.70  ,-0.64
199404   ,3.00   ,3.04   ,4.70   ,3.98   ,3.73   ,5.25
199405  ,-2.10  ,-2.32  ,-1.77  ,-4.44  ,-3.71  ,-3.70
199406  ,-1.10  ,-1.08  ,-1.35  ,-0.17  ,-0.77  ,-1.92
199407   ,1.55   ,2.70   ,2.25   ,4.09   ,6.06   ,5.51
199408   ,2.49   ,1.84   ,0.62   ,3.42   ,2.86   ,0.05
199409  ,-0.97  ,-0.93  ,-0.35  ,-3.02  ,-4.13  ,-3.02
199410   ,1.01   ,1.21   ,1.22   ,4.23   ,4.92   ,3.36
199411  ,-4.88  ,-4.56  ,-4.29  ,-4.35  ,-4.10  ,-4.04
199412   ,0.72   ,0.36   ,0.83   ,1.00   ,0.32  ,-0.27
199501  ,-0.56   ,0.77   ,0.69  ,-1.37  ,-1.54  ,-0.72
199502   ,1.31   ,1.56   ,1.81   ,3.65   ,2.12   ,1.62
199503   ,3.48   ,2.01   ,1.63   ,5.51   ,4.02   ,2.41
199504   ,1.72   ,1.67   ,1.44   ,2.94   ,2.89   ,4.02
199505   ,2.27   ,2.34   ,1.98   ,2.21   ,1.79   ,3.42
199506   ,1.09   ,1.79   ,1.67   ,2.92   ,0.70   ,1.09
199507   ,4.03   ,2.88   ,2.27   ,4.44   ,4.81   ,4.14
199508  ,-1.88  ,-2.87  ,-3.17  ,-2.33  ,-3.60  ,-5.63
199509   ,3.27   ,2.09   ,1.36   ,3.72   ,2.68   ,1.77
199510  ,-0.83  ,-1.35  ,-1.58  ,-0.51  ,-0.25  ,-0.33
199511  ,-3.09  ,-3.12  ,-2.56  ,-0.33   ,0.66   ,0.69
199512   ,0.92   ,1.12   ,1.82   ,1.85   ,2.53   ,3.01
199601   ,0.73   ,0.88   ,1.04   ,0.63   ,1.20   ,0.57
199602   ,3.65   ,3.08   ,3.97   ,2.10   ,2.15   ,2.21
199603   ,0.89   ,1.51   ,2.08   ,1.33   ,1.21   ,1.15
199604   ,1.65   ,1.92   ,1.46   ,0.17   ,1.52   ,1.09
199605   ,3.78   ,2.99   ,3.74   ,1.97   ,1.75   ,1.46
199606  ,-0.18  ,-0.07   ,0.32   ,0.61   ,0.60   ,0.75
199607  ,-2.96  ,-1.34  ,-0.98  ,-1.33  ,-1.40  ,-1.38
199608   ,2.39   ,2.24   ,0.99   ,3.32   ,2.61   ,1.75
199609  ,-1.40  ,-0.43  ,-0.73   ,1.23   ,2.65   ,1.54
