Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199007   ,5.73   ,5.32   ,4.70   ,6.01   ,4.71   ,4.84
199008  ,-9.52 ,-10.14 ,-10.73  ,-8.93 ,-10.79 ,-11.04
199009  ,-9.43  ,-9.74 ,-11.06 ,-11.09 ,-11.45 ,-13.02
199010   ,4.05   ,6.23   ,4.63   ,7.11   ,7.30   ,7.98
199011  ,-2.21  ,-2.06  ,-2.10   ,0.36   ,0.26   ,0.91
199012  ,-0.25   ,0.28  ,-0.92  ,-1.42  ,-0.80  ,-1.37
199101  ,-0.75  ,-1.69  ,-2.30   ,0.92   ,2.82   ,3.14
199102   ,7.70   ,9.58   ,9.84   ,6.53   ,7.86   ,9.03
199103  ,-6.00  ,-4.49  ,-3.39  ,-7.20  ,-5.51  ,-6.94
199104  ,-0.53   ,0.09  ,-1.50   ,0.51  ,-0.40  ,-1.16
199105  ,-0.88  ,-1.20  ,-3.00   ,1.64   ,2.30  ,-0.14
199106  ,-6.11  ,-5.49  ,-6.90  ,-6.75  ,-6.87  ,-7.64
199107   ,2.12   ,3.44   ,3.02   ,6.27   ,5.88   ,6.36
199108   ,0.66   ,1.62   ,0.60   ,2.23   ,1.86   ,1.88
199109   ,5.53   ,4.68   ,4.83   ,1.93   ,3.76   ,3.70
199110  ,-2.30  ,-2.52  ,-3.58  ,-2.37  ,-2.22  ,-1.52
199111  ,-1.65  ,-1.35  ,-1.66  ,-2.48  ,-1.84  ,-1.60
199112   ,1.30   ,4.42   ,3.30   ,6.55   ,7.37   ,7.17
199201  ,-0.40  ,-0.63  ,-1.11  ,-0.23   ,0.48  ,-0.43
199202   ,0.14  ,-0.55  ,-0.73  ,-1.02   ,0.27   ,0.16
199203  ,-3.51  ,-2.39  ,-3.28  ,-2.48  ,-3.63  ,-3.70
199204   ,5.51   ,3.22   ,3.82   ,6.50   ,5.57   ,4.39
199205   ,5.76   ,6.13   ,4.64   ,5.78   ,5.22   ,5.23
199206  ,-0.97   ,0.17  ,-1.25  ,-1.71  ,-0.44  ,-1.97
199207  ,-6.19  ,-3.59  ,-5.25  ,-3.86  ,-3.41  ,-3.87
199208  ,-3.02  ,-0.63  ,-1.57  ,-1.33  ,-0.40   ,0.23
199209  ,-6.15  ,-6.35  ,-5.71  ,-1.43  ,-2.05  ,-3.60
199210  ,-9.87  ,-9.01  ,-9.12  ,-8.26  ,-6.98  ,-6.69
199211  ,-1.99  ,-2.72  ,-4.06  ,-0.13  ,-0.00  ,-0.39
199212   ,1.90  ,-0.28   ,1.34   ,1.99   ,1.34   ,1.18
199301   ,5.01   ,3.54   ,3.06   ,0.63   ,0.48   ,0.33
199302   ,0.69   ,1.22   ,0.06   ,1.20   ,1.76   ,1.22
199303   ,8.02   ,6.21   ,5.74   ,7.00   ,5.68   ,3.93
199304   ,6.33   ,5.38   ,5.05   ,2.42   ,1.49   ,1.61
199305   ,1.87   ,1.21   ,1.35   ,2.00   ,0.82   ,0.60
199306  ,-3.66  ,-4.60  ,-4.74  ,-2.02  ,-2.19  ,-4.82
199307   ,1.25   ,0.71   ,0.86   ,2.60   ,1.45   ,0.59
199308   ,9.90   ,9.89   ,9.69   ,8.00   ,9.26   ,8.81
199309   ,0.38   ,0.53   ,0.14  ,-0.21  ,-0.49  ,-0.89
