Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199007   ,4.62   ,5.49   ,5.75   ,5.11   ,5.59   ,4.49
199008  ,-9.93  ,-9.72 ,-10.16 ,-10.15 ,-10.04 ,-10.91
199009  ,-9.84  ,-9.48 ,-10.48 ,-12.76 ,-11.72 ,-11.40
199010   ,3.50   ,5.11   ,5.73   ,7.59   ,7.48   ,7.10
199011  ,-2.34  ,-2.54  ,-2.12   ,0.51  ,-0.09   ,0.77
199012  ,-0.35  ,-0.63   ,0.05  ,-1.98  ,-0.99  ,-0.35
199101  ,-2.16  ,-1.59  ,-1.03   ,2.29   ,1.81   ,2.52
199102   ,7.58   ,9.79   ,8.74   ,7.80   ,8.05   ,7.40
199103  ,-5.65  ,-4.96  ,-3.16  ,-6.74  ,-7.30  ,-4.85
199104  ,-1.41  ,-0.90   ,0.12  ,-0.78  ,-0.15  ,-0.32
199105  ,-2.42  ,-1.91  ,-1.21   ,0.44   ,1.75   ,1.58
199106  ,-6.18  ,-6.34  ,-5.93  ,-7.93  ,-6.93  ,-6.81
199107   ,1.64   ,2.86   ,3.91   ,3.96   ,6.67   ,7.10
199108  ,-1.53   ,1.72   ,2.72   ,1.31   ,1.86   ,2.55
199109   ,3.08   ,4.69   ,6.97   ,2.13   ,3.72   ,3.64
199110  ,-3.84  ,-2.40  ,-2.21  ,-3.09  ,-2.59  ,-0.83
199111  ,-1.99  ,-1.24  ,-1.35  ,-2.69  ,-1.83  ,-1.83
199112   ,3.63   ,3.04   ,2.93   ,5.13   ,7.17   ,8.21
199201  ,-1.60  ,-0.66   ,0.08  ,-0.11   ,0.93  ,-1.19
199202  ,-1.82  ,-0.02   ,0.40  ,-1.07   ,0.99  ,-0.79
199203  ,-3.34  ,-2.39  ,-3.21  ,-4.27  ,-3.18  ,-3.23
199204   ,2.11   ,3.97   ,5.80   ,4.24   ,6.41   ,5.77
199205   ,4.27   ,5.77   ,6.19   ,5.43   ,5.13   ,5.52
199206  ,-0.41  ,-0.44  ,-0.75  ,-1.44  ,-0.77  ,-1.27
199207  ,-6.16  ,-4.62  ,-3.89  ,-5.26  ,-4.22  ,-1.89
199208  ,-2.51  ,-1.24  ,-1.59  ,-1.42  ,-0.39   ,0.18
199209  ,-7.88  ,-5.26  ,-5.19  ,-2.57  ,-2.38  ,-2.36
199210  ,-8.24  ,-9.67 ,-10.46  ,-4.44  ,-7.60  ,-8.20
199211  ,-2.16  ,-3.84  ,-2.53  ,-1.20  ,-0.06   ,0.29
199212  ,-0.48   ,0.99   ,2.95   ,0.90   ,1.60   ,1.54
199301   ,3.24   ,4.02   ,4.87   ,2.74   ,0.68  ,-1.32
199302   ,0.54   ,0.60   ,0.82   ,1.73   ,2.40  ,-0.00
199303   ,7.08   ,6.36   ,7.40   ,5.60   ,6.04   ,5.08
199304   ,6.06   ,5.19   ,5.48   ,3.46   ,1.72   ,0.80
199305   ,2.14   ,0.94   ,1.27   ,1.20   ,0.79   ,1.20
199306  ,-4.27  ,-4.34  ,-4.25  ,-1.70  ,-2.92  ,-3.57
199307   ,0.98   ,0.45   ,1.06   ,2.26   ,1.61   ,0.42
199308   ,9.97   ,9.73   ,9.69   ,8.50   ,8.28   ,9.83
199309   ,0.09   ,0.48   ,1.03  ,-0.76  ,-0.72  ,-0.13
199310   ,0.80   ,1.40   ,1.16   ,2.31   ,2.77   ,3.37
199311  ,-1.98  ,-1.13  ,-1.10  ,-2.90  ,-1.62  ,-2.23
199312   ,6.02   ,5.64   ,4.83   ,7.28   ,7.74   ,7.50
199401  ,13.33  ,11.44  ,11.09   ,7.98   ,4.61   ,5.19
199402   ,0.55   ,0.39   ,1.04  ,-3.92  ,-3.61  ,-3.62
199403  ,-1.66  ,-0.35  ,-1.36  ,-3.21  ,-2.88  ,-2.18
199404   ,3.94   ,4.45   ,2.92   ,4.30   ,4.57   ,3.55
199405  ,-1.90  ,-2.01  ,-2.23  ,-3.59  ,-3.79  ,-4.24
199406  ,-1.46  ,-0.93  ,-1.16  ,-1.47  ,-0.60  ,-0.74
199407   ,1.42   ,2.65   ,3.14   ,5.18   ,5.09   ,5.58
199408   ,0.63   ,1.36   ,2.48  ,-0.07   ,2.26   ,4.13
199409  ,-0.45  ,-0.61  ,-0.68  ,-3.17  ,-3.72  ,-3.23
