Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007   ,6.13   ,4.33   ,6.09   ,6.55   ,7.80   ,1.86   ,5.69   ,4.96   ,8.17  ,11.09   ,4.66   ,5.35   ,5.62   ,5.71   ,6.86   ,5.26   ,2.37   ,2.80   ,5.88   ,6.65  ,-0.10  ,-2.57  ,-0.29  ,-0.45   ,0.13
199008 ,-16.86 ,-18.06 ,-15.98 ,-15.92 ,-15.12 ,-17.99 ,-14.98 ,-15.56 ,-14.30 ,-15.52 ,-15.22 ,-13.76 ,-13.99 ,-16.09 ,-16.00 ,-13.17 ,-15.42 ,-15.56 ,-12.15 ,-14.60  ,-9.64 ,-10.03  ,-9.23 ,-11.77  ,-9.61
199009 ,-15.02 ,-14.45 ,-15.76 ,-13.47 ,-16.43 ,-12.82 ,-17.65 ,-16.11 ,-18.30 ,-15.91 ,-17.30 ,-17.87 ,-15.39 ,-17.51 ,-17.23 ,-18.53 ,-16.07 ,-17.40 ,-18.89 ,-18.72 ,-19.32 ,-16.09 ,-17.84 ,-15.76 ,-14.25
199010  ,24.03  ,21.84  ,21.94  ,20.24  ,25.98  ,29.36  ,25.58  ,27.70  ,27.69  ,25.76  ,29.35  ,27.23  ,24.50  ,27.40  ,26.07  ,28.31  ,32.13  ,29.25  ,25.96  ,30.17  ,25.66  ,30.09  ,25.97  ,23.90  ,19.28
199011 ,-21.43 ,-18.92 ,-17.38 ,-16.56 ,-19.68 ,-17.63 ,-18.99 ,-15.56 ,-18.76 ,-16.15 ,-19.38 ,-19.58 ,-15.45 ,-19.41 ,-18.92 ,-20.32 ,-16.91 ,-16.95 ,-17.13 ,-17.87 ,-14.57 ,-10.11 ,-11.77 ,-13.25 ,-13.19
199012  ,-1.44  ,-1.62  ,-2.84  ,-2.24  ,-2.65  ,-0.66  ,-6.34  ,-4.91  ,-4.14  ,-4.33  ,-1.87  ,-5.34  ,-1.79  ,-3.57  ,-3.20  ,-2.35   ,0.21  ,-0.89  ,-0.66  ,-1.69   ,5.11   ,5.97   ,5.62   ,3.00  ,-0.20
199101  ,-9.89  ,-7.68  ,-4.95  ,-7.92  ,-6.03  ,-3.98  ,-6.29  ,-6.29  ,-6.34  ,-5.73  ,-6.33  ,-3.02  ,-1.87  ,-2.88  ,-4.63  ,-1.96  ,-1.63  ,-2.18  ,-0.86  ,-2.21   ,2.96   ,3.65   ,4.01   ,1.41   ,2.55
199102  ,27.73  ,28.04  ,27.14  ,23.15  ,16.53  ,22.41  ,26.72  ,28.66  ,24.29  ,21.41  ,23.37  ,23.46  ,18.35  ,20.40  ,21.18  ,21.72  ,17.65  ,20.63  ,18.78  ,18.78  ,11.12   ,8.00  ,10.81  ,16.38  ,12.66
199103  ,-0.50   ,4.17  ,-5.39   ,4.75   ,0.03  ,-1.99   ,0.22  ,-3.17  ,-1.11  ,-1.75  ,-0.92  ,-3.64   ,1.52  ,-0.33  ,-0.59  ,-4.37  ,-2.28  ,-3.36  ,-1.86  ,-1.31  ,-5.61  ,-3.85  ,-4.26  ,-5.15  ,-5.84
199104   ,4.45   ,3.47   ,5.69   ,3.94  ,10.56   ,2.62   ,2.95   ,1.31   ,6.98   ,5.42   ,1.59   ,3.04   ,5.68   ,3.20   ,2.87  ,-0.21   ,1.42   ,2.71   ,1.88   ,3.81   ,2.02   ,2.96   ,2.63   ,1.90   ,2.00
