Date,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
199007   ,4.10  ,10.08   ,8.62   ,5.30  ,13.13   ,6.46   ,4.02   ,7.71   ,4.84   ,6.81   ,4.77   ,8.60   ,4.62   ,1.84   ,5.63   ,4.16   ,3.12   ,5.78   ,3.86   ,4.56  ,-0.87   ,0.07  ,-1.72  ,-2.20  ,-0.22
199008 ,-16.17 ,-16.01 ,-18.36 ,-17.81 ,-16.79 ,-16.25 ,-15.59 ,-14.71 ,-17.02 ,-14.76 ,-16.43 ,-13.03 ,-12.99 ,-16.39 ,-17.02 ,-15.59 ,-15.07 ,-11.33 ,-15.98 ,-13.42 ,-10.34 ,-12.35 ,-11.47  ,-7.20  ,-8.87
199009 ,-17.95  ,-7.42 ,-20.21 ,-17.76 ,-16.34 ,-17.81 ,-12.73 ,-18.07 ,-15.10 ,-15.60 ,-15.81 ,-19.73 ,-12.82 ,-17.58 ,-17.67 ,-18.32 ,-18.32 ,-16.94 ,-15.98 ,-17.77 ,-18.24 ,-13.51 ,-18.39 ,-17.96 ,-14.55
199010  ,29.53  ,19.96  ,30.11  ,28.37  ,24.83  ,25.66  ,33.60  ,30.65  ,29.00  ,24.31  ,26.45  ,32.67  ,20.65  ,31.18  ,27.08  ,31.38  ,30.05  ,24.51  ,30.20  ,29.01  ,27.74  ,33.18  ,26.96  ,22.96  ,21.12
199011 ,-20.98 ,-18.36 ,-14.81 ,-21.02 ,-19.21 ,-19.81 ,-16.84 ,-17.62 ,-16.73 ,-17.45 ,-18.15 ,-19.79 ,-16.73 ,-19.99 ,-18.01 ,-18.02 ,-18.95 ,-17.55 ,-16.19 ,-17.72 ,-15.11 ,-15.11 ,-11.81  ,-9.39 ,-11.30
199012  ,-0.88  ,-1.47  ,-0.01  ,-1.43  ,-7.48  ,-3.26  ,-2.45  ,-4.35  ,-3.06  ,-3.96  ,-2.53  ,-4.22  ,-1.77  ,-1.90  ,-4.17  ,-1.35  ,-0.47  ,-1.49   ,0.86  ,-2.17   ,7.33   ,4.40   ,6.29   ,4.41   ,0.40
199101  ,-9.31  ,-5.60 ,-11.33  ,-5.79  ,-6.23  ,-6.72  ,-2.71  ,-8.75  ,-6.71  ,-7.27  ,-4.30  ,-4.14  ,-0.69  ,-6.20  ,-5.29  ,-2.56  ,-1.79  ,-0.50  ,-1.48  ,-3.46   ,2.44   ,0.41   ,3.21   ,5.98   ,2.00
199102  ,29.81  ,24.11  ,22.98  ,24.90  ,23.53  ,28.08  ,22.50  ,31.35  ,26.28  ,21.18  ,21.60  ,22.83  ,18.77  ,27.31  ,21.84  ,21.45  ,19.33  ,21.83  ,15.55  ,19.32  ,11.65  ,12.39  ,11.39   ,8.67  ,11.41
199103  ,-2.51  ,-3.28   ,8.74  ,-2.62  ,-4.65  ,-2.48  ,-1.73  ,-2.14  ,-1.90  ,-0.33  ,-0.76  ,-1.62  ,-1.83  ,-2.10   ,0.36  ,-3.79  ,-3.12  ,-3.94  ,-0.48  ,-2.21  ,-6.88  ,-4.60  ,-4.38  ,-4.62  ,-4.42
199104   ,3.56  ,10.87   ,4.76   ,7.37   ,5.27   ,4.37   ,5.12   ,4.70   ,3.32   ,1.95   ,2.59   ,1.93   ,3.29   ,2.50   ,3.97   ,0.68   ,1.30   ,0.54   ,2.76   ,3.12   ,1.63  ,-0.45   ,2.93   ,4.39   ,2.41
