Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP
199007   ,4.71   ,9.14   ,8.38   ,5.20   ,9.36   ,5.57   ,6.08   ,6.29   ,7.20   ,6.97   ,2.30   ,5.56   ,8.50   ,7.73   ,7.23   ,5.32   ,5.29   ,4.13   ,2.84   ,3.89  ,-0.65   ,1.15  ,-0.89  ,-0.98  ,-1.99
199008 ,-15.98 ,-16.35 ,-17.58 ,-13.21 ,-21.25 ,-16.75 ,-14.93 ,-14.45 ,-17.04 ,-14.69 ,-14.44 ,-15.77 ,-15.26 ,-15.00 ,-15.32 ,-11.94 ,-15.99 ,-15.05 ,-14.70 ,-13.85 ,-10.81 ,-12.29  ,-8.58 ,-10.73  ,-8.90
199009 ,-14.87 ,-16.14 ,-14.88 ,-15.08 ,-14.02 ,-16.05 ,-13.68 ,-18.98 ,-17.70 ,-17.03 ,-15.91 ,-18.19 ,-17.14 ,-16.14 ,-17.55 ,-19.31 ,-16.49 ,-15.54 ,-16.62 ,-19.73 ,-15.32 ,-15.11 ,-17.31 ,-18.29 ,-16.21
199010  ,24.34  ,25.76  ,22.18  ,16.28  ,26.03  ,31.71  ,21.95  ,33.80  ,21.82  ,30.22  ,28.02  ,31.14  ,22.25  ,25.82  ,21.70  ,27.80  ,28.51  ,28.03  ,29.41  ,31.29  ,22.91  ,24.73  ,21.01  ,27.08  ,29.70
199011 ,-19.04 ,-19.80 ,-20.60 ,-16.96 ,-18.52 ,-20.16 ,-15.90 ,-15.00 ,-15.71 ,-18.52 ,-20.32 ,-18.95 ,-17.33 ,-14.01 ,-18.03 ,-20.98 ,-17.18 ,-14.95 ,-16.39 ,-17.96 ,-15.21 ,-14.86 ,-11.51  ,-8.92 ,-12.66
199012  ,-0.49  ,-4.04  ,-0.71  ,-2.93  ,-8.39  ,-1.24  ,-4.84  ,-6.97  ,-3.07  ,-6.09  ,-3.84  ,-3.25  ,-2.41  ,-3.48  ,-1.22  ,-2.03   ,0.14  ,-1.50  ,-0.61  ,-1.04   ,2.56   ,2.44   ,4.37   ,4.50   ,5.35
199101  ,-8.30  ,-7.19  ,-5.30  ,-9.83  ,-9.82  ,-5.26  ,-6.07  ,-5.96  ,-4.50  ,-6.68  ,-3.56  ,-5.14  ,-5.01  ,-2.64  ,-4.87  ,-2.70  ,-3.04  ,-1.09  ,-0.90  ,-1.20  ,-0.09   ,0.93   ,3.22   ,5.35   ,3.30
199102  ,25.20  ,22.56  ,22.37  ,25.61  ,26.76  ,28.02  ,23.77  ,19.92  ,19.65  ,25.72  ,22.96  ,21.78  ,20.69  ,16.16  ,21.54  ,24.51  ,19.27  ,15.15  ,16.86  ,19.90  ,16.00  ,16.40   ,9.09   ,6.90  ,11.03
199103  ,-1.01   ,2.21  ,-0.17   ,0.95  ,-4.84  ,-2.13  ,-2.37   ,0.13  ,-0.83  ,-1.34  ,-1.79   ,0.13  ,-0.42  ,-2.11   ,2.07  ,-4.19  ,-2.80  ,-1.38  ,-2.58  ,-1.46  ,-5.99  ,-7.56  ,-3.08  ,-3.58  ,-5.17
199104   ,5.94   ,5.08   ,5.43   ,2.74  ,13.21   ,3.32   ,4.00   ,4.00   ,5.35   ,4.32   ,2.18   ,4.58   ,3.01   ,2.65   ,2.99   ,1.47   ,1.57   ,2.20   ,2.84   ,0.43   ,0.99   ,2.59   ,3.04   ,4.05   ,1.41
199105  ,-3.32  ,-0.98  ,-1.91  ,-6.56  ,-2.18  ,-2.47  ,-3.74  ,-1.02  ,-0.10  ,-2.34  ,-3.48  ,-1.85  ,-3.10   ,0.48  ,-2.20  ,-2.89  ,-1.51  ,-0.63  ,-2.57  ,-1.84  ,-1.58  ,-1.46  ,-2.17  ,-0.75  ,-1.41
199106  ,-7.33  ,-1.78  ,-6.20  ,-3.64  ,-4.42  ,-5.38  ,-6.45  ,-4.96  ,-4.37  ,-5.26  ,-7.29  ,-5.28  ,-2.21  ,-3.57  ,-4.24  ,-9.84  ,-5.81  ,-4.33  ,-5.74  ,-8.17  ,-8.86  ,-7.19  ,-4.90  ,-7.30  ,-8.17
199107  ,-1.34  ,-3.76  ,-2.79  ,-2.89  ,-2.82  ,-1.65  ,-0.32  ,-0.62   ,0.08  ,-0.92   ,2.92  ,-2.14  ,-2.34  ,-1.77  ,-1.17  ,-1.46   ,0.25  ,-0.57   ,1.22   ,0.52   ,1.93   ,1.87   ,2.38   ,2.46   ,4.41
