Date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199011 ,-20.20 ,-21.18 ,-18.72 ,-18.34 ,-13.32 ,-23.03 ,-19.81 ,-16.94 ,-17.20 ,-15.42 ,-19.43 ,-20.65 ,-19.64 ,-16.50 ,-13.74 ,-18.83 ,-18.02 ,-19.21 ,-16.57 ,-15.16 ,-11.84 ,-10.46 ,-15.32 ,-12.05 ,-16.40
199012  ,-2.59  ,-2.66  ,-3.41  ,-6.06  ,-8.49  ,-2.42  ,-0.90  ,-2.22  ,-3.63  ,-4.41   ,0.61  ,-0.72  ,-1.56  ,-4.85  ,-6.78   ,0.45   ,3.31  ,-0.71  ,-1.39  ,-6.32   ,8.07   ,5.53   ,2.53  ,-0.74  ,-6.21
199101  ,-7.95  ,-4.68  ,-8.76  ,-6.63  ,-4.28  ,-5.98  ,-5.45  ,-3.11  ,-4.97  ,-3.19  ,-3.42  ,-2.86  ,-3.67  ,-3.28  ,-5.42  ,-1.86  ,-3.85  ,-1.56   ,0.17   ,1.00   ,3.05   ,3.27   ,3.60   ,3.26   ,2.36
199102  ,33.43  ,24.27  ,19.67  ,17.02  ,15.43  ,32.38  ,30.73  ,20.10  ,20.94  ,11.90  ,25.31  ,25.56  ,18.59  ,15.61  ,12.23  ,24.10  ,18.59  ,20.38  ,14.33   ,8.85  ,20.93  ,13.96  ,10.74   ,6.81   ,8.07
199103  ,-0.25   ,3.08   ,0.63   ,0.52   ,1.49  ,-0.87   ,0.61   ,1.67  ,-2.27   ,1.56  ,-0.51  ,-0.87   ,1.15   ,1.87   ,2.69  ,-3.50  ,-1.35  ,-2.98  ,-3.86   ,0.15  ,-5.64  ,-5.64  ,-6.33  ,-4.08  ,-2.90
199104   ,7.38   ,7.69   ,5.90   ,3.84   ,9.77   ,4.21   ,5.43   ,4.83   ,3.91   ,7.01   ,3.19   ,3.42   ,3.83   ,6.02   ,3.20   ,1.58   ,1.95   ,2.16   ,1.73   ,5.51   ,2.64   ,0.98   ,1.75   ,3.50   ,2.24
199105  ,-4.51  ,-2.03  ,-1.66  ,-1.68   ,0.11  ,-4.10  ,-2.00  ,-2.65  ,-1.75   ,0.04  ,-3.31  ,-2.02  ,-1.45  ,-2.82  ,-0.90  ,-3.87  ,-1.83  ,-1.99  ,-1.79  ,-1.04  ,-1.78  ,-2.94  ,-0.44  ,-1.00  ,-0.97
199106  ,-4.59  ,-3.29  ,-2.07  ,-1.93   ,1.67  ,-6.55  ,-6.05  ,-2.71  ,-3.91  ,-2.54  ,-5.13  ,-4.36  ,-3.22  ,-6.22  ,-2.00  ,-8.66  ,-6.82  ,-6.69  ,-5.20  ,-1.05  ,-9.44  ,-8.28  ,-7.54  ,-6.90  ,-5.26
199107  ,-3.78  ,-1.71  ,-2.57  ,-4.03  ,-5.76  ,-0.89  ,-0.42  ,-2.01  ,-3.99  ,-3.84  ,-1.50  ,-0.19  ,-0.75  ,-1.67  ,-0.93  ,-0.53  ,-0.12  ,-0.79   ,0.51  ,-1.46   ,1.40   ,2.35   ,2.52   ,3.28   ,3.78
199108 ,-10.67 ,-10.56  ,-8.62  ,-7.99  ,-7.73 ,-12.71 ,-11.67 ,-10.22 ,-11.55  ,-9.59 ,-12.27 ,-10.65 ,-11.55  ,-8.22  ,-9.07 ,-12.33 ,-10.62  ,-8.71 ,-11.75  ,-9.02  ,-8.90 ,-10.00  ,-6.85  ,-5.51  ,-2.36
