Date,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,ME1 BM1 HiOP,ME1 BM2 LoOP,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 HiOP,ME1 BM3 LoOP,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 HiOP,ME1 BM4 LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,ME2 BM1 HiOP,ME2 BM2 LoOP,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 HiOP,ME2 BM3 LoOP,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 HiOP,ME2 BM4 LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
199007     ,1.09     ,0.92     ,4.96     ,5.94     ,2.71     ,3.49     ,5.32     ,4.67     ,1.99     ,5.51    ,10.21     ,9.36     ,6.45     ,8.10     ,9.38    ,14.43     ,0.33    ,-2.45    ,-3.42     ,2.26     ,0.37     ,0.85     ,0.63    ,-2.70     ,0.50     ,3.46     ,2.21    ,-2.46     ,2.58     ,5.05     ,0.68    ,-0.89
199008   ,-16.73   ,-16.97   ,-18.72   ,-17.85   ,-12.16   ,-16.73   ,-14.23   ,-15.28   ,-17.10   ,-14.86   ,-14.73   ,-16.14   ,-13.79   ,-15.90   ,-16.38   ,-12.36   ,-10.13   ,-12.11   ,-11.09    ,-8.70   ,-13.09   ,-10.47   ,-10.69    ,-8.89   ,-15.17   ,-11.85   ,-12.10    ,-9.95   ,-10.54   ,-13.01   ,-10.42    ,-8.50
199009    ,-9.76   ,-14.01   ,-18.99   ,-15.16   ,-16.98   ,-16.82   ,-11.98   ,-20.02   ,-15.16   ,-16.03   ,-17.77   ,-15.40   ,-17.94   ,-15.81   ,-15.51   ,-19.37   ,-17.19   ,-17.93   ,-17.93   ,-20.63   ,-16.14   ,-18.52   ,-18.51   ,-16.01   ,-15.04   ,-14.95   ,-15.89   ,-16.81   ,-16.12   ,-16.85   ,-13.97   ,-14.15
199010    ,28.57    ,24.04    ,29.82    ,26.89    ,30.19    ,29.35    ,20.62    ,28.03    ,30.72    ,27.66    ,30.40    ,23.39    ,22.50    ,32.00    ,23.24    ,22.44    ,21.88    ,29.51    ,27.34    ,30.85    ,27.09    ,25.13    ,26.23    ,33.91    ,26.43    ,23.81    ,23.54    ,24.03    ,26.78    ,24.74    ,18.72    ,16.48
199011   ,-19.88   ,-16.81   ,-18.83   ,-17.42   ,-21.89   ,-21.94   ,-17.79   ,-18.51   ,-23.39   ,-16.97   ,-19.16   ,-15.39   ,-17.71   ,-18.96   ,-17.81   ,-16.31   ,-19.77   ,-11.73   ,-11.08   ,-14.67   ,-12.14   ,-12.99   ,-11.93   ,-10.46   ,-17.21   ,-13.78   ,-15.87   ,-10.95   ,-16.67   ,-15.56   ,-12.39   ,-14.69
199012     ,0.92    ,-1.05     ,0.69    ,-3.97    ,-0.18    ,-2.87    ,-6.00    ,-4.08    ,-0.99    ,-5.25    ,-5.18    ,-0.42    ,-4.42    ,-3.78    ,-2.71    ,-6.58     ,1.39     ,9.23     ,6.85     ,1.99     ,3.56     ,2.15     ,4.82     ,6.45     ,2.40     ,1.05     ,1.23     ,4.86    ,-1.03    ,-1.48    ,-0.94     ,1.97
199101    ,-2.11    ,-9.40    ,-6.02    ,-9.53    ,-9.99    ,-5.23    ,-8.40    ,-5.54    ,-2.26    ,-4.71    ,-6.31    ,-2.67    ,-3.84    ,-6.65    ,-4.03    ,-0.71    ,-0.16     ,4.97     ,2.37     ,1.92    ,-0.46     ,0.04     ,1.57     ,5.83    ,-0.80     ,1.34     ,0.04     ,2.75    ,-0.71    ,-0.48     ,4.13     ,0.65
199102    ,23.41    ,19.81    ,23.34    ,25.07    ,35.10    ,26.60    ,24.66    ,26.49    ,27.64    ,25.73    ,24.60    ,16.34    ,20.03    ,23.55    ,20.41    ,16.97    ,18.13     ,6.16     ,9.07    ,12.66    ,15.62    ,16.58    ,10.63     ,6.71    ,21.79    ,12.17    ,14.11    ,13.35    ,18.35    ,15.91     ,9.29    ,18.13
199103    ,-3.11    ,-3.30    ,-3.57    ,-0.11    ,-1.76     ,0.79     ,1.03    ,-0.33    ,-4.02    ,-1.64     ,1.17    ,-0.05    ,-0.52    ,-0.28     ,0.72    ,-1.52    ,-7.23    ,-2.41    ,-6.05    ,-5.22    ,-5.99    ,-4.72    ,-3.63    ,-3.41    ,-3.65    ,-3.25    ,-0.71    ,-5.52    ,-5.48    ,-4.06    ,-4.80    ,-5.75
199104     ,0.79     ,1.20     ,3.73     ,2.24    ,-1.30     ,6.44     ,3.55     ,3.21     ,4.61     ,3.22     ,3.67     ,4.42     ,9.04     ,3.02     ,4.76     ,8.61     ,0.23     ,4.10     ,3.52     ,1.45     ,3.31     ,2.34     ,4.54     ,1.84     ,0.92     ,3.70     ,1.68     ,1.80     ,1.30     ,2.69     ,2.76     ,1.64
