Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007   ,3.99   ,5.52   ,8.70  ,-1.23   ,0.14   ,1.30
199008 ,-16.38 ,-15.28 ,-15.23 ,-10.24 ,-11.01 ,-10.74
199009 ,-14.42 ,-17.26 ,-16.37 ,-17.87 ,-16.55 ,-15.65
199010  ,26.27  ,29.33  ,25.04  ,29.65  ,25.59  ,21.77
199011 ,-19.31 ,-18.77 ,-18.07 ,-12.91 ,-12.11 ,-14.54
199012  ,-1.87  ,-3.37  ,-3.35   ,5.56   ,3.57  ,-0.17
199101  ,-6.90  ,-4.94  ,-4.11   ,3.50   ,2.02   ,1.19
199102  ,24.43  ,25.96  ,20.55   ,9.62  ,12.78  ,15.10
199103  ,-1.37  ,-1.12  ,-0.03  ,-4.31  ,-4.25  ,-4.85
199104   ,2.62   ,3.24   ,5.50   ,2.08   ,2.88   ,2.19
199105  ,-3.81  ,-1.48  ,-1.78  ,-1.27  ,-0.94  ,-2.49
199106  ,-6.90  ,-6.08  ,-3.68  ,-8.13  ,-7.83  ,-4.21
199107  ,-1.20  ,-0.51  ,-1.04   ,1.55   ,2.83   ,3.39
199108 ,-11.43 ,-11.42 ,-11.04  ,-5.66  ,-5.65  ,-7.73
199109  ,10.77  ,10.94  ,10.53   ,8.54   ,9.43   ,8.93
199110   ,8.38   ,6.97   ,4.59   ,6.16   ,4.31   ,3.11
199111 ,-10.44 ,-10.13 ,-10.35  ,-8.26  ,-6.69  ,-9.06
199112   ,4.97   ,3.79   ,3.82   ,3.01   ,2.60   ,3.98
199201  ,-6.14  ,-6.60  ,-5.93  ,-6.15  ,-6.48  ,-2.53
199202  ,-4.22  ,-4.25  ,-4.54  ,-6.55  ,-7.78  ,-7.64
199203 ,-13.80 ,-10.80 ,-11.86 ,-12.67 ,-10.17  ,-9.98
199204 ,-11.16 ,-11.04  ,-8.97  ,-9.45  ,-9.07  ,-0.73
199205  ,14.26  ,14.94  ,12.01   ,9.82   ,8.68   ,7.26
199206 ,-10.43  ,-7.76  ,-7.98  ,-9.80  ,-8.91  ,-7.27
199207  ,-9.14  ,-7.84  ,-7.41  ,-0.10  ,-3.16  ,-4.06
199208  ,13.52  ,11.11  ,10.33  ,22.59  ,15.03  ,12.61
199209   ,1.68   ,0.66   ,0.02  ,-3.76  ,-2.32  ,-2.37
199210  ,-8.09  ,-5.26  ,-6.64  ,-5.01  ,-5.61  ,-4.09
199211  ,-0.53  ,-0.84  ,-1.14   ,4.06   ,1.18   ,1.86
