Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199007   ,5.91   ,6.12   ,6.14   ,0.37  ,-0.72  ,-0.33
199008 ,-16.47 ,-13.79 ,-17.21 ,-11.86 ,-10.64  ,-9.21
199009 ,-15.81 ,-16.43 ,-16.12 ,-16.68 ,-17.26 ,-16.16
199010  ,28.16  ,26.86  ,27.82  ,32.61  ,24.68  ,23.46
199011 ,-18.92 ,-18.74 ,-19.20 ,-16.11 ,-12.07 ,-11.48
199012  ,-2.31  ,-2.83  ,-2.86   ,4.66   ,4.64   ,1.47
199101  ,-4.42  ,-6.66  ,-7.46   ,0.64   ,3.62   ,2.32
199102  ,24.46  ,26.35  ,24.58  ,12.83  ,12.06  ,11.22
199103  ,-1.60  ,-1.59   ,0.35  ,-5.19  ,-4.09  ,-4.63
199104   ,4.25   ,3.86   ,1.90  ,-0.08   ,3.23   ,3.21
199105  ,-2.20  ,-3.04  ,-1.74  ,-1.68  ,-1.14  ,-1.89
199106  ,-4.61  ,-6.54  ,-6.44  ,-7.66  ,-7.73  ,-6.41
199107   ,0.19  ,-0.16  ,-0.98   ,2.49   ,2.27   ,3.07
199108 ,-11.72 ,-11.54 ,-12.31  ,-6.23  ,-6.59  ,-5.77
199109  ,12.98  ,11.04  ,11.56  ,10.51   ,8.27   ,9.04
199110   ,8.24   ,7.03   ,6.65   ,3.55   ,4.45   ,5.02
199111 ,-10.70 ,-11.09 ,-10.95  ,-7.40  ,-8.25  ,-7.97
199112   ,4.72   ,5.45   ,3.17   ,3.69   ,3.78   ,2.48
199201  ,-5.46  ,-6.37  ,-6.17  ,-4.63  ,-5.27  ,-6.06
199202  ,-3.74  ,-5.31  ,-4.69  ,-4.91  ,-7.65  ,-8.99
199203 ,-12.89 ,-13.01 ,-11.45 ,-10.93 ,-10.83 ,-11.10
199204 ,-10.94 ,-11.11  ,-9.91  ,-5.69  ,-5.98  ,-8.62
199205  ,14.16  ,15.17  ,14.96   ,8.90   ,8.08   ,8.49
199206  ,-8.90  ,-9.42  ,-8.75  ,-7.52  ,-8.86  ,-9.91
199207  ,-6.92  ,-7.76  ,-9.29   ,1.20  ,-4.00  ,-5.14
199208  ,11.02  ,12.27  ,14.13  ,20.73  ,13.01  ,17.41
199209   ,1.21   ,0.59   ,0.09  ,-2.45  ,-2.70  ,-3.67
199210  ,-7.31  ,-5.54  ,-6.76  ,-5.55  ,-4.40  ,-5.23
199211  ,-0.29  ,-0.28  ,-1.41   ,3.12   ,1.67   ,2.57
199212   ,0.07   ,1.63   ,0.72  ,-1.03  ,-1.06  ,-1.21
199301  ,-1.77  ,-2.40  ,-3.07  ,-0.70  ,-0.49  ,-0.42
199302   ,5.88   ,5.68   ,6.93   ,5.18   ,3.24   ,4.81
199303  ,16.48  ,16.59  ,17.63  ,16.78  ,15.44  ,17.59
199304  ,19.65  ,17.67  ,17.82  ,16.34  ,17.88  ,16.52
199305  ,17.33  ,14.46  ,16.39   ,5.78   ,1.89   ,3.38
199306  ,-6.67  ,-5.91  ,-6.97  ,-2.08  ,-5.01  ,-4.80
199307   ,2.12   ,2.94   ,2.95   ,8.23   ,7.08   ,6.77
199308   ,0.95   ,2.57   ,2.66   ,2.43   ,2.40   ,2.53
199309  ,-5.91  ,-4.03  ,-2.92  ,-6.79  ,-5.21  ,-2.74
199310  ,-9.93  ,-9.56  ,-8.28  ,-0.53  ,-0.94  ,-4.60
199311 ,-19.06 ,-16.99 ,-16.26 ,-19.83 ,-14.00 ,-12.83
199312   ,2.87   ,2.26   ,0.38   ,2.98   ,2.72   ,0.68
199401  ,21.01  ,17.24  ,17.38  ,18.57  ,16.62  ,15.69
199402   ,5.45   ,4.39   ,5.38   ,3.95   ,4.16   ,3.58
199403   ,4.02   ,3.28   ,2.24  ,-3.04  ,-2.34  ,-2.29
199404   ,6.63   ,5.29   ,4.66   ,4.53   ,2.74   ,2.82
199405   ,1.17  ,-0.22  ,-0.42   ,3.22   ,1.71  ,-0.48
199406  ,12.18  ,10.80   ,9.15   ,5.34   ,5.71   ,6.95
199407  ,-3.77  ,-2.75  ,-2.78  ,-4.58  ,-3.97  ,-2.99
199408  ,-1.92  ,-1.66  ,-2.07  ,-0.89   ,1.88  ,-0.02
199409  ,-4.85  ,-4.23  ,-3.62  ,-2.80  ,-1.91  ,-3.95
199410   ,3.35   ,2.40   ,0.71   ,3.27   ,3.41   ,0.44
