Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199007   ,4.21   ,7.89   ,7.78   ,1.20   ,0.29  ,-1.15
199008 ,-15.61 ,-16.16 ,-14.92 ,-12.22 ,-10.90  ,-9.50
199009 ,-14.90 ,-16.57 ,-16.63 ,-16.33 ,-16.92 ,-16.84
199010  ,28.20  ,25.68  ,25.00  ,25.57  ,24.13  ,28.53
199011 ,-19.59 ,-17.84 ,-16.97 ,-16.97 ,-12.51 ,-11.87
199012  ,-2.78  ,-3.28  ,-3.39   ,1.36   ,3.34   ,4.42
199101  ,-5.64  ,-5.44  ,-5.28  ,-0.18   ,1.71   ,3.81
199102  ,25.23  ,22.10  ,21.52  ,18.09  ,11.16  ,10.43
199103  ,-1.56  ,-0.40   ,0.01  ,-6.08  ,-3.80  ,-4.32
199104   ,3.53   ,3.78   ,3.99   ,1.15   ,3.36   ,1.99
199105  ,-2.95  ,-1.85  ,-1.95  ,-1.75  ,-1.78  ,-1.25
199106  ,-6.38  ,-4.87  ,-4.10  ,-8.36  ,-5.56  ,-7.91
199107  ,-0.58  ,-1.47  ,-1.14   ,1.20   ,1.94   ,3.51
199108 ,-11.54 ,-10.67 ,-11.04  ,-5.52  ,-7.35  ,-6.10
199109  ,11.61  ,10.19   ,8.91  ,10.03   ,9.98   ,7.73
199110   ,6.46   ,6.98   ,4.62   ,6.23   ,4.28   ,3.48
199111 ,-10.52 ,-10.32  ,-9.97  ,-7.53  ,-8.44  ,-7.87
199112   ,4.51   ,4.18   ,2.93   ,2.32   ,3.37   ,3.47
199201  ,-5.77  ,-6.74  ,-6.64  ,-6.89  ,-5.07  ,-4.33
199202  ,-4.59  ,-4.30  ,-3.13  ,-7.93  ,-7.12  ,-7.25
199203 ,-12.57 ,-11.11 ,-11.77 ,-12.06 ,-10.90 ,-10.60
199204 ,-10.11 ,-11.24  ,-8.53 ,-11.63  ,-7.00  ,-3.87
199205  ,13.72  ,13.99  ,12.66   ,9.86   ,8.15   ,8.21
199206  ,-9.14  ,-7.98  ,-7.86 ,-10.74  ,-9.08  ,-7.33
199207  ,-7.52  ,-7.72  ,-9.35  ,-0.19  ,-1.73  ,-4.41
199208  ,11.36  ,11.47  ,11.79  ,22.11  ,17.31  ,12.85
199209   ,1.58   ,0.61  ,-0.61  ,-1.58  ,-2.81  ,-3.62
199210  ,-7.01  ,-5.89  ,-6.35  ,-6.70  ,-3.90  ,-5.09
199211  ,-1.11  ,-0.99  ,-0.35   ,2.79   ,2.55   ,2.13
199212   ,0.20   ,2.10   ,2.12  ,-3.01  ,-0.17  ,-0.59
199301  ,-1.99  ,-2.40  ,-2.70  ,-0.78  ,-0.61  ,-0.32
199302   ,6.64   ,6.10   ,6.25   ,4.36   ,4.14   ,4.68
199303  ,16.92  ,16.60  ,16.23  ,15.38  ,14.78  ,19.15
199304  ,19.23  ,17.30  ,17.71  ,17.61  ,17.31  ,16.10
199305  ,17.25  ,15.83  ,15.39   ,6.00   ,5.22   ,1.09
199306  ,-6.53  ,-6.51  ,-6.80  ,-1.53  ,-3.68  ,-5.32
199307   ,2.13   ,3.33   ,2.87   ,7.32   ,8.01   ,6.71
199308   ,1.77   ,2.29   ,2.13   ,3.53   ,1.92   ,2.38
199309  ,-7.14  ,-2.19  ,-2.46  ,-6.86  ,-5.11  ,-4.38
199310 ,-10.36  ,-8.24  ,-9.19  ,-3.02  ,-0.04  ,-2.42
199311 ,-19.69 ,-16.40 ,-15.68 ,-18.14 ,-17.33 ,-12.86
199312   ,4.08   ,1.07  ,-0.26   ,2.00   ,2.93   ,1.99
199401  ,20.58  ,17.19  ,17.46  ,22.20  ,15.05  ,16.71
199402   ,5.14   ,5.05   ,5.36   ,4.10   ,3.66   ,3.89
199403   ,4.81   ,2.78   ,1.44  ,-1.32  ,-3.01  ,-2.82
199404   ,6.53   ,4.73   ,5.06   ,3.83   ,4.14   ,2.33
199405   ,0.96  ,-0.17  ,-1.16   ,3.81   ,1.75   ,0.30
199406  ,11.93  ,10.66   ,9.29   ,5.59   ,5.74   ,6.01
199407  ,-3.72  ,-2.63  ,-2.62  ,-5.10  ,-3.55  ,-3.52
199408  ,-2.17  ,-1.58  ,-1.83   ,0.19  ,-1.00   ,1.75
199409  ,-5.45  ,-3.53  ,-3.24  ,-2.90  ,-3.15  ,-2.22
199410   ,4.18   ,1.22  ,-0.21   ,3.32   ,2.63   ,2.22
199411  ,-8.59  ,-7.14  ,-8.05  ,-6.85  ,-5.30  ,-5.93
199412   ,3.35   ,2.08   ,1.36   ,3.14   ,1.78   ,1.38
199501  ,-8.35  ,-3.91  ,-0.99  ,-5.84  ,-5.46  ,-8.15
199502  ,-5.22  ,-5.73  ,-7.76  ,-6.30  ,-5.35  ,-3.95
199503   ,6.71   ,6.45   ,5.32   ,6.48   ,8.97  ,11.96
199504   ,2.55   ,1.51   ,0.97   ,7.37   ,3.84   ,2.89
199505 ,-10.13  ,-8.05  ,-7.76  ,-7.16  ,-5.51  ,-5.96
199506  ,-6.03  ,-5.02  ,-4.62  ,-8.33  ,-3.79  ,-0.90
199507   ,8.43   ,4.65   ,3.30  ,10.13   ,6.33   ,3.76
199508   ,1.62  ,-0.81  ,-1.85  ,-4.92  ,-2.69  ,-1.20
199509  ,-4.54  ,-2.48  ,-1.16  ,-1.29  ,-1.84   ,0.29
199510  ,-1.23  ,-2.50  ,-4.10  ,-5.44  ,-4.14  ,-2.88
199511   ,7.79   ,4.01   ,1.84   ,7.56   ,5.27   ,1.46
199512   ,8.14   ,5.73   ,5.58   ,6.44   ,4.51   ,3.25
199601   ,2.96   ,0.74   ,1.26  ,-2.83  ,-0.73  ,-1.17
199602  ,-2.14  ,-1.50  ,-1.39  ,-3.05  ,-1.02  ,-0.43
199603   ,3.66   ,0.44   ,1.50   ,4.92   ,3.38   ,1.43
199604  ,11.66  ,11.47  ,10.90   ,5.95   ,6.14   ,6.61
199605  ,-4.12  ,-3.07  ,-2.54  ,-4.62  ,-4.15  ,-4.78
199606  ,-1.91  ,-0.06   ,0.45  ,-0.68   ,1.28   ,0.71
199607  ,-8.04  ,-4.55  ,-3.15  ,-6.44  ,-3.78  ,-3.62
199608  ,-2.96  ,-4.09  ,-4.65  ,-4.18  ,-4.34  ,-4.48
199609  ,-1.15  ,-1.34  ,-1.84   ,3.44   ,3.13   ,3.47
199610  ,-6.40  ,-6.52  ,-5.86  ,-7.54  ,-6.50  ,-6.67
199611  ,-4.00  ,-3.11  ,-3.82  ,-0.77   ,2.05   ,2.02
199612 ,-13.19  ,-9.23  ,-9.56 ,-11.30  ,-5.03  ,-3.95
199701  ,-9.90  ,-9.83 ,-10.03 ,-17.28  ,-9.15  ,-6.84
199702  ,-0.81   ,0.50  ,-2.60   ,3.89   ,1.12   ,1.55
199703  ,-7.77  ,-6.97  ,-7.24  ,-5.57  ,-3.38  ,-1.62
199704  ,-2.77  ,-3.10  ,-2.73  ,-0.12   ,4.71   ,2.25
199705  ,18.88  ,15.05  ,15.59  ,14.15  ,10.97  ,14.58
199706   ,1.95   ,3.27   ,3.97  ,10.30   ,4.50   ,4.35
199707 ,-12.82 ,-10.06  ,-9.78  ,-8.22  ,-1.53  ,-0.71
