Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP
199007  ,-3.78  ,-3.33  ,-0.70  ,-2.20  ,-5.18  ,-2.89  ,-4.74  ,-3.89  ,-4.77  ,-3.54  ,-3.89  ,-3.10  ,-2.38  ,-4.32  ,-2.41  ,-3.11  ,-3.20  ,-2.56  ,-1.02  ,-2.33  ,-3.30   ,1.27  ,-1.37   ,1.43  ,-0.41
199008 ,-11.97 ,-11.19 ,-10.61 ,-15.47 ,-14.35 ,-11.18 ,-12.14 ,-11.32 ,-13.69 ,-12.66  ,-9.37 ,-10.89 ,-12.39 ,-14.19 ,-13.15  ,-8.70 ,-10.73 ,-10.99  ,-9.98 ,-10.57  ,-8.91  ,-8.73  ,-9.55  ,-7.13  ,-8.56
199009  ,-9.46  ,-7.66  ,-6.43  ,-8.95 ,-10.33  ,-8.38  ,-8.95  ,-9.68  ,-8.13  ,-8.69  ,-9.14  ,-7.99  ,-8.28  ,-8.02  ,-9.05  ,-7.60  ,-8.96  ,-6.79  ,-4.93  ,-5.12  ,-7.37  ,-6.96  ,-5.71  ,-3.46  ,-3.75
199010  ,-6.29  ,-5.46  ,-4.88  ,-6.07  ,-4.18  ,-7.77  ,-5.71  ,-4.57  ,-3.17  ,-3.98  ,-7.37  ,-7.20  ,-4.27  ,-7.13  ,-3.37  ,-4.05  ,-3.10  ,-2.18  ,-1.48  ,-5.51  ,-3.56  ,-3.25  ,-2.58  ,-0.05   ,2.83
199011   ,3.22   ,5.28   ,4.48   ,5.46   ,4.98   ,6.75   ,7.26   ,7.87   ,7.67  ,10.27   ,8.44   ,7.76   ,8.72   ,7.83   ,8.85   ,5.35   ,8.10   ,9.03   ,7.05   ,8.01   ,9.22   ,7.71   ,6.56   ,6.07   ,5.10
199012   ,1.64   ,2.97   ,3.69   ,2.38   ,2.69   ,2.57   ,5.57   ,6.43   ,6.43   ,4.33   ,2.33   ,3.26   ,6.93   ,6.67   ,5.74   ,3.43   ,4.38   ,5.32   ,4.75   ,5.16   ,3.07   ,2.51   ,2.19   ,2.42   ,3.09
199101   ,9.00  ,10.08   ,9.97   ,8.61  ,10.45   ,5.22   ,8.04   ,6.32   ,8.31   ,8.74   ,5.69   ,7.21   ,8.73   ,9.76  ,11.12   ,5.57   ,6.08   ,6.41   ,6.41   ,5.94   ,3.94   ,4.86   ,7.77   ,2.84   ,3.69
199102  ,14.48  ,13.60  ,12.10  ,15.76  ,12.89  ,13.10  ,10.53  ,11.65  ,12.12   ,9.97  ,11.75  ,10.50  ,11.05   ,8.65  ,10.01  ,10.61  ,10.33   ,6.85   ,7.79   ,9.89   ,8.10   ,7.04   ,6.71   ,6.10   ,7.87
199103   ,8.85   ,6.74   ,4.96   ,5.45   ,9.27   ,5.47   ,7.85   ,3.86   ,7.40   ,5.72   ,3.13   ,3.97   ,5.61   ,4.33   ,4.80   ,3.09   ,3.60   ,4.34   ,2.34   ,4.27   ,2.90   ,1.30  ,-1.02   ,2.29   ,3.80
199104   ,1.43   ,1.81   ,0.82  ,-1.31   ,0.78  ,-0.01   ,0.13  ,-0.14  ,-1.37  ,-1.00  ,-0.26   ,2.76   ,0.56  ,-0.92   ,1.92  ,-1.24   ,1.67  ,-0.85   ,0.55  ,-0.52   ,2.00   ,1.45  ,-0.71   ,1.02  ,-0.12
