Date,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,ME1 BM1 HiOP,ME1 BM2 LoOP,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 HiOP,ME1 BM3 LoOP,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 HiOP,ME1 BM4 LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,ME2 BM1 HiOP,ME2 BM2 LoOP,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 HiOP,ME2 BM3 LoOP,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 HiOP,ME2 BM4 LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
199007    ,-4.53    ,-5.15    ,-4.18    ,-4.51    ,-2.55    ,-1.32    ,-3.62    ,-2.03    ,-1.98    ,-2.26    ,-3.33    ,-2.24    ,-4.76    ,-7.44    ,-3.36    ,-1.23    ,-5.17     ,3.40    ,-0.54    ,-0.38     ,0.59    ,-2.77     ,2.38    ,-0.95     ,2.39    ,-2.10     ,1.11     ,2.55    ,-4.22    ,-3.72    ,-1.88    ,-2.92
199008   ,-12.97   ,-10.34   ,-12.73   ,-13.56   ,-14.49   ,-10.27   ,-11.47   ,-14.63    ,-9.87    ,-8.73   ,-10.50   ,-10.16   ,-13.80    ,-8.64   ,-11.40   ,-13.43   ,-14.17    ,-7.47    ,-7.56    ,-8.29    ,-8.66    ,-9.74    ,-8.13    ,-9.40    ,-5.71    ,-9.68    ,-6.46    ,-9.65    ,-9.56   ,-11.13    ,-9.84   ,-14.74
199009   ,-11.26    ,-7.75   ,-10.31   ,-10.01   ,-11.70    ,-6.92    ,-6.90    ,-9.14    ,-9.48    ,-7.10    ,-7.60    ,-5.00    ,-9.73    ,-8.76   ,-10.47    ,-7.36    ,-9.17    ,-5.89    ,-5.99    ,-4.96    ,-6.73    ,-5.64    ,-5.34     ,0.65    ,-3.64    ,-3.08    ,-2.65    ,-5.75   ,-11.33    ,-9.35    ,-4.71   ,-11.53
199010    ,-8.09   ,-10.49    ,-3.60    ,-4.04    ,-6.76    ,-6.91    ,-5.79    ,-5.56    ,-6.87    ,-5.58    ,-6.22    ,-5.24    ,-8.89    ,-8.50    ,-6.37    ,-0.74    ,-6.55    ,-6.48    ,-0.86     ,2.72    ,-1.14    ,-3.94    ,-1.77     ,2.31    ,-4.64    ,-1.49     ,0.05    ,-5.01    ,-3.98    ,-2.48    ,-0.45    ,-6.35
199011    ,10.34     ,5.75     ,9.73     ,8.17     ,6.11     ,4.93     ,7.80     ,7.80     ,3.41     ,5.45    ,10.05     ,6.17     ,4.52     ,5.99     ,2.41    ,-2.82    ,13.03    ,10.28     ,8.09     ,5.91     ,6.80     ,8.39     ,4.69     ,4.91     ,6.45     ,8.71     ,3.92     ,9.57     ,9.08     ,6.60     ,5.51     ,1.16
199012     ,3.51     ,3.18     ,6.39     ,5.37    ,-2.90     ,4.45     ,3.69     ,6.33     ,3.68     ,4.96     ,6.28     ,3.27     ,1.68     ,3.65     ,6.20     ,1.31     ,5.17    ,-2.29     ,2.28     ,3.38     ,3.32     ,2.56     ,3.61     ,1.91     ,3.37     ,2.03     ,1.53     ,3.91     ,1.59     ,2.46     ,6.74     ,0.91
199101     ,8.24     ,4.30     ,9.84     ,8.87     ,8.40     ,4.98     ,6.68    ,11.38     ,4.68     ,5.89     ,8.76     ,3.90    ,10.74     ,8.13     ,9.74    ,12.66     ,3.82     ,3.78     ,6.66     ,4.65     ,5.16     ,6.34     ,3.45     ,1.48     ,0.68     ,8.75     ,0.78     ,2.93     ,7.42     ,9.47     ,6.66     ,9.86
199102    ,19.23    ,15.48    ,10.77    ,11.37    ,10.17    ,10.02    ,11.89    ,10.74    ,14.53    ,10.51     ,9.26    ,10.80    ,15.56    ,15.79    ,10.55    ,10.03     ,8.16     ,9.78     ,8.72     ,8.86     ,6.93     ,8.49     ,5.65     ,5.43     ,7.92     ,5.19     ,5.97     ,6.13     ,9.51     ,7.13     ,5.45    ,11.04
199103    ,10.23     ,0.57     ,7.75     ,6.83     ,9.27     ,6.01     ,5.06     ,4.95     ,4.10     ,5.86     ,8.66     ,1.43     ,6.48     ,5.58     ,5.46     ,1.64     ,2.85     ,0.81     ,1.72     ,4.77     ,1.83     ,1.90     ,2.87     ,1.31     ,0.53    ,-2.47     ,1.08    ,-0.18     ,3.39    ,-0.23     ,2.55    ,-0.17
199104    ,-2.80     ,1.77    ,-0.99    ,-0.37    ,-0.65     ,0.18     ,0.85     ,2.00     ,0.43     ,3.12    ,-0.54     ,0.41     ,0.40     ,3.86    ,-0.72     ,0.34     ,4.56    ,-2.30    ,-0.44     ,0.06    ,-2.15     ,2.22     ,0.99    ,-1.43     ,0.28    ,-2.58     ,1.53     ,6.51     ,2.45    ,-0.17     ,2.07     ,1.41
