Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007  ,-3.94  ,-3.09  ,-3.42  ,-0.68   ,0.49  ,-2.71
199008 ,-13.27 ,-11.87 ,-10.17  ,-8.38  ,-8.58  ,-9.56
199009  ,-9.99  ,-7.59  ,-7.70  ,-5.34  ,-4.02  ,-7.00
199010  ,-5.76  ,-4.98  ,-5.88   ,0.37  ,-1.17  ,-2.24
199011   ,9.39   ,6.21   ,5.06   ,6.41   ,6.34   ,7.15
199012   ,5.26   ,4.23   ,3.77   ,3.27   ,2.94   ,2.60
199101   ,8.71   ,6.65   ,6.86   ,5.19   ,2.88   ,6.95
199102  ,12.33  ,10.85  ,11.46   ,8.29   ,6.10   ,7.50
199103   ,8.18   ,5.67   ,5.71   ,4.04   ,1.97   ,0.54
199104  ,-0.79   ,0.80   ,1.08  ,-0.06   ,0.73   ,0.56
199105   ,5.15   ,4.66   ,3.31   ,4.11   ,3.26   ,5.94
199106  ,-4.45  ,-3.38  ,-3.21  ,-4.56  ,-4.05  ,-4.67
199107   ,5.22   ,3.31   ,2.59   ,6.24   ,3.47   ,3.77
199108   ,4.43   ,3.35   ,3.01   ,3.74   ,1.71   ,1.83
199109   ,1.01   ,0.64  ,-0.73  ,-2.12  ,-0.57  ,-1.93
199110   ,3.29   ,2.70   ,2.67   ,2.28   ,1.15   ,2.54
199111  ,-3.65  ,-4.49  ,-4.74  ,-2.01  ,-4.50  ,-5.36
199112  ,10.57   ,6.08   ,5.72  ,14.42   ,8.30   ,8.62
199201   ,7.48   ,6.31   ,9.35  ,-2.76  ,-1.67   ,3.35
199202   ,0.45   ,2.23   ,5.18  ,-0.11   ,0.74   ,4.79
199203  ,-7.62  ,-2.72  ,-0.81  ,-3.27  ,-1.50  ,-1.74
199204  ,-5.91  ,-3.23  ,-1.76  ,-0.01   ,3.80   ,2.75
199205  ,-1.15   ,0.02   ,1.83   ,1.02   ,0.57  ,-0.13
199206  ,-5.96  ,-3.84  ,-2.80  ,-2.72  ,-1.10  ,-0.25
199207   ,2.49   ,2.61   ,3.31   ,4.18   ,5.18   ,1.79
199208  ,-4.63  ,-1.96  ,-1.72  ,-1.05  ,-1.69  ,-4.43
199209   ,1.20   ,1.72   ,0.67   ,1.19   ,1.27  ,-0.19
199210   ,5.08   ,3.02   ,1.11   ,2.05   ,0.33  ,-0.22
199211   ,9.93   ,6.54   ,4.76   ,4.59   ,1.78   ,3.99
199212   ,2.04   ,3.00   ,4.84   ,0.48   ,2.84   ,1.82
199301   ,0.66   ,3.11   ,5.87  ,-1.43   ,1.34   ,3.70
199302  ,-6.91  ,-1.70   ,2.02  ,-2.57   ,3.86   ,2.93
199303   ,2.22   ,2.77   ,4.53   ,1.54   ,2.98   ,3.20
199304  ,-3.43  ,-2.98  ,-1.25  ,-4.82  ,-0.74  ,-1.01
199305   ,6.70   ,3.78   ,3.57   ,4.13   ,2.15   ,1.67
199306   ,0.93   ,1.14   ,1.46  ,-1.12   ,0.96   ,2.31
199307  ,-0.13   ,0.41   ,1.82  ,-2.33   ,0.99   ,0.75
199308   ,3.71   ,4.67   ,4.16   ,3.72   ,3.73   ,3.61
199309   ,2.69   ,1.82   ,2.13  ,-0.91  ,-0.33   ,0.30
