Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
199007  ,-3.14  ,-2.88  ,-4.24   ,0.85  ,-0.58  ,-2.49
199008 ,-10.37 ,-10.27 ,-13.54  ,-6.88  ,-9.32  ,-9.96
199009  ,-7.51  ,-7.22  ,-9.78  ,-2.83  ,-4.94  ,-8.59
199010  ,-6.00  ,-4.74  ,-5.85  ,-1.08   ,0.36  ,-2.98
199011   ,4.18   ,5.86   ,8.78   ,5.10   ,6.09   ,9.52
199012   ,3.27   ,4.07   ,5.48   ,1.90   ,2.84   ,4.97
199101   ,6.61   ,6.35   ,8.59   ,1.57   ,4.60   ,8.75
199102  ,12.79   ,9.78  ,11.97   ,7.05   ,7.09   ,8.06
199103   ,5.66   ,4.87   ,7.36   ,1.87   ,2.46   ,3.51
199104  ,-0.19   ,1.30   ,0.46   ,0.75   ,0.13   ,0.28
199105   ,4.26   ,3.43   ,4.74   ,2.03   ,4.69   ,5.68
199106  ,-4.15  ,-2.23  ,-4.33  ,-3.40  ,-4.58  ,-5.15
199107   ,3.13   ,2.45   ,4.49   ,4.01   ,4.26   ,5.60
199108   ,2.87   ,3.07   ,3.92   ,2.71   ,1.77   ,3.74
199109  ,-0.59  ,-0.17   ,0.98  ,-0.70  ,-1.24  ,-2.21
199110   ,2.42   ,2.55   ,3.92   ,2.08   ,1.46   ,1.79
199111  ,-4.47  ,-3.43  ,-5.12  ,-3.82  ,-4.45  ,-2.43
199112   ,6.16   ,6.45   ,8.84   ,8.75   ,8.91  ,15.09
199201   ,9.91   ,6.83   ,6.54   ,0.27  ,-1.61  ,-1.67
199202   ,4.17   ,3.30   ,2.09   ,1.94   ,1.17   ,0.73
199203  ,-1.51  ,-1.62  ,-4.78  ,-2.27  ,-1.89  ,-2.95
199204  ,-1.85  ,-1.54  ,-5.26   ,3.31   ,3.02   ,0.00
199205   ,1.81   ,0.65  ,-0.34   ,0.65   ,0.57   ,0.64
199206  ,-3.90  ,-2.63  ,-4.25  ,-1.28  ,-1.09  ,-2.79
199207   ,3.01   ,2.96   ,2.76   ,3.47   ,4.30   ,4.27
199208  ,-3.11  ,-1.63  ,-2.73  ,-2.22  ,-1.78  ,-2.21
199209   ,0.98   ,0.81   ,1.45   ,0.78   ,0.63   ,1.85
199210   ,2.36   ,2.15   ,3.52   ,0.54   ,0.00   ,3.24
199211   ,5.11   ,5.97   ,8.27   ,2.68   ,2.98   ,5.01
199212   ,4.56   ,3.37   ,2.55   ,2.13   ,1.52   ,1.38
199301   ,4.93   ,3.69   ,2.44   ,2.72  ,-0.25   ,0.21
