Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199007  ,-3.48  ,-3.80  ,-3.28  ,-0.60  ,-0.49  ,-0.47
199008 ,-10.93 ,-11.84 ,-13.50  ,-8.76  ,-8.62  ,-8.90
199009  ,-8.58  ,-8.42  ,-9.29  ,-7.60  ,-5.14  ,-4.02
199010  ,-7.33  ,-4.69  ,-4.47  ,-3.76  ,-2.08   ,1.80
199011   ,5.66   ,8.13   ,7.97   ,8.07   ,6.58   ,5.67
199012   ,3.46   ,5.28   ,5.37   ,2.71   ,2.73   ,3.14
199101   ,6.71   ,8.08   ,9.99   ,4.83   ,5.65   ,3.92
199102  ,13.27  ,10.88  ,10.74   ,8.42   ,6.75   ,7.55
199103   ,6.43   ,6.62   ,5.07   ,2.02   ,1.08   ,3.36
199104   ,0.93  ,-0.74   ,1.50   ,0.88   ,0.39   ,0.10
199105   ,4.44   ,4.58   ,5.32   ,4.78   ,5.12   ,3.63
199106  ,-4.36  ,-3.00  ,-3.11  ,-5.39  ,-4.79  ,-3.68
199107   ,3.39   ,2.50   ,5.18   ,3.55   ,3.62   ,5.80
199108   ,3.44   ,3.43   ,3.91   ,1.62   ,1.93   ,3.43
199109   ,0.21   ,0.29   ,0.34  ,-1.53  ,-1.09  ,-1.86
199110   ,4.08   ,1.86   ,2.47   ,2.74   ,1.33   ,1.63
199111  ,-5.54  ,-3.72  ,-4.45  ,-5.20  ,-4.56  ,-2.36
199112   ,6.26   ,6.97   ,9.75   ,9.27   ,9.19  ,12.68
199201   ,9.68   ,5.72   ,7.92  ,-0.40  ,-0.12  ,-2.42
199202   ,3.60   ,1.73   ,4.17   ,2.68   ,2.06  ,-0.27
199203  ,-2.69  ,-2.39  ,-4.71  ,-2.58  ,-2.17  ,-2.22
199204  ,-3.67  ,-2.09  ,-3.85   ,1.20   ,2.83   ,1.90
199205   ,1.32   ,0.74  ,-1.45   ,1.23   ,0.54   ,0.52
199206  ,-3.73  ,-4.07  ,-3.70  ,-0.53  ,-1.24  ,-2.51
199207   ,3.00   ,2.99   ,3.42   ,2.40   ,4.01   ,4.97
199208  ,-3.92  ,-1.87  ,-1.04  ,-4.54  ,-2.00  ,-0.74
199209   ,0.43   ,1.86   ,2.82   ,0.55   ,0.81   ,1.00
199210   ,2.17   ,2.72   ,5.05   ,0.02   ,0.80   ,1.53
199211   ,6.59   ,7.09   ,8.11   ,4.46   ,2.86   ,3.34
199212   ,3.50   ,3.17   ,3.06   ,1.84   ,2.08   ,1.03
199301   ,3.72   ,3.92   ,2.87   ,2.99   ,1.24  ,-0.93
199302  ,-1.13  ,-1.02  ,-3.56   ,1.72   ,2.19  ,-0.57
199303   ,3.40   ,3.52   ,3.48   ,4.18   ,2.90   ,1.11
199304  ,-1.53  ,-2.96  ,-3.12  ,-0.30  ,-1.07  ,-4.59
199305   ,4.91   ,4.29   ,4.41   ,2.29   ,2.41   ,3.45
199306   ,1.46   ,0.28   ,1.89   ,1.61   ,0.63  ,-0.71
199307   ,0.95   ,0.78   ,0.55   ,1.31  ,-0.06  ,-1.43
199308   ,4.48   ,4.10   ,5.17   ,4.46   ,3.35   ,3.74
199309   ,2.14   ,1.91   ,3.27  ,-0.37   ,0.19  ,-1.13
199310   ,3.80   ,2.36   ,3.93   ,1.14   ,0.21   ,3.31
199311  ,-3.08  ,-2.67  ,-2.19  ,-1.30  ,-2.11  ,-0.53
199312   ,2.22   ,3.55   ,3.51   ,2.29   ,2.62   ,0.83
199401   ,4.23   ,1.99   ,2.99   ,4.91   ,2.91   ,2.72
199402  ,-1.69   ,0.21  ,-0.04  ,-3.38  ,-1.97  ,-2.50
199403  ,-5.18  ,-4.31  ,-5.83  ,-4.07  ,-3.99  ,-4.73
199404  ,-0.10   ,0.24  ,-0.00   ,1.01   ,0.41   ,1.54
199405  ,-0.41  ,-0.85  ,-1.49   ,2.18   ,1.00   ,0.95
199406  ,-3.44  ,-2.86  ,-3.76  ,-3.54  ,-2.88  ,-2.41
199407   ,1.17   ,1.96   ,2.03   ,4.28   ,3.30   ,2.86
199408   ,4.09   ,5.09   ,5.83   ,4.89   ,3.69   ,4.89
199409   ,0.51   ,0.97   ,0.92  ,-1.59  ,-2.39  ,-1.83
199410  ,-0.96   ,0.47   ,0.79   ,1.16   ,2.10   ,1.92
199411  ,-4.24  ,-3.11  ,-4.12  ,-4.40  ,-4.30  ,-2.79
199412   ,0.12   ,1.85   ,1.43   ,1.57   ,1.27   ,1.43
199501   ,0.27  ,-0.97   ,0.95   ,1.03   ,1.78   ,2.57
199502   ,3.35   ,3.57   ,3.89   ,3.58   ,4.84   ,3.66
199503   ,2.64   ,2.13   ,1.89   ,3.25   ,2.56   ,2.88
199504   ,3.20   ,2.40   ,1.45   ,2.71   ,1.70   ,3.31
199505   ,2.40   ,1.60   ,1.75   ,2.91   ,4.05   ,3.62
199506   ,5.77   ,5.68   ,5.71   ,2.61   ,1.43   ,3.56
199507   ,5.38   ,5.91   ,7.37   ,4.63   ,3.59   ,3.73
199508   ,3.26   ,2.11   ,1.48   ,2.44   ,0.07   ,0.56
199509   ,2.95   ,1.16   ,2.31   ,2.51   ,3.44   ,4.67
199510  ,-5.47  ,-4.61  ,-4.14  ,-1.74  ,-1.80   ,0.73
199511   ,4.51   ,3.34   ,3.28   ,5.64   ,4.76   ,3.63
199512   ,2.01   ,1.71   ,1.29   ,1.45   ,1.46   ,1.48
199601   ,1.82  ,-1.62   ,0.41   ,2.34   ,2.22   ,3.92
199602   ,3.12   ,3.28   ,4.19   ,1.97   ,1.92   ,1.05
199603   ,1.73   ,2.82   ,4.03   ,1.27   ,1.94   ,0.53
199604   ,6.83   ,6.24   ,7.83   ,1.85   ,2.08   ,1.84
199605   ,5.97   ,4.63   ,5.02   ,1.37   ,1.88   ,3.09
199606  ,-5.60  ,-3.18  ,-3.24  ,-2.18  ,-0.49   ,0.68
199607  ,-9.21  ,-7.84  ,-7.61  ,-6.25  ,-4.33  ,-4.89
199608   ,5.51   ,5.82   ,5.83   ,4.31   ,3.55   ,2.18
199609   ,3.38   ,3.73   ,3.88   ,4.85   ,4.96   ,6.17
199610  ,-1.32   ,1.21   ,0.19   ,1.75   ,3.22   ,1.20
199611   ,2.77   ,3.82   ,3.31   ,6.24   ,6.24   ,8.15
199612   ,1.39   ,2.26   ,1.41  ,-1.40  ,-1.81  ,-1.46
