Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199011   ,8.00   ,4.62   ,7.22   ,9.34   ,7.10   ,4.93
199012   ,2.83   ,3.82   ,4.52   ,5.11   ,3.88   ,1.75
199101   ,8.04   ,5.14   ,7.93   ,8.72   ,3.72   ,3.57
199102  ,14.25   ,9.36  ,10.86   ,8.31   ,6.62   ,7.28
199103   ,5.11   ,4.41   ,9.07   ,1.31   ,1.97   ,3.68
199104   ,0.35   ,1.62   ,0.44   ,1.44   ,0.97  ,-0.99
199105   ,2.62   ,3.36   ,5.18   ,5.53   ,3.56   ,3.97
199106  ,-3.63  ,-2.22  ,-4.92  ,-5.05  ,-4.51  ,-3.75
199107   ,1.51   ,2.47   ,6.64   ,2.90   ,3.63   ,7.09
199108   ,1.33   ,3.15   ,5.07   ,2.07   ,1.98   ,3.94
199109  ,-1.40   ,0.44   ,1.69  ,-1.78  ,-1.33  ,-1.05
199110   ,1.64   ,2.00   ,4.71   ,0.96   ,2.19   ,2.44
199111  ,-4.75  ,-2.45  ,-4.62  ,-4.68  ,-3.18  ,-3.46
199112   ,2.46   ,5.16  ,10.23   ,6.88  ,11.44  ,15.70
199201   ,8.86   ,6.72   ,9.70   ,1.15  ,-2.41  ,-1.74
199202   ,3.05   ,3.22   ,2.63   ,1.73   ,0.81   ,1.20
199203  ,-3.61  ,-0.67  ,-3.95  ,-2.49  ,-1.77  ,-3.37
199204  ,-3.54  ,-2.95  ,-4.07   ,4.28   ,1.76  ,-0.80
199205   ,1.21   ,0.69   ,0.83   ,0.30   ,0.24   ,1.82
199206  ,-4.79  ,-2.33  ,-3.66  ,-1.44  ,-0.88  ,-3.69
199207   ,1.88   ,3.05   ,3.64   ,3.38   ,4.36   ,4.10
199208  ,-2.68  ,-1.77  ,-3.18  ,-1.49  ,-1.78  ,-3.00
199209  ,-1.10   ,1.61   ,2.46   ,0.40   ,0.82   ,1.99
199210   ,1.37   ,2.56   ,3.22   ,0.35   ,0.33   ,3.09
199211   ,6.55   ,5.35   ,7.39   ,2.24   ,3.10   ,5.16
199212   ,1.69   ,3.93   ,6.18  ,-0.31   ,2.34   ,2.30
199301   ,1.68   ,3.52   ,5.48  ,-1.87   ,0.84   ,4.23
199302  ,-2.66   ,0.64  ,-0.06  ,-1.37   ,1.71   ,1.47
199303   ,1.54   ,2.77   ,5.69   ,0.72   ,2.49   ,4.85
199304  ,-2.76  ,-1.66  ,-1.83  ,-1.78  ,-2.30  ,-3.26
199305   ,5.35   ,3.40   ,4.98   ,3.11   ,1.55   ,5.41
199306  ,-0.48   ,0.16   ,3.25  ,-2.72   ,1.37   ,3.36
199307  ,-0.01   ,2.20   ,1.18  ,-2.05   ,0.01   ,1.64
199308   ,3.22   ,3.14   ,5.52   ,3.51   ,2.89   ,5.88
199309   ,0.97   ,1.82   ,3.40  ,-2.05  ,-0.02   ,1.53
199310   ,4.55   ,2.95   ,4.71   ,3.89   ,0.39   ,0.76
199311  ,-1.17  ,-2.26  ,-4.20   ,1.58  ,-2.50  ,-4.21
199312   ,0.93   ,2.83   ,3.91   ,0.89   ,2.26   ,2.79
