"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
3,0.207760668446293,0,2.2277222290865,0,0.0632605844368612,0.040339308848962
12,0.272603245387773,0,8.56397177258007,0.153846153846154,0.091428112055566,0.0341417764976503
21,0.283098707558321,0,13.3300504825484,0.0909090909090909,0.0882504852771434,0.0260432743553302
30,0.272836470831232,0,19.5826297898511,0.0645161290322581,0.0867302564768258,0.0217829105055171
39,0.275373544772939,0,23.3793526743979,0.0975609756097561,0.0869872610503961,0.0192154018029849
48,0.271167189895019,0,28.1509536732993,0.08,0.0869047893292949,0.0174890489478766
57,0.270246619984466,0,33.7789495330511,0.0677966101694916,0.0865984666467226,0.0159996609144271
66,0.263220284420463,0,38.2305755185182,0.0869565217391305,0.086806597718268,0.0148371333543568
75,0.261132369090529,0,42.6327740173814,0.0769230769230769,0.088032611789236,0.0141565995332797
84,0.260629000710984,0,48.2783189631843,0.0689655172413793,0.0886099753962214,0.0134940128703019
93,0.255224770584058,0,54.2153280462666,0.0824742268041238,0.0896401137121289,0.0129039033994208
102,0.257256452230947,0,60.6707420277243,0.0754716981132075,0.0906550940775434,0.012409941080192
111,0.25811194327814,0,67.0110784251209,0.0695652173913044,0.0906617033305749,0.0119408818187312
120,0.253125868467617,0,73.3668745511085,0.08,0.091329137478566,0.0115146468369225
129,0.255173173947145,0,79.6940756290161,0.0746268656716418,0.0923937201401024,0.0111873918324879
138,0.251414759948108,0,86.7851949125904,0.0699300699300699,0.0923091343014192,0.010795124929402
147,0.254752055948763,0,94.549460713987,0.0657894736842105,0.0932167789674918,0.0105603349520069
156,0.255043159781015,0,102.200715894612,0.0740740740740741,0.0940067198919005,0.0103225809353451
165,0.247360779428897,0,111.086628992634,0.0701754385964912,0.0945164179255793,0.0101561156437878
174,0.243943815883699,0,122.057439945804,0.0666666666666667,0.0955761360476362,0.00998794786926168
183,0.243726530799364,0,133.976015486247,0.0736842105263158,0.0967712252638794,0.00992818545399276
192,0.238933040746067,0,147.95538122227,0.0703517587939698,0.0988395876128776,0.00993520409667358
201,0.235353313566869,0,161.922503439424,0.0673076923076923,0.101036091450335,0.0100559677416682
210,0.226922342595869,0,180.192237091631,0.0645161290322581,0.103600985613048,0.0102022922079251
219,0.221780940643056,0,198.480172510053,0.0704845814977973,0.10708311755767,0.0105133346345419
228,0.214895917846687,0,226.105028492947,0.0677966101694916,0.110463319157579,0.0109146103324745
237,0.20970593414537,0,264.24760416413,0.0653061224489796,0.117181302967173,0.0117237753162205
246,0.207472062762154,0,321.223908578317,0.062992125984252,0.11930502427902,0.0122380515492263
255,0.199964551256413,0,410.941017501244,0.0534351145038168,0.119854164057491,0.0126490975819444
264,0.190630949064463,0,541.518395668313,0.0371747211895911,0.114927435173664,0.0126031646347769
273,0.182472464820383,0,728.512359047827,0.00729927007299269,0.100874397172257,0.0114164329749677
