"k","elnet"
3,0.191432448479059
12,0.116862243551322
21,0.0866740456067286
30,0.0680817156187204
39,0.0595468871941757
48,0.0515455840434481
57,0.0457025886094507
66,0.0423892522515848
75,0.0393725980503951
84,0.0368763428259514
93,0.0344153415798693
102,0.0326083064272239
111,0.0310397215884836
120,0.0292378383351632
129,0.0290768147353729
138,0.0286884254974305
147,0.0287071573466537
156,0.0281067537581378
165,0.0273546000694584
174,0.0264388786350526
183,0.0270678628303933
192,0.0262577191135122
201,0.0260964746230417
210,0.0252917228347224
219,0.0254088865949332
228,0.0249977413243866
237,0.0260516253471896
246,0.026401958315101
255,0.0219949448727897
264,0.0246277936669846
273,0.0127310869712109
