"k","lasso"
3,0.0195586382863922
5,0.0225877074299841
7,0.0253038472680518
9,0.0278441841191338
11,0.0265244020742857
13,0.0275660116573286
15,0.0266318849664309
17,0.0213841490463213
19,0.0197523294435716
21,0.0212943767869513
23,0.0217915214044971
25,0.0228649491432435
27,0.021008436786045
29,0.0197577178598255
31,0.0184324981479108
33,0.0204089157001151
35,0.0205512017178559
37,0.0215601260916
39,0.0201150273955196
41,0.0224713601811774
43,0.0209037382963663
45,0.0172144627066871
47,0.0216997639407833
49,0.021960510236179
