"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.141155738894924,0,0,0.0446927374301675,0,0
4,0.200995678974439,0,0.666945169656547,0.131098696461825,0.12696194223595,0.071817137912789
7,0.245424644727524,0,2.1154736162542,0.130912476722533,0.107919480767601,0.0494838656916778
10,0.31522013617193,0,3.08731873650953,0.115286947689182,0.118739050039637,0.0463368349343069
13,0.403394672654076,0,4.3492572179311,0.121249002394254,0.106608703901961,0.0357200084822308
16,0.42329566100593,0,5.83127737437957,0.111266774670272,0.120258139282373,0.0357383137920007
19,0.471128227359989,0,7.02248132665877,0.0972368818130295,0.111589263476642,0.0312727651944942
22,0.420526366309324,0,8.09791076484962,0.0918986316897417,0.096898550048483,0.0254411874261117
25,0.467646973412569,0,8.66083253706124,0.0877456340758209,0.0983326128701718,0.0249841629096519
28,0.473631298139827,0,9.42124177554495,0.0770092157021147,0.101451565094878,0.0244943903380234
31,0.471707559480166,0,11.0764775305013,0.0776500569755581,0.109366246037234,0.0261041857316247
34,0.462876002730616,0,13.2397297835336,0.0794220633679616,0.104196523080472,0.0238962381226568
37,0.463765161490632,0,15.2182127519599,0.0801935924532578,0.10063717693163,0.0220661368143013
40,0.455011478948103,0,19.7936312847018,0.0814525209128276,0.103953219200422,0.0227628973967408
43,0.471123742846993,0,27.3057258894671,0.0833889828463998,0.0991765941779055,0.0210239260772229
46,0.488254731659123,0,34.4465194746882,0.0776719725910693,0.0970075221015798,0.0200772087208221
49,0.472948693171649,0,43.7065036969275,0.0799611644786156,0.0942526618849307,0.0190524390868555
52,0.444398104709394,0,53.6623541251331,0.0812938758004947,0.0872385852135289,0.0179488690170781
55,0.459655723555383,0,60.3684543732425,0.0787467247805645,0.0857813633865229,0.0161680128020948
58,0.462238177858208,0,63.9459792455026,0.0785210421635827,0.0818194336577232,0.0157086342640587
61,0.50463560580184,0,60.9001614751345,0.0775472413923166,0.0828319501015849,0.015029518571395
64,0.475360198735144,0,65.3538072004001,0.0818817335008554,0.085813039460451,0.0157551362279954
67,0.428907000975946,0,73.2621349173175,0.0793473816828378,0.0843915755216037,0.0151257139822465
70,0.440967987372826,0,73.8886618034146,0.078194279906764,0.0759705783250622,0.0133961895390096
73,0.500136732162041,0,68.2100016728175,0.0790836534979431,0.0770532324999485,0.0128055174663652
76,0.514253317631303,0,62.4977930401243,0.0773123750663567,0.0726948368199124,0.0121686242579886
79,0.505681019770242,0,53.0890845544519,0.0764650685330786,0.0729462573931644,0.01261402553463
82,0.513531311287862,0,46.0022546517492,0.0758146234057728,0.0739351695258532,0.0123297492590667
85,0.527904296100697,0,40.6225280376132,0.0724514347044592,0.0770965944285753,0.0125693481367827
88,0.509743271360522,0,37.6141422638404,0.0764248988854706,0.0747448345602881,0.0121138448419323
91,0.498441970281157,0,36.6684334326731,0.0735704230714355,0.07161145694357,0.0113376761704738
94,0.506849851186851,0,35.0932193958765,0.0715078522155946,0.0782951733383477,0.012557030526355
97,0.533877979792379,0,31.4444596824188,0.0688150273569227,0.0876772010046874,0.0141485074100995
100,0.519725742747362,0,24.7521796420381,0.0671394154518539,0.089536322147533,0.0139448466351425
103,0.529524400164877,0,20.8763623994894,0.0598874606177654,0.0848306242816939,0.0144392981423598
106,0.514489488840041,0,18.011132952314,0.0514573419721822,0.0814885672710424,0.0125790032062011
109,0.504683090772386,0,14.8918951457487,0.0335490155322557,0.0832100000065406,0.014128770740046
