"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.207627265361523,0,0,0,0,0
4,0.317976924581688,0,0.846058686466672,0,0.179032410929958,0.101884763306757
7,0.288400172126162,0,1.91345756180272,0.25,0.191253076808425,0.0835634413004758
10,0.347785612469423,0,2.72119465700603,0.181818181818182,0.162028433155843,0.064633374891221
13,0.327653804305952,0,3.40983349398352,0.142857142857143,0.149113400925452,0.0521088508549554
16,0.33439083923121,0,4.46044548249824,0.117647058823529,0.162701725732654,0.052914056507999
19,0.336817764531315,0,5.5031237754147,0.19047619047619,0.159280342884572,0.0453936800198185
22,0.331884567096491,0,6.60629323439184,0.166666666666667,0.161383193342592,0.0428946715821996
25,0.320930011557592,0,7.46614172277876,0.148148148148148,0.163359730637766,0.0414398579089383
28,0.317440009956331,0,8.45762327191466,0.133333333333333,0.167476351574975,0.039149348463319
31,0.326599716312223,0,9.45719781767308,0.176470588235294,0.166281301581835,0.0371422841010277
34,0.32780996028502,0,10.5146220723858,0.162162162162162,0.170936688168462,0.037067456494617
37,0.318203615599444,0,11.9118484965559,0.15,0.170508611248086,0.0349029684472741
40,0.315789884704146,0,13.2507837274309,0.13953488372093,0.176935708862651,0.0352879402400167
43,0.327325465829227,0,14.6452184433675,0.130434782608696,0.185759470463951,0.0360171966545697
46,0.312662968312969,0,16.2588425300546,0.122448979591837,0.189887473508358,0.0352085745252316
49,0.33130666219933,0,17.8756018428298,0.150943396226415,0.181809176529781,0.0327226205027124
52,0.315014401903459,0,19.5951591828388,0.142857142857143,0.189198914611976,0.0333796326510988
55,0.276113348653623,0,21.341969592944,0.135593220338983,0.189427482262189,0.032619244586838
58,0.273500626952122,0,23.3854145181967,0.129032258064516,0.184700967180225,0.0308422042221785
61,0.263592870676567,0,25.2371393930492,0.151515151515151,0.183892467705904,0.0300316896491926
64,0.255267425565131,0,27.1758199291751,0.144927536231884,0.19047740528807,0.0302481756723731
67,0.244046416004513,0,29.3522107415281,0.138888888888889,0.195694138809959,0.0302397618432855
70,0.209377995229964,0,31.882405963538,0.133333333333333,0.199370626282941,0.0303258891579838
73,0.197048249458139,0,34.010296742883,0.151898734177215,0.20314633277111,0.0307253293306006
76,0.203258037260483,0,36.884215172679,0.146341463414634,0.205914752532648,0.0298746050868567
79,0.191405098343078,0,40.0987725229973,0.141176470588235,0.206377334626256,0.0296756003622493
82,0.182115661344905,0,43.9286301789121,0.136363636363636,0.21982083504735,0.031245174547362
85,0.149340464436722,0,47.8463469826184,0.131868131868132,0.230312734258043,0.0321410444851797
88,0.131727204014333,0,53.5238291122682,0.127659574468085,0.240500952981257,0.0326232196987838
91,0.14499561407306,0,59.8531726952708,0.104166666666667,0.238549233779985,0.0324417906419306
94,0.137675524129106,0,66.8293452703482,0.0816326530612245,0.240057686329236,0.0317623491112959
97,0.130059820304413,0,75.1004169087927,0.06,0.253384810827124,0.0331709658832281
