"k","SharpeRatio","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.812854024316486,0,0.117056856187291,0,0
4,0.850910994079599,0.776219383458042,0.197993311036789,0.179032415200383,0.101439594847038
7,0.908550376707603,1.49756019789595,0.198662207357859,0.195316422074381,0.0850727129084254
10,1.17833051147649,2.46959880251317,0.161729017916309,0.174553488225509,0.0681959522064263
13,1.33671174505435,3.20068019325362,0.163829009864816,0.164928992296944,0.057131525075386
16,1.44034781493544,4.26601094774635,0.161359790058134,0.171839239330574,0.053096537326495
19,1.53045865921761,5.3118571148672,0.161562696912414,0.172938786297507,0.0491877484886881
22,1.58881843976634,6.51008598146138,0.154420014358941,0.17075649972027,0.0460006921089681
25,1.59829589086954,7.56960028544044,0.152694057779976,0.180202955471274,0.0463892085691936
28,1.60210051240951,8.92907272763814,0.142786937431883,0.174950729917675,0.041036339311985
31,1.61525871228349,10.6373874342657,0.145706423098038,0.175140233567515,0.0391992946845766
34,1.58842296992613,12.7216760664237,0.148588074353033,0.174619502222095,0.0378721784469218
37,1.59372544260346,14.047659140864,0.14224180464981,0.177111697615383,0.0372321242145558
40,1.59803838023938,17.4344839270746,0.142939235102873,0.186527375512336,0.0384682183927434
43,1.58094365839245,20.1098236074222,0.140492043523518,0.17861059988484,0.0358442168564957
46,1.56471464411142,23.0989797672497,0.141299407758731,0.186638719938665,0.036296071316242
49,1.55546266491953,24.6705906417994,0.142129215775512,0.18537174547006,0.0353100867877713
52,1.57393884571451,25.8726324127918,0.144773113614826,0.180441400533713,0.0339255879345424
55,1.58179816874735,26.061952048046,0.141606823326334,0.181165814715704,0.0330147673192115
58,1.58508037635425,27.4666310315496,0.144846216906409,0.184191567383794,0.032644112132625
61,1.54407903266461,28.3853598482511,0.142976696481281,0.18153793425958,0.0311478842135392
64,1.52558669074552,30.4658670864588,0.143471161259075,0.188340171556059,0.0323497172184903
67,1.50918334997884,33.3268337724119,0.139514213749055,0.186672577871214,0.0312155276890839
70,1.52420957074539,33.8813768676183,0.141972860631722,0.182882371572258,0.0306169975936528
73,1.53590783025358,32.9461030909352,0.14012359274973,0.18631037290089,0.0299095104386618
76,1.54657867644722,34.7778529622902,0.141850743377677,0.186296032947281,0.030849607497889
79,1.53042867096681,35.4251446243225,0.141108084130748,0.189097732658068,0.0302373706062199
82,1.54505561481562,37.3782573843328,0.138254401729296,0.193610577875796,0.0301710177290051
85,1.62495884931544,39.3017974699883,0.138681241849792,0.200637030232206,0.0308891372016616
88,1.65551216593532,40.7370909112913,0.13628118110477,0.205541884136115,0.0313753165224222
91,1.64974764743647,37.7126645048006,0.132468564725498,0.206355019955875,0.0327605301915955
94,1.65401397436961,36.6338798066026,0.128717863884544,0.220587344345035,0.03298759946109
97,1.65451939453202,32.9796689652344,0.121770684199431,0.217344348413848,0.0337508948503729
100,1.62623925259231,30.4329041929326,0.109089357530619,0.23145337578473,0.0363770408391225
103,1.59647722184234,24.6270279280449,0.0972893394255832,0.253525259278609,0.038314236182806
106,1.51631368861569,20.8743688513508,0.0733727724970935,0.280538824796521,0.0431854881396354
109,1.34038724287096,20.2570294384912,0.0432719258806215,0.30301578258987,0.0471653445981065
