"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean","nnz_mismatch_count"
380,1,0.444761283740759,0,0,0,0,0
380,4,0.635662415325975,0.882338777015602,0.152630739209663,0.0811891382437349,0.181196581196581,0
380,7,1.31750968184367,2.48544910917132,0.119453090251749,0.0550983717354787,0.173076923076923,0
380,10,1.30274008271103,2.95395139845254,0.118704971485635,0.0466754638298545,0.162572470264778,0
380,13,1.58803915327208,3.82584077896612,0.130194352774043,0.043275964364521,0.128937728937729,0
380,16,1.97969494157463,4.67824299120715,0.124723564564326,0.0379261887649804,0.139204219699576,0
380,19,2.2168320068533,5.28523958736221,0.0996406983863168,0.026793026424027,0.109435009435009,0
380,22,2.18041114247055,5.8875243623114,0.0847054447259526,0.0220569411861947,0.0933184689706428,0
380,25,2.35437562526992,6.69685892326144,0.0909387042254634,0.0223014442237541,0.0798451311271823,0
380,28,2.38899162349131,7.3276364260975,0.0890235667163395,0.0210022126359247,0.0793740433339989,0
380,31,2.43989743032989,8.1667957450724,0.0845549899750278,0.0201916691916799,0.0822259167847403,0
380,34,2.43110065703673,9.47405957851276,0.082765153835787,0.0185198685961555,0.0752100857364015,0
380,37,2.42058640110524,10.1522525621751,0.0857556088256968,0.0187449238990966,0.100747888868754,0
380,40,2.48508251353874,11.0030307299755,0.0962596221171943,0.0204478647872029,0.11111448453923,0
380,43,2.55823998808226,11.7980798538618,0.0969219853157142,0.0195137141013618,0.110090644027475,0
380,46,2.58158168720763,12.6272117619491,0.0917933609449202,0.0185658482243312,0.0979551560405323,0
380,49,2.53380397837321,14.7029279483461,0.104554707274406,0.0201007053905177,0.105758622107124,0
380,52,2.50686632867965,16.8205999732885,0.0958853149669449,0.0175335971627988,0.0895523211883403,0
380,55,2.49621647397873,17.8205311825572,0.091793108529393,0.0165965162438933,0.0932255681317605,0
380,58,2.49209789232768,18.0863136549318,0.0937734850075247,0.0165363887115796,0.0830189368823532,0
380,61,2.45608592889217,18.2561600519328,0.0891501105604907,0.0151142842916041,0.0865823513539175,0
380,64,2.43848937867097,18.0547206696063,0.0981796039868541,0.016068927149586,0.0860590764420436,0
380,67,2.3816136407539,18.2429031306581,0.092795809912185,0.015329085828039,0.0840232742826655,0
380,70,2.36275899269749,18.1584198647731,0.0954344330593159,0.0146562363189921,0.0780879139611088,0
380,73,2.40271465384357,18.825305644782,0.100419173442029,0.0150139534626938,0.0755887758450153,0
380,76,2.359466363641,20.2513877417929,0.0888317094639462,0.0136092009248033,0.0702281400897908,0
380,79,2.3805800085675,21.2509554498048,0.0864065381526183,0.0126899250499939,0.0717517380699889,0
380,82,2.34805074082992,21.7371730371248,0.0825593802905227,0.0114733479175277,0.0726708187330594,0
380,85,2.29098006637623,23.6010148824948,0.08314667128392,0.012428094283118,0.0785381199433811,0
380,88,2.24209576241239,25.6795366580613,0.0895598427084611,0.0125810154203064,0.0807249339268072,0
380,91,2.19456588208163,27.2438292914591,0.0889498088999802,0.0121865104625033,0.0755145340808805,0
380,94,2.14503465703735,28.532802968499,0.0914642626557173,0.012536195394126,0.07625714959864,0
380,97,2.11343766998244,30.3999123107341,0.0895718501370632,0.0125115251154,0.0784631703861159,0
380,100,2.08186060285769,34.2534814290337,0.0895629828244859,0.0117747350307057,0.0744175984316591,0
380,103,2.06722710833064,37.9748001604397,0.0910650583238711,0.0119528652356545,0.0762913289349497,0
380,106,2.04783988993316,42.5765322472135,0.0836418144787989,0.0117619498216802,0.0750863701206459,0
380,109,2.04907379167512,46.7171523562891,0.088515215173419,0.0112397600394057,0.0810703936539951,0
380,112,2.05060194615521,52.1580253323629,0.086371862364833,0.0109935547735199,0.0814029154523932,0
380,115,2.00939114182641,54.6790741513627,0.0843651797494506,0.0104277034489906,0.0834267768164113,0
380,118,1.97927967649054,58.8193460431121,0.0855148753270751,0.0106082736023713,0.082668372025013,0
380,121,1.94030701756073,65.1698833442807,0.0867915102767283,0.0106655742736686,0.0810687064894463,0
380,124,1.91997777314193,69.0078510623886,0.0861121939941665,0.0102615318795356,0.0819104129662008,0
380,127,1.90119973561688,71.564085255454,0.0911376697889119,0.0106865115269499,0.0819925077994021,0
380,130,1.8716589188861,80.5182997012932,0.0896798653822201,0.0105281506492869,0.0820225512931844,0
380,133,1.82743488526805,97.5052249861636,0.0900053698824491,0.0104473480597498,0.0850577334495839,0
380,136,1.80190342136176,115.590774592271,0.0903959579339097,0.0102063281978843,0.0802621387833065,0
380,139,1.74530681818185,125.356215794471,0.0906181348712772,0.0103050090677242,0.0783844797794889,0
380,142,1.71994960855447,128.339808623985,0.0898238367867227,0.0101085833483593,0.0718273500338494,0
