"k","lasso"
3,0.161685722680869
5,0.158683127959631
7,0.182725571499465
9,0.193441576461747
11,0.20093554998514
13,0.187511127584963
15,0.195487063237265
17,0.189591762741939
19,0.190034211971885
21,0.174098849259919
23,0.177004158866786
25,0.166391505983066
27,0.165918379229033
29,0.163058760328272
31,0.157885450216204
33,0.150064869311787
35,0.148262183645693
37,0.154440773679012
39,0.152381653955075
41,0.166444067589029
43,0.166626871709398
45,0.15077098733796
47,0.153176625080442
49,0.15736882054509
51,0.160130201176628
53,0.15257951579131
55,0.152019943473767
57,0.157895042033114
59,0.16543656125959
61,0.14957108035776
63,0.147386625799893
65,0.135425585648852
67,0.129407219965633
69,0.149114845784562
71,0.148410763077097
73,0.138886814985503
75,0.137262678982237
77,0.133566596287533
79,0.133904918387034
81,0.125436664551743
83,0.123624445078975
85,0.123715848915506
87,0.120734795231373
89,0.109037185300838
91,0.10707363370644
93,0.106132552701418
95,0.0957132772440242
97,0.0997264439801084
99,0.0993641066292537
