"k","lasso"
3,0.130000599158638
5,0.150644228263458
7,0.120850473147836
9,0.124549667159267
11,0.126455785743704
13,0.121755729982842
15,0.116790657452573
17,0.121322092639711
19,0.114159354789196
21,0.127174651151473
23,0.134096490790654
25,0.155065919410312
27,0.137770619093325
29,0.140106614844528
31,0.143720839817907
33,0.133223002869268
35,0.130954530743685
37,0.128541090281915
39,0.134053044733056
41,0.14382094340294
43,0.142319057559047
45,0.126094023751718
47,0.125769943365012
49,0.120445061143244
51,0.1149532700184
53,0.113390665875905
55,0.120055478486354
57,0.115046802448337
59,0.116710357536659
61,0.131818264404852
63,0.139037846094083
65,0.1351023428367
67,0.134176574310789
69,0.1355791142508
71,0.148808668411366
73,0.142027148555984
75,0.118220180987463
77,0.123667741247021
79,0.133458166655986
81,0.123384332951377
83,0.139197204297246
85,0.148294987474218
87,0.135927443286853
89,0.129841099934415
91,0.125799685718263
93,0.116468510114837
95,0.122496099842202
97,0.139462464288416
99,0.150533647174846
101,0.139480913562372
103,0.148031705308135
105,0.138219702250002
107,0.12994871994467
109,0.125779369241046
111,0.128130663978173
