"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,-0.00182871075891496,0,0,0,0,0
10,0.0351543363802761,0,2.49027687267699,0,0.0623114664630081,0.0253745555477827
19,0.2286823492247,0,6.52124761713931,0,0.0700968224576399,0.0215514970361083
28,0.262579028363359,0,8.42874875596306,0.0689655172413793,0.0596572743715357,0.0150183287248074
37,0.273798096542219,0,10.3892239147094,0.0526315789473685,0.0576896800351065,0.0131354905517839
46,0.264187923483794,0,11.7731478281038,0.0833333333333334,0.0549903593020552,0.0114025470441257
55,0.296339335467615,0,12.9911721937894,0.0701754385964912,0.0664894053458229,0.011348255965608
64,0.322744540671323,0,14.5329906227908,0.0606060606060606,0.061973885236624,0.0111346276885115
73,0.302542427742031,0,16.0582214283279,0.0533333333333333,0.0762951175295253,0.01219975169755
82,0.300246058871828,0,18.7974049603838,0.0705882352941176,0.0686134010000203,0.0101866177451225
91,0.270454372618672,0,20.5907587096568,0.0638297872340425,0.0724383347221084,0.0107639717437976
100,0.282894027758752,0,23.2314053189974,0.058252427184466,0.0799012221566774,0.0106731901735809
109,0.260401906719318,0,24.650343192919,0.0707964601769911,0.0786833651742686,0.00962154132364533
118,0.236338805266309,0,27.8521259340721,0.0655737704918032,0.080541495076591,0.00963029080022413
127,0.200900777638483,0,31.419297961586,0.0757575757575758,0.083502271299761,0.00984868029849228
136,0.184130140244074,0,34.3010508693798,0.0709219858156028,0.0884615172357169,0.0100677466729812
145,0.158846225122953,0,36.859854480891,0.0666666666666667,0.082518716906411,0.00911966658537247
154,0.135522597454124,0,39.7268301247566,0.0869565217391305,0.0837361620319927,0.00899996539427402
163,0.104151796020606,0,42.0970243938047,0.0823529411764706,0.0883952457999032,0.00905941439675336
172,0.0543447779804901,0,45.8411101681653,0.0674157303370787,0.0910409951666656,0.00917329237374936
181,0.0250183795632319,0,48.603422201762,0.074468085106383,0.0962843461922722,0.00923424807885378
190,0.0159293143587152,0,51.8915521609883,0.0710659898477157,0.0870301134673777,0.00857083352361735
199,0.0184031218621916,0,56.9504411398686,0.0772946859903382,0.096421912107794,0.00917879953923899
208,0.00917982009453533,0,60.4006558096151,0.0740740740740741,0.105812967701082,0.00950245458931302
217,0.0141392915733711,0,64.9237058366489,0.0796460176991151,0.0942446546330499,0.0087374502105329
226,-0.00388883494576811,0,70.3851092186836,0.0683760683760684,0.0988245569083185,0.00852604378238671
235,-0.0248333006351958,0,74.3928104634501,0.0816326530612245,0.0995309771979867,0.00832107292231157
244,-0.0375801124909955,0,78.9766489417979,0.0787401574803149,0.0955841988633498,0.00819174939046443
253,-0.0287195066857424,0,83.1444903334026,0.0687022900763359,0.103885084183262,0.00910385005808328
262,-0.00981899853538669,0,89.3880371456113,0.0592592592592592,0.100395185483802,0.00897809630595252
271,-0.00683155947104981,0,98.9305976772656,0.0711743772241993,0.0988505909448022,0.00864993362053669
280,-0.0179438305747209,0,104.148599321486,0.0622837370242214,0.0953530633436216,0.00863067693489259
289,-0.0401556115396664,0,116.115491654447,0.0604026845637584,0.100446091719744,0.00835212086312946
298,-0.0567208760629879,0,122.311741195671,0.0586319218241043,0.0909729256922588,0.00773560275272783
307,-0.0643368239533334,0,125.576281426227,0.0630914826498423,0.0922597741006961,0.00746143322035164
316,-0.0485090205759548,0,137.787834315623,0.0553846153846154,0.09527755941146,0.00753737087293374
325,-0.0452173489346987,0,147.686318738617,0.0480480480480481,0.0941044724172502,0.0070447455215297
334,-0.00796866628704044,0,181.226912229199,0.0467836257309941,0.0812199284061233,0.00625132455541198
343,-0.0255652303805669,0,266.020763033726,0.04,0.0880076121229142,0.00705574859787894
352,-0.0532144429473494,0,396.244837916034,0.0169014084507042,0.0782255927896587,0.00657994788948656
