"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.14741394111707,0,0,0,0,0
4,0.176625797262642,0,0.852878066682696,0,0.0948104520034442,0.0554390290964717
7,0.268863156972335,0,1.94873930055684,0,0.109355104365787,0.0511854563935738
10,0.312026091059208,0,2.73888706427414,0,0.0842488448059946,0.0316887362076818
13,0.327994023006595,0,3.2949749333852,0,0.0775037714568044,0.0259211261082903
16,0.333284358686509,0,3.82818068007551,0.117647058823529,0.0766587417204124,0.0239713897986507
19,0.308032347327278,0,4.17763598126761,0.1,0.07625415883028,0.0217286786842266
22,0.307510141907647,0,4.86341966472943,0.0869565217391305,0.079923677744225,0.021305571480703
25,0.312089271575043,0,5.10060634554577,0.0769230769230769,0.0798418097858408,0.0207129510026003
28,0.318661710911862,0,5.60688960709898,0.0689655172413793,0.0811599423142949,0.0193524460551713
31,0.306196388133078,0,5.89934992992094,0.0625,0.080928864618594,0.0188121174474788
34,0.306752974515405,0,6.18326890702707,0.0571428571428572,0.0830769404669184,0.018258675870071
37,0.2948047899973,0,6.55307230724424,0.0526315789473685,0.0817006460881025,0.0173317633636432
40,0.2687452545061,0,7.0322201689176,0.0952380952380952,0.0811467183321915,0.0163592895402262
43,0.270930492787343,0,7.46566350564212,0.0888888888888889,0.080347542982682,0.0157465676027014
46,0.294990448622006,0,7.76315372579902,0.0833333333333334,0.0850915303566323,0.0155956503448384
49,0.299153005272732,0,8.3661413473539,0.0784313725490197,0.0803051191558309,0.0150595091983023
52,0.299670081262758,0,9.32177490607725,0.0740740740740741,0.0784279607228187,0.014078992405859
55,0.30661150505165,0,9.94511652484049,0.0701754385964912,0.0814990986241604,0.0139428979699927
58,0.307895431201961,0,10.3957654119231,0.0666666666666667,0.0795605955347857,0.0135093127054883
61,0.286959611356611,0,11.1697340025218,0.0634920634920635,0.0769894797875971,0.0125360452579447
64,0.28054400951988,0,11.6671661890916,0.0606060606060606,0.078926369768459,0.0126129439936367
67,0.259046955053704,0,12.4489443645685,0.0579710144927537,0.0778609446750359,0.0122291673121571
70,0.26003150644252,0,12.8642793509202,0.0555555555555556,0.0771071964167225,0.0123023263875769
73,0.254116006607694,0,13.4388136525235,0.0533333333333333,0.0801725084481486,0.0124972988734295
76,0.255796551458846,0,14.1564629872949,0.0512820512820513,0.0795767131078069,0.0121795901385402
79,0.258975956581801,0,14.6258048909108,0.0493827160493827,0.0819132905325034,0.0125184343007019
82,0.27710348239532,0,15.2061471128571,0.0705882352941176,0.0796675928306556,0.0119735761743763
85,0.286136793734248,0,15.928146037413,0.0681818181818182,0.0809869894068094,0.0123462378618208
88,0.280286046960394,0,17.5077385527382,0.0444444444444444,0.0844602506138869,0.0134380291194249
91,0.286737759828805,0,19.2442714669125,0.0638297872340425,0.0825742636200911,0.0138494002664087
94,0.259666988616115,0,20.8983767050041,0.0416666666666666,0.0905759718330507,0.0150549007484482
97,0.240809017795631,0,21.5392101403224,0.0404040404040404,0.0920740516610551,0.0161822200314287
100,0.241136318499761,0,23.4386951715689,0.0392156862745098,0.0873689733856976,0.0162043460437353
