"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.14741394111707,0,0,0,0,0
4,0.210158811984602,0,0.73892367053859,0,0.122011349350033,0.0669538625252456
7,0.231608722066003,0,1.34123689723345,0,0.140724066722807,0.0642423147604737
10,0.295464538690351,0,2.34835465874945,0,0.102333221274122,0.0397903552445926
13,0.318791395652791,0,2.92070080927512,0.142857142857143,0.0810994585618274,0.0284418691645056
16,0.333087513874899,0,3.38494648867154,0.117647058823529,0.0826460153098112,0.0259035639258329
19,0.336426922159424,0,3.8744149887251,0.1,0.0756743494996457,0.0225443482766553
22,0.360787203783457,0,4.24381953378164,0.0869565217391305,0.0756498648885338,0.0207165149356174
25,0.383020760687016,0,4.53332276307983,0.0769230769230769,0.0760553562742367,0.019523316163782
28,0.36550364058506,0,4.79177579193601,0.0689655172413793,0.0801053090913235,0.0197954477304355
31,0.372811719564419,0,5.36001472671582,0.0625,0.0811608874189306,0.0188172090282461
34,0.374584434793998,0,5.86371886043226,0.0571428571428572,0.0784326548115306,0.017303354131574
37,0.382958912555433,0,5.96503210126425,0.0526315789473685,0.0769768327897623,0.017135112468615
40,0.36996022644828,0,6.31528030734224,0.0952380952380952,0.0764906924484775,0.0161297561315486
43,0.364763348697626,0,6.53760232053313,0.0888888888888889,0.0784238569299122,0.0159713195375515
46,0.366925816055632,0,6.73240079544465,0.0833333333333334,0.0766385747782197,0.0152241272750263
49,0.36742110099313,0,7.10701650480583,0.0784313725490197,0.075983891229898,0.0140751440925277
52,0.358347415414509,0,7.33138398850595,0.0740740740740741,0.077276723068252,0.0142967110754442
55,0.356534671985066,0,7.71889196616296,0.0701754385964912,0.0775100431006947,0.013686697894374
58,0.35975627496083,0,8.19357134838404,0.0666666666666667,0.0793241806259191,0.0140779730667993
61,0.342308913556804,0,8.43611776980812,0.0634920634920635,0.0787323551235757,0.0135673120875401
64,0.339306433722778,0,8.77924244491574,0.0606060606060606,0.0785452568951591,0.0127204828943409
67,0.346943646285297,0,9.43541049675004,0.0579710144927537,0.0800894806496173,0.0131945236839628
70,0.335804940400907,0,9.76299791767474,0.0555555555555556,0.0786155907317164,0.0123179447009569
73,0.324687264524363,0,9.91166396995951,0.0533333333333333,0.0778966991124035,0.0116815465733491
76,0.330649022512957,0,10.3133464251386,0.0512820512820513,0.076729012415278,0.011395523378499
79,0.31695764816853,0,10.5864261031129,0.073170731707317,0.0808495074132245,0.0118179603531498
82,0.306691085246877,0,10.9982947034951,0.0705882352941176,0.0809333235951364,0.0117499326375986
85,0.31517332846602,0,11.6443705586233,0.0681818181818182,0.080304264841271,0.0115293994185758
88,0.319746881349069,0,12.1826350149704,0.0659340659340659,0.0805332184849366,0.0113436999121348
91,0.319545232155639,0,12.5340626287624,0.0638297872340425,0.0820166058564588,0.0111379351154973
94,0.334326877292932,0,12.8469825631073,0.0618556701030928,0.0818506933943082,0.011053085323582
97,0.325586609564268,0,13.4390774588778,0.06,0.0827650185504158,0.0108274462675878
100,0.328215729843945,0,13.8503563475377,0.058252427184466,0.0827677532039504,0.0108816011306012
103,0.331521234420635,0,14.3396166308629,0.0566037735849056,0.0834773839693364,0.011019713695931
106,0.345233200257456,0,14.5170889053813,0.0727272727272728,0.0846195853143667,0.0109785825323115
109,0.350254113151954,0,14.9973461044868,0.0707964601769911,0.0872320899879057,0.011313717119578
112,0.34780666139608,0,15.5307051684359,0.0521739130434783,0.087101914697027,0.0111334646445461
115,0.336159926342496,0,16.1379548539009,0.0672268907563025,0.0864589483080545,0.0114903682479125
118,0.306646414657027,0,17.0209020286551,0.0655737704918032,0.0901778150237884,0.0117941833541979
121,0.302494249041808,0,17.4158640984953,0.064,0.0869466771380963,0.0112719359222294
124,0.288168424835466,0,17.9041495260465,0.0625,0.0875963733879018,0.0114940511354159
127,0.290617284342918,0,17.9700657069492,0.0610687022900763,0.0871162227799815,0.0111621189660218
130,0.297222112441794,0,18.6644347356413,0.0597014925373134,0.0845487326068575,0.0109051193640906
133,0.296570579720801,0,18.9421482440165,0.0583941605839416,0.0846652863275433,0.0110368228613231
136,0.288529791100962,0,19.1362893618675,0.0571428571428572,0.0830934194802496,0.0102531533630543
139,0.268178270627611,0,20.2561759560273,0.0559440559440559,0.084484833643707,0.0108424349473529
142,0.254549825655122,0,20.9955343243755,0.0547945205479452,0.087197231985864,0.0113469095929605
145,0.249018995427537,0,22.2399950176806,0.0405405405405406,0.0923567514913164,0.0124410781920521
148,0.238937221656792,0,23.3658948693945,0.0266666666666666,0.0855302736500279,0.0114711570922691
151,0.243648254622534,0,25.7738130953806,0.0131578947368421,0.0807522296030805,0.0108338353345673
