"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,-0.00182871075891496,0,0,0,0,0
10,0.0351543363802719,0,2.48877225973192,0,0.0623114664629963,0.0253745555477908
19,0.228682349224715,0,6.52555156852018,0,0.0700968224576317,0.0215514970361055
28,0.262579028363368,0,8.4262201481722,0.0689655172413793,0.0596572743714698,0.0150183287247895
37,0.273798096542211,0,10.3886877179092,0.0526315789473685,0.0576896800351729,0.0131354905517869
46,0.26418792348379,0,11.7693251851668,0.0833333333333334,0.0549903593020107,0.0114025470441167
55,0.296339335467639,0,12.9871161787476,0.0701754385964912,0.0664894053458046,0.0113482559656056
64,0.322744540671349,0,14.5283972204649,0.0606060606060606,0.0619738852365866,0.0111346276885
73,0.302542427742069,0,16.0617245783311,0.0533333333333333,0.0762951175295333,0.0121997516975479
82,0.3002460588719,0,18.7973505441933,0.0705882352941176,0.0686134009999288,0.0101866177451246
91,0.270454372618745,0,20.5915697840066,0.0638297872340425,0.0724383347220789,0.0107639717437888
100,0.282894027758787,0,23.2403313011707,0.058252427184466,0.0799012221566453,0.0106731901735691
109,0.260401906719488,0,24.6485810527032,0.0707964601769911,0.078683365174245,0.00962154132364428
118,0.236338805266352,0,27.8695297086494,0.0655737704918032,0.0805414950766316,0.00963029080021946
127,0.200900777638557,0,31.4137304506836,0.0757575757575758,0.083502271299867,0.00984868029850762
136,0.184130140244143,0,34.3029145715012,0.0709219858156028,0.0884615172357013,0.0100677466729766
145,0.15884622512306,0,36.8557977611315,0.0666666666666667,0.0825187169064188,0.00911966658537104
154,0.135522597454278,0,39.7647862043546,0.0869565217391305,0.0837361620319643,0.00899996539426859
163,0.104151796020656,0,42.0986571460875,0.0823529411764706,0.0883952457998966,0.00905941439674969
172,0.0543447779805363,0,45.8843099707426,0.0674157303370787,0.091040995166632,0.00917329237374359
181,0.025018379563274,0,48.6005123205353,0.074468085106383,0.0962843461922259,0.00923424807885242
190,0.015929314358774,0,51.9450397709349,0.0710659898477157,0.0870301134673911,0.00857083352361554
199,0.018403121862223,0,56.9263700783163,0.0772946859903382,0.0964219121076255,0.00917879953923478
208,0.00917982009462269,0,60.4108937453332,0.0740740740740741,0.105812967701101,0.00950245458930437
217,0.0141392915735364,0,64.9110220401452,0.0796460176991151,0.0942446546332196,0.0087374502105525
226,-0.00388883494581487,0,70.368737719617,0.0683760683760684,0.0988245569083421,0.0085260437823946
235,-0.0248333006351796,0,74.3960680681507,0.0816326530612245,0.0995309771981993,0.00832107292232523
244,-0.0376455064040882,0,78.9619349641909,0.0787401574803149,0.0955841988631458,0.00819174939047248
253,-0.0315346525464055,0,83.0660785139869,0.0687022900763359,0.103885084183224,0.00846714958565586
262,-0.00736441405163587,0,89.1990573108866,0.066420664206642,0.0989553595139333,0.0079528062487953
271,-0.0156787976177331,0,96.2278212250574,0.057347670250896,0.0973809599996335,0.00771792333943252
280,-0.0167485218058486,0,105.928951737985,0.0622837370242214,0.0942640547828727,0.00741590687478049
289,-0.0302276806983443,0,115.084630336427,0.0668896321070234,0.0951789141253687,0.00739014724745091
298,-0.0443647845086368,0,122.667334706936,0.0586319218241043,0.0957645686844684,0.00744207494562935
307,-0.0622823943237675,0,127.057416541141,0.0507936507936508,0.0925421218721219,0.00712563367579324
316,-0.0546843102196589,0,138.383949931913,0.0493827160493827,0.091265003853877,0.00715180824571928
325,-0.0428497962004378,0,157.193026988318,0.0480480480480481,0.0939790989058565,0.00689456000222237
334,-0.0181231828096775,0,178.039950100351,0.0467836257309941,0.0913886226251521,0.00677337413265792
343,-0.00403399783069402,0,190.787476750027,0.0343839541547278,0.0850787860105966,0.00655291934469907
