"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.00710336665910053,0,0.992462288517169,0,0.00238290422835026,0.00238290422835026
4,0.208826473869955,0,0.938932626844265,0,0.0285636172085874,0.0184024209880681
7,0.209287656332602,0,0.854694467159407,0.25,0.0615048825383386,0.0319194443824527
10,0.237460369008042,0,0.787529504029919,0.181818181818182,0.0939324557658348,0.0430237663606656
13,0.251024570097945,0,0.736023648952942,0.142857142857143,0.155340366393357,0.0630451256429219
16,0.23105033784415,0,0.731513637915876,0.117647058823529,0.215230252422115,0.0806845330352498
19,0.219251524616987,0,0.81161158164088,0.19047619047619,0.306057334338022,0.109178966273869
22,0.204711417770482,0,1.06115396368621,0.166666666666667,0.424844320611514,0.13998348472537
25,0.202928420084925,0,1.52085626340008,0.148148148148148,0.529469183833182,0.168351023317928
28,0.221364609383607,0,2.02101226669441,0.133333333333333,0.675827128335726,0.203518657803136
31,0.216648150154804,0,2.69920766148831,0.176470588235294,0.85552541111111,0.257427889098365
34,0.213470006588941,0,3.63736816852624,0.162162162162162,1.05220078258169,0.300232353010733
37,0.208123389088122,0,4.7377398371886,0.15,1.25762740257178,0.355148503760592
40,0.218708241707548,0,5.91642641286627,0.13953488372093,1.51445242903226,0.417261791402599
43,0.234900199702399,0,7.17459186284057,0.130434782608696,1.87385175825886,0.493986237824827
46,0.227007305168829,0,9.02725672455884,0.122448979591837,2.38375521542979,0.608710055248295
49,0.236490977585808,0,11.0007051957565,0.150943396226415,2.95974481070564,0.736670181554474
52,0.229306821138702,0,13.2210576155033,0.142857142857143,3.58865267348648,0.895005298563344
55,0.233169690106072,0,16.4816400980537,0.135593220338983,4.59939351317015,1.10654497164297
58,0.216276609057308,0,20.93931234795,0.129032258064516,5.66678807949756,1.36087582553864
61,0.215401284694959,0,25.7828802303976,0.123076923076923,7.08312334312553,1.66162963610098
64,0.208302000543868,0,32.2781691026196,0.132352941176471,9.07217937358671,2.12161016633094
67,0.202838320034025,0,40.300350937932,0.138888888888889,11.386861896033,2.50379091440475
70,0.194263062403012,0,52.2844212814666,0.133333333333333,14.4794409411417,3.26341648692234
73,0.21955553273347,0,65.8118106662156,0.151898734177215,17.9352985857167,4.00167818179312
76,0.220179248428983,0,79.4695489190491,0.146341463414634,24.8742064227443,5.32987543084229
79,0.210050182491757,0,95.4190917427357,0.141176470588235,29.3955814762967,6.28537440652021
82,0.196046486091048,0,121.299985431667,0.136363636363636,40.1212626379065,9.06029319844951
85,0.202096441234806,0,160.578663170647,0.152173913043478,55.6353025096329,12.4301414946214
88,0.192329450329749,0,218.274313370563,0.147368421052632,80.9371534115707,19.0057898456619
91,0.186239695043841,0,302.190511603186,0.123711340206186,120.268887101731,29.7912345993342
94,0.179233669527735,0,418.80214606117,0.12,151.549353092714,36.9219158623406
97,0.154565401172028,0,606.128923094908,0.0792079207920792,221.914534714354,55.9038256965673
100,0.149018607276513,0,929.318969293799,0.058252427184466,325.268014666596,78.5212922057946
