"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.0457263174606598,0,0.990070661292948,0,0.000274604792347369,0.000274604792347369
4,0.121437423022158,0,0.976748691579631,0,0.00454277923868114,0.00281289721032551
7,0.18366535744795,0,0.963147825935612,0,0.00907230898680313,0.00486235360744946
10,0.150791059216613,0,0.950679079089769,0.181818181818182,0.01345194514863,0.00610991325459429
13,0.183029902566363,0,0.939725098118646,0.142857142857143,0.0196405717684666,0.00777660266485811
16,0.174779655455076,0,0.920811978832908,0.117647058823529,0.0241522883735682,0.0087523834237168
19,0.165206881866438,0,0.903873177984351,0.1,0.0300388586533509,0.0105446742347115
22,0.174157856921985,0,0.883583792311221,0.0869565217391305,0.0340315238904954,0.0106739546034201
25,0.178109980628068,0,0.847326310093554,0.0769230769230769,0.0421266569038179,0.0121946599872833
28,0.171318027664312,0,0.813995393070359,0.0689655172413793,0.0503092462789846,0.0136288462329253
31,0.165520171029239,0,0.761695584285095,0.0625,0.0560717361394589,0.0146297135875984
34,0.156346691542829,0,0.739291241791151,0.0571428571428572,0.0620084737323895,0.0153278274011165
37,0.161511933943693,0,0.712466440809752,0.102564102564103,0.0711530056259614,0.017079382610628
40,0.160434910225827,0,0.693179867084782,0.0952380952380952,0.0796828666780197,0.0182733389928426
43,0.158411776891828,0,0.674072911444183,0.0888888888888889,0.0856494593858374,0.0187386825844119
46,0.162919800236856,0,0.653338015840665,0.0833333333333334,0.0962258089333175,0.0200789996144049
49,0.171387819030378,0,0.667904253509809,0.0784313725490197,0.107258759926103,0.0217987571049685
52,0.169240264826095,0,0.70138424031111,0.0740740740740741,0.11678884345782,0.0231606757746135
55,0.160312617592928,0,0.759232431219457,0.0701754385964912,0.130120726555787,0.0246078501175617
58,0.167068692820962,0,0.871688484391125,0.0666666666666667,0.147851336829146,0.0270667386166892
61,0.167632586410201,0,0.994050814275362,0.0634920634920635,0.155600293389765,0.0277620863189591
64,0.164842828676199,0,1.04127308694234,0.0606060606060606,0.174649377469957,0.0298492553165335
67,0.155628454212098,0,1.14369396715816,0.0579710144927537,0.18331981424374,0.0314503648309422
70,0.169015245064921,0,1.32297166661748,0.0555555555555556,0.193858691698118,0.0321665572851715
73,0.172075707085821,0,1.46244239903837,0.0533333333333333,0.227894134071337,0.036909490128301
76,0.166846012560702,0,1.6442896500343,0.0512820512820513,0.239088877108937,0.0385998836890944
79,0.161059182218064,0,1.82841310833211,0.0493827160493827,0.26450613623037,0.040558528948468
82,0.160285821779203,0,2.06072540537793,0.0476190476190477,0.274015861182877,0.0418486007029145
85,0.154907847660359,0,2.31240269411274,0.0459770114942529,0.296736711236881,0.0445886154400966
88,0.163300649770227,0,2.64705863404363,0.0444444444444444,0.344193691435436,0.0506380278310835
91,0.157444096055338,0,2.92631897924718,0.043010752688172,0.373954672594332,0.0557281128972144
94,0.156251353681188,0,3.39393428452396,0.0416666666666666,0.436536956919752,0.0630356292850623
97,0.170926570898589,0,3.9311770122213,0.0404040404040404,0.51008135956471,0.072076519536927
100,0.172082185758299,0,4.67653018699739,0.0392156862745098,0.531060772340552,0.0749340870890583
103,0.169436736190304,0,5.4108738875793,0.0380952380952381,0.632475556517006,0.0861518229662454
106,0.174369306205524,0,6.96634944262814,0.0370370370370371,0.722726145104619,0.0977507612140332
109,0.176435673459113,0,8.2431210635145,0.036036036036036,0.859314880822966,0.112985961597611
112,0.189603554848198,0,9.48868069902709,0.0350877192982456,0.964846309400267,0.12674758155907
115,0.176515601721475,0,12.0987083877848,0.0341880341880342,1.40413940924875,0.179072333004078
118,0.173592304951686,0,15.5535592503967,0.0333333333333333,1.76645160058939,0.225256355649344
121,0.169658348626342,0,19.700276530314,0.032520325203252,2.41694449209097,0.33213787572751
124,0.167445352757889,0,28.9644552099697,0.0317460317460317,3.49333670037628,0.462557548146018
127,0.172343345181899,0,42.0606640754117,0.0461538461538461,5.27377867415127,0.740531066812859
130,0.17948204170323,0,57.9086455977976,0.0303030303030303,6.2445011530513,0.89512776465006
133,0.170775943622576,0,79.5910084046758,0.0296296296296297,8.78434946130679,1.24621186610408
136,0.179476594473895,0,106.240665132641,0.0289855072463768,11.8846815572332,1.60827285496155
139,0.156474909288073,0,148.497558397799,0.0354609929078015,25.9945390510138,3.73573457454265
142,0.175325713473522,0,227.516556400547,0.0277777777777778,36.3696921475304,5.16238445505944
145,0.156746047527266,0,357.61728975009,0.0272108843537415,47.4189394573485,6.67872684251514
148,0.161464269166728,0,545.400433290044,0.0266666666666666,66.4383266699143,9.07118535377827
151,0.195328561276029,0,809.970259167508,0.0131578947368421,63.9696794461872,8.76411801633214
