"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.00260934761477046,0,0.995850661846061,0,0.00122171853711613,0.00121758621893529
4,0.16184412430744,0,0.985684799521863,0,0.00640744748606549,0.00382918350144156
7,0.154393496822451,0,0.97645335582824,0,0.0119667975621146,0.00620606311443442
10,0.166960212017156,0,0.971566254710552,0.181818181818182,0.0181036675526528,0.00791295764517028
13,0.173825285284946,0,0.955101383699172,0.142857142857143,0.0289369428208162,0.0121267557675863
16,0.175680993891339,0,0.91900955882554,0.117647058823529,0.0400554586808157,0.015284152961227
19,0.188280470022231,0,0.880532482235952,0.1,0.050838240265525,0.0181106923879812
22,0.195634202302126,0,0.836778792227204,0.0869565217391305,0.0614902116438649,0.0199123039026486
25,0.193765223560143,0,0.804264518644239,0.148148148148148,0.0742409854663422,0.0224808708159316
28,0.200769475015398,0,0.759008193170596,0.133333333333333,0.087474492593917,0.025402629671022
31,0.208665197053024,0,0.72706728377567,0.121212121212121,0.102314505634995,0.027764025644107
34,0.19996879478026,0,0.6941468707469,0.111111111111111,0.116901714069158,0.0312159984348981
37,0.203265593349033,0,0.680131337142303,0.102564102564103,0.135416701455306,0.0342466231317406
40,0.19933474860372,0,0.688533565080954,0.0952380952380952,0.149644003335127,0.0356226988668722
43,0.210707573078062,0,0.760029781187629,0.0888888888888889,0.166150660553264,0.0384397637482829
46,0.209179358629962,0,0.833378647688051,0.0833333333333334,0.189246174768948,0.0415624888643158
49,0.19563174896087,0,0.948356970079419,0.0784313725490197,0.21645223090135,0.0459821122412212
52,0.202931573534934,0,1.05642318010569,0.0925925925925926,0.236483090612318,0.0484470636330468
55,0.220398389863571,0,1.22241782929533,0.103448275862069,0.267372258133041,0.0538062580350036
58,0.225998432514262,0,1.41666170047768,0.0983606557377049,0.29021968605674,0.0555732002209796
61,0.227759620955827,0,1.63195924178484,0.09375,0.333561232760301,0.0628455601350978
64,0.213883203570952,0,1.86800554757703,0.0895522388059702,0.36757641433717,0.0659699762888497
67,0.21290461758386,0,2.16613184527047,0.0857142857142857,0.398797986717835,0.0715188924180395
70,0.210221850292689,0,2.45627233254735,0.0821917808219178,0.439317187841511,0.0754952362967328
73,0.208652472091456,0,2.80482786124272,0.0789473684210527,0.505613633609594,0.0853947094628938
76,0.216348932406915,0,3.23940047427023,0.0759493670886076,0.555425783786569,0.0910988635163871
79,0.225240586419361,0,3.71078135860829,0.073170731707317,0.614132412242874,0.0992382931160281
82,0.215380892814056,0,4.21185024188796,0.0705882352941176,0.684138901554253,0.108876115297295
85,0.227998106046719,0,4.92071143355414,0.0681818181818182,0.770885859091873,0.119995358084319
88,0.227713508274337,0,5.73524513240923,0.0659340659340659,0.865900216869186,0.13242309079539
91,0.221075264300217,0,6.58875184035401,0.0638297872340425,1.02934943360698,0.15423762905139
94,0.218396584086088,0,7.58302480801637,0.0618556701030928,1.14994702483332,0.170987370970588
97,0.226750647941647,0,8.8172274796257,0.0600000000000001,1.33211655171532,0.195227577070055
100,0.223374222067829,0,10.6024279400727,0.058252427184466,1.57997557723087,0.231876663700695
103,0.220177775886718,0,12.3958173928007,0.0566037735849056,1.80955179360721,0.254526561010728
106,0.218535389082854,0,14.6748680702983,0.055045871559633,2.0516700583186,0.286996299269044
109,0.216222581670538,0,17.505515054444,0.0535714285714286,2.79812441294745,0.379690334951444
112,0.230996300213073,0,22.4852576000655,0.0521739130434783,3.63610362648486,0.483202885625113
115,0.228660228434875,0,28.2443909548164,0.0508474576271186,4.14267848215113,0.567548845262282
118,0.225075492647652,0,35.2351655647414,0.0495867768595041,5.17721874701299,0.693925652031187
121,0.246139807776906,0,42.4604359300684,0.0564516129032258,5.85291090692842,0.7918376484545
124,0.248165833519508,0,51.8064283897445,0.0625,7.20466324868553,0.96553321400935
127,0.228394795935166,0,60.7642677133317,0.0610687022900763,9.04799843840847,1.18962043781228
130,0.224606823489804,0,73.857615112652,0.0597014925373134,11.5212596420807,1.53086926996975
133,0.223920283662404,0,90.8962449645992,0.0583941605839416,15.5831664070668,2.06395296434773
136,0.216077010492147,0,112.991340764123,0.0571428571428572,18.9914551788818,2.50591792276848
139,0.228982245135186,0,143.823235855296,0.0694444444444444,29.8049137311049,3.80678466805065
142,0.236881092244804,0,195.406154700141,0.0547945205479452,37.0198229374249,5.06956037109583
145,0.221621109241414,0,262.343633884833,0.0405405405405406,56.8779763109877,7.43661661341647
148,0.206164705348358,0,355.505540932833,0.0266666666666666,76.2046527277004,9.91824712734809
