"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.0666847551230155,0,0.988213373041501,0,0.000538544095429649,0.000538544095429649
4,0.150962801100858,0,0.979093786763312,0,0.00637212171258182,0.00405888945405993
7,0.145317148391416,0,0.964230629705321,0,0.0111168502458637,0.00571648011418355
10,0.163264783170434,0,0.923735080797378,0.181818181818182,0.0163531185269682,0.00752394537222532
13,0.176761103297284,0,0.898242405592323,0.142857142857143,0.017901845042651,0.00733588260107408
16,0.16626796427761,0,0.886917863577786,0.117647058823529,0.0241421524238967,0.00897487670068112
19,0.162312450688853,0,0.861407623669936,0.1,0.0304727263754667,0.0101394557636475
22,0.15330780144506,0,0.82314402809336,0.0869565217391305,0.0354229223206043,0.0108259586769257
25,0.158625686954059,0,0.800561439263664,0.0769230769230769,0.040794735999562,0.0115855200301505
28,0.16488860314324,0,0.777308332092737,0.0689655172413793,0.0470003134900247,0.0127885222217121
31,0.16810216822852,0,0.745013433640108,0.0625,0.0558420992503771,0.0142559934560996
34,0.170814638806026,0,0.718173675415873,0.0857142857142857,0.0612801239509108,0.0150214469588422
37,0.175427211607103,0,0.699875490905467,0.102564102564103,0.0700127197834173,0.0161728173571386
40,0.183868119397036,0,0.682660310252271,0.0952380952380952,0.078270555776504,0.0182386553266358
43,0.181939086650312,0,0.670556987427578,0.0888888888888889,0.0857175829118309,0.0183004189599414
46,0.182307620604732,0,0.671114006809676,0.0833333333333334,0.0952510788712305,0.0195659352488645
49,0.179304910303277,0,0.713444446414827,0.0784313725490197,0.105082292939078,0.0209932837476715
52,0.188068721161793,0,0.753161084676879,0.0740740740740741,0.116116645931503,0.0227460427134331
55,0.179736791240632,0,0.837968830322343,0.0701754385964912,0.127422401383495,0.0241134409495884
58,0.183374910477662,0,0.901778449627507,0.0666666666666667,0.139674691690819,0.0252819608580336
61,0.184455900912165,0,0.95426996710951,0.0634920634920635,0.148762454157861,0.0261983511780263
64,0.193751097345345,0,1.00603367363454,0.0606060606060606,0.163435093149755,0.0284214632756232
67,0.198261139440494,0,1.0733163299236,0.0579710144927537,0.178458200941338,0.0298966522171326
70,0.200705031599125,0,1.19146974988295,0.0555555555555556,0.188043458694826,0.031496648022994
73,0.194029665019616,0,1.30804376700731,0.0533333333333333,0.208102804601761,0.0347579704763643
76,0.182504106069851,0,1.50426567322717,0.0512820512820513,0.223850467775025,0.0357233203465711
79,0.183856779181119,0,1.69881820297464,0.0493827160493827,0.244818801965071,0.038347766641482
82,0.181100458598815,0,1.93775130269671,0.0476190476190477,0.269143722075036,0.0408322506399392
85,0.176637562655103,0,2.20315148866005,0.0459770114942529,0.288776259302453,0.0430511534559454
88,0.183498530803128,0,2.52197377113195,0.0444444444444444,0.306738114782598,0.0448192417500891
91,0.176617010198502,0,2.86434212337933,0.043010752688172,0.344820144936214,0.0497454232734046
94,0.198554170199357,0,3.28240503466669,0.0416666666666666,0.389719610764683,0.0536259046311359
97,0.195067999091496,0,3.77014985461657,0.0404040404040404,0.428880664755842,0.0591557314404105
100,0.192742616548543,0,4.31056332185811,0.0392156862745098,0.475061309636197,0.0649680771830427
103,0.188247597614261,0,5.0795141009174,0.0380952380952381,0.558654843253148,0.076145479604862
106,0.188417840032444,0,6.14691499225597,0.0370370370370371,0.647914169695311,0.0851065294034448
109,0.183219770521808,0,7.56255977531644,0.036036036036036,0.70397646208095,0.0912238342518482
112,0.186534804145321,0,9.56448809923323,0.0350877192982456,0.867598668236612,0.10789216551461
115,0.185852902687986,0,11.714311344216,0.0172413793103449,1.03917519426341,0.128854869065852
118,0.182739477999529,0,14.8188742363252,0.0333333333333333,1.38057850046367,0.168290019605726
121,0.174939986727839,0,17.8744703072719,0.032520325203252,1.57486561482698,0.192287498056221
124,0.177485353469759,0,20.9192203160208,0.0317460317460317,1.78303104665733,0.215288969519657
127,0.175087358835987,0,25.6835221303118,0.0310077519379846,2.36540736161324,0.280580331257798
130,0.190525379890535,0,30.3946190352573,0.0303030303030303,2.68786308664191,0.311307575679468
133,0.185950203985782,0,35.9672249578011,0.0296296296296297,2.82316687994315,0.331867462597572
136,0.191632296955769,0,41.8906358454561,0.0289855072463768,3.17196817865845,0.364495713656334
139,0.186565588910434,0,46.7144100472954,0.0283687943262412,3.24780047841262,0.370521969479156
142,0.215541834361706,0,51.2083900888162,0.0277777777777778,3.4494085795306,0.39705585002328
145,0.20314909241032,0,54.714037581807,0.0272108843537415,3.85044806814214,0.429845898199416
148,0.201620903257444,0,58.4577176738505,0.0134228187919463,3.71739028595715,0.403816644623056
