"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.0418024808702749,0,0.990667968009134,0,0.000270148625951741,0.000270148625951741
4,0.201783161459306,0,0.966288450513541,0,0.00654603566231766,0.00416907006595533
7,0.162212900680132,0,0.929834516788161,0,0.0106593956483033,0.00523899709041657
10,0.184257220064762,0,0.895833456006476,0,0.0165634137451444,0.00735303519718405
13,0.173124875859934,0,0.852881472800431,0.142857142857143,0.0228309098425365,0.00874269094398985
16,0.171552843343075,0,0.779681388413136,0.117647058823529,0.0302506786504466,0.0100813311038923
19,0.178253129332994,0,0.709227133467558,0.1,0.0379059112909493,0.011552034561879
22,0.180181350692194,0,0.667572461891447,0.0869565217391305,0.0449050867321008,0.0130057745617232
25,0.191597925590166,0,0.620473991854568,0.0769230769230769,0.0538190299193868,0.0147107655495131
28,0.184984145373226,0,0.57944137367131,0.0689655172413793,0.0594874103754641,0.0152757865290106
31,0.187315321942818,0,0.528609042781406,0.0625,0.0692022163737301,0.0168626840954302
34,0.18544310392324,0,0.544841736897866,0.0571428571428572,0.0785360018493373,0.0185446684527656
37,0.183353305342062,0,0.619073858009998,0.0526315789473685,0.0892633070999197,0.0199106817144106
40,0.187975810384884,0,0.711878043904129,0.0487804878048781,0.103618080749989,0.0215967465887155
43,0.194668318535095,0,0.835875229787477,0.0454545454545454,0.108156791087659,0.0227047655431635
46,0.188843707393953,0,0.899943289252572,0.0425531914893617,0.118033944834364,0.0228528238187724
49,0.194976325494215,0,1.0271835200357,0.04,0.135801150559134,0.0260657574273372
52,0.195840790871541,0,1.15994570584908,0.0377358490566038,0.155304333637667,0.0284226216030878
55,0.193070085212238,0,1.3439768314045,0.0357142857142857,0.1695113904355,0.030307080807975
58,0.190548899360997,0,1.61462918682182,0.0338983050847458,0.193686884585203,0.0334667659939564
61,0.190708602689121,0,1.91736012039239,0.032258064516129,0.209512387843755,0.0352802687711555
64,0.18717961660384,0,2.41011313031644,0.0307692307692308,0.235432974235836,0.0394624130706933
67,0.189159973341241,0,2.86654203069408,0.0294117647058824,0.254527507529284,0.0405542342390254
70,0.185296983616234,0,3.82158341840884,0.028169014084507,0.309794514669456,0.0483116971304179
73,0.189663131841478,0,4.92479771737943,0.027027027027027,0.377771263798647,0.0591190390613015
76,0.191466671032618,0,6.19396123166529,0.025974025974026,0.442244512260919,0.0651835930939296
79,0.195210815047005,0,8.11446884088904,0.025,0.564719203583291,0.0825856967746492
82,0.206544020306732,0,10.1053721296542,0.0240963855421686,0.6725234733932,0.103765972845924
85,0.192352233847666,0,13.3977145745606,0.0232558139534884,0.932312675777047,0.148284808705244
88,0.202078638615121,0,17.6904266777235,0.0224719101123596,1.43928310605351,0.232605727902469
91,0.21317165531564,0,24.2342603509225,0.0217391304347826,1.96747172999484,0.340804797591696
94,0.233162516368032,0,33.4892706898528,0.0210526315789473,2.71593591965174,0.472341739026529
97,0.231009447169218,0,42.4207135464574,0.0204081632653061,2.94190832885823,0.504414567733613
100,0.234369840752751,0,48.6331382682462,0.0198019801980198,3.19482400023673,0.523268527993826
