"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.0415605175039897,0,0.990647530804442,0,0.000227435696715282,0.000227435696715282
4,0.194003556173002,0,0.963053806892403,0,0.00699941461177496,0.00431583320309992
7,0.175269160884639,0,0.926319205235503,0,0.0112444231370363,0.00563189886211083
10,0.167968555363935,0,0.897515603659466,0,0.0170545825355835,0.0072302720250623
13,0.174880933342833,0,0.84253753334168,0.142857142857143,0.0226646497186915,0.00873769036992833
16,0.178027952974799,0,0.784729070516079,0.117647058823529,0.0318774852313413,0.0107991411185864
19,0.182067136050621,0,0.714805868108009,0.1,0.0391080667041579,0.0123080626965525
22,0.210392634422553,0,0.657616751178424,0.0869565217391305,0.0473459965689642,0.0136812933124214
25,0.199037966001496,0,0.600129585736955,0.0769230769230769,0.0565712104989774,0.0155595629333873
28,0.188324917977065,0,0.548144686347999,0.0689655172413793,0.0620684794508384,0.015974111475969
31,0.192181679673424,0,0.534229669470128,0.0625,0.0687945985679128,0.016753713254451
34,0.191228091377476,0,0.540015144280937,0.0571428571428572,0.0806378220122686,0.0188984361449626
37,0.192631893960724,0,0.61466140303298,0.0526315789473685,0.0929583325543469,0.0202884336338752
40,0.188031707673918,0,0.750495978575964,0.0487804878048781,0.0993176856522134,0.0209735985768457
43,0.191399839272475,0,0.874530361448217,0.0454545454545454,0.110687111216495,0.0220895422306486
46,0.184329905829504,0,0.9754022961771,0.0425531914893617,0.118745365495102,0.023503119212041
49,0.184843204342717,0,1.11538091601294,0.04,0.135119954380473,0.0253122723826222
52,0.182066099522375,0,1.28029456666626,0.0377358490566038,0.148929467292261,0.027188595965599
55,0.189997946791464,0,1.50534854918096,0.0357142857142857,0.160951361625361,0.0289754975769576
58,0.185189041986598,0,1.75726590647949,0.0338983050847458,0.188168572628513,0.0325949660818468
61,0.180826737752429,0,2.06474331917149,0.032258064516129,0.212068493832482,0.0350407570215728
64,0.181107815506651,0,2.46219745664566,0.0307692307692308,0.221806867356782,0.0372965868408385
67,0.177999030058498,0,2.96422277374835,0.0294117647058824,0.248834924087894,0.0393627018559205
70,0.177765351119645,0,3.59194573320885,0.028169014084507,0.300166956490818,0.04751691992409
73,0.184819993006921,0,4.53895668237161,0.027027027027027,0.345347304129372,0.0525248691149666
76,0.191892219344704,0,5.87020644035311,0.025974025974026,0.40329055401493,0.0590779235498398
79,0.192627111691266,0,7.19297682804129,0.025,0.450430705389329,0.0650552500742703
82,0.188539546817671,0,8.87648394334689,0.0240963855421686,0.561099168783975,0.0774469344483296
85,0.198919629641188,0,11.8253598119194,0.0232558139534884,0.876467918964199,0.121386801141028
88,0.191650686028773,0,14.6445377758791,0.0224719101123596,0.991980125705529,0.13349557580424
91,0.202313293595242,0,17.8403100889816,0.0217391304347826,1.11606004780445,0.148623560556635
94,0.198532227974845,0,20.5112971951045,0.0210526315789473,1.14223558524607,0.153014103781125
97,0.19452955865492,0,22.5152542824784,0.0204081632653061,1.32151996791742,0.174577463832433
