"k","SharpeRatio","less_than_k","turnover","selection_instability","weight_instability_l1","weight_instability_l2"
1,0.156792224348559,0,0.967023943537826,0,0.000333052781830524,0.000333052781830524
4,0.183630869238691,0,1.06910957907417,0,0.00311666145776622,0.001865654365484
7,0.195876599965672,0,2.03565842412118,0,0.00860190287541582,0.00406749132165582
10,0.178550711809868,0,3.32565679315334,0,0.0147813890582573,0.00583264411996254
13,0.176150361242358,0,3.8463747933155,0.142857142857143,0.0334602278824075,0.0129282783237364
16,0.133996224505453,0,4.75614309291075,0.117647058823529,0.042191855050272,0.0156359624274882
19,0.155542392444462,0,5.31245092986008,0.1,0.0534361853632753,0.017910283073451
22,0.110707091528286,0,5.98826463302259,0.0869565217391305,0.0615066253801355,0.0207571385416267
25,0.128891015337631,0,6.89768190038248,0.0769230769230769,0.0656749106237188,0.0204683677737882
28,0.119370608725667,0,7.78916530620129,0.0689655172413793,0.105827238454729,0.033608686316091
31,0.135133586273273,0,8.19641504880723,0.0625,0.112239460152899,0.0347688315298077
34,0.184537396230646,0,8.85100474487659,0.0571428571428572,0.119002420609468,0.0342898755964188
37,0.148357010110948,0,9.36757197393581,0.0526315789473685,0.128344042314332,0.0343826561774295
40,0.145839995208178,0,10.2455680676341,0.0487804878048781,0.150140935753921,0.0411617046297961
43,0.180507114124055,0,11.0733290577447,0.0454545454545454,0.187371092141012,0.0478387570322283
46,0.230000790286932,0,10.7614594137257,0.0425531914893617,0.188271606509254,0.0477285038304384
49,0.165183237716421,0,12.1197292873495,0.04,0.196526803986488,0.0459256364812169
52,0.182842208987612,0,11.7385754484538,0.0377358490566038,0.218827475760923,0.0513916927327992
55,0.136008655876886,0,13.3626027050382,0.0357142857142857,0.202824789448517,0.0426900540144899
58,0.185320128986543,0,13.476448863876,0.0338983050847458,0.247515626399062,0.0528459531150829
61,0.216888870844362,0,13.9116061825974,0.032258064516129,0.25218473930133,0.0545437526047171
64,0.229628644907151,0,13.338554779716,0.0307692307692308,0.282321925108771,0.0596392403750859
67,0.208902952993243,0,15.0790557112831,0.0294117647058824,0.31353565044113,0.0660849899535611
70,0.215804151304616,0,15.3901906684783,0.028169014084507,0.295483343248164,0.0588959514203399
73,0.218056582254107,0,14.5014974745742,0.027027027027027,0.359850269444613,0.069750167770678
76,0.243972179803861,0,15.4367483340518,0.025974025974026,0.357627588017471,0.065679317425031
79,0.195004787740486,0,14.7807455210024,0.025,0.379123128909579,0.0638119881460057
82,0.238546240005351,0,14.2871989592066,0.0240963855421686,0.340373336884335,0.0558332684441114
85,0.26967769719784,0,15.4259151196861,0.0232558139534884,0.358371864390244,0.0596111107759573
88,0.226987018160407,0,15.5897679780679,0.0224719101123596,0.445701248021288,0.0725711270800715
91,0.210322688327895,0,16.9050555205982,0.0217391304347826,0.561275626237284,0.0932766470363091
94,0.199347356439961,0,17.4608588495736,0.0210526315789473,0.6795979299775,0.120145977382791
97,0.227035118000353,0,17.310857337291,0.0204081632653061,0.773617683872052,0.131493684647656
