"T_in","k","sharpe_oos","turnover_median","weight_instability_L1_median","weight_instability_L2_median","selection_instability_mean","nnz_mismatch_count"
600,3,1.32348828500795,13.0163528546733,0.161573592552822,0.138418615455728,0,0
600,4,1.3141342612791,4.35901481266417,0.123781980456936,0.0793862753991685,0.0280701754385965,0
600,5,1.34717580145415,7.94440060846214,0.139966131858456,0.0774745343055266,0.0175438596491228,0
600,6,1.43418239678704,15.535804020817,0.302230218107182,0.156224477553857,0.0150375939849624,0
600,7,1.4329513659787,19.3557308665022,0.413137472629827,0.199219439926649,0.0462962962962963,0
600,8,1.42570904340157,23.8211477581574,0.657903815858142,0.269236502797564,0.0350877192982456,0
600,9,1.45029298503176,24.3720712117269,0.71543043339154,0.333371907830584,0.056140350877193,0
600,10,1.48658052408526,25.7822743980295,0.851748571671643,0.359026651850348,0.0574162679425837,0
600,11,1.479286928799,31.5319115421629,0.903065674701807,0.3881483744115,0.0263157894736842,0
600,12,1.48233489514004,32.6463528687548,1.15617828607922,0.418333702104691,0.0647773279352227,0
600,13,1.54562024788417,35.8350318171594,1.10205997588993,0.43767738957807,0.0563074352548037,0
600,14,1.54766932635333,37.7157630158891,1.53029837145605,0.506500736099333,0.0669590643274854,0
600,15,1.5369405658028,39.9076388885592,1.76300094346727,0.562060410856129,0.0688854489164087,0
600,16,1.52808409959594,41.8432050944235,1.59123294048529,0.548543028062868,0.0782382512869722,0
600,17,1.53442000800427,43.4353075494531,1.6800262242177,0.536409542161376,0.0890676984859811,0
600,18,1.5323228572626,44.9780018418149,1.87718725378246,0.573032759375427,0.0720485424086532,0
600,19,1.53924794842545,48.102114892438,2.09396534219682,0.592405801752454,0.0653527758790917,0
600,20,1.53173738516518,49.8439645199394,2.57948453251361,0.728162596390307,0.0542462876558986,0
600,21,1.5318378107547,52.9375152508186,1.95314972611555,0.639848948699569,0.0612301504750017,0
600,22,1.52588865252514,55.5524460752616,2.54411173102576,0.706982614094197,0.049580472921434,0
600,23,1.52489648281787,58.9696220790408,2.77368958310436,0.750811590382663,0.0405847953216374,0
600,24,1.53022495925047,61.2387496027582,2.82551348994824,0.766806762581759,0.0441685410106463,0
600,25,1.52593166755641,62.8345875932839,2.91351368349349,0.760086985974859,0.0635991688623267,0
600,26,1.52178041521212,64.5733731269698,3.23635533086545,0.841589351319809,0.0587676086768646,0
