"k","lasso"
3,0.131071896653011
5,0.13865206944429
7,0.143309212103902
9,0.12625855631563
11,0.144542147624736
13,0.148562292587554
15,0.166602300584468
17,0.160673678165625
19,0.1629445503187
21,0.165697357406776
23,0.174242237836642
25,0.168435128724812
27,0.171073363626419
29,0.163761589510485
31,0.167150907571923
33,0.169410162525808
35,0.170420797225028
37,0.165272148546539
39,0.168374701301188
41,0.17148837155501
43,0.176682937510921
45,0.176684173311576
47,0.174094861555041
49,0.174165281019015
51,0.181657558621056
53,0.183620144311452
55,0.186670963177951
57,0.181216250356948
59,0.188487773996743
61,0.189860668781392
63,0.193209056842832
65,0.190405636118921
67,0.192988110352564
69,0.191561415545979
71,0.183293062366178
73,0.169099106843015
75,0.163856665773899
77,0.180398491042777
79,0.149085973439742
81,0.1477576609561
83,0.141855074482777
85,0.148212499275289
87,0.156209914779104
89,0.152985557430604
91,0.120655922484935
93,0.129527561530156
95,0.138170348977156
97,0.132564247827025
99,0.147440379251271
