"k","lasso"
3,0.104201407148966
5,0.126438731737014
7,0.13315695459764
9,0.133701495772671
11,0.139386747168192
13,0.14032645312806
15,0.135875478205396
17,0.1374496867688
19,0.142516953538849
21,0.139769425927647
23,0.147153089198518
25,0.148576518902702
27,0.148219041566701
29,0.150961504177678
31,0.154212293176277
33,0.155869877995842
35,0.149325258867292
37,0.152943413331712
39,0.151509962066736
41,0.154842650099499
43,0.15309489163246
45,0.159624809675217
47,0.160561926876581
49,0.160971354956434
51,0.158846428423396
53,0.15675544800451
55,0.157649691068362
57,0.152989566550567
59,0.148919131951356
61,0.145221887608598
63,0.149209223143371
65,0.145931795752519
67,0.152466630292326
69,0.154630116126647
71,0.156440953852854
73,0.152790838911206
75,0.153482299880403
77,0.156158283745607
79,0.154119876471681
81,0.155427011406116
83,0.157437186785242
85,0.157121309186084
87,0.15621434992789
89,0.155966397120942
91,0.155589221362049
93,0.157961075960774
95,0.15863977831035
97,0.15043445949669
99,0.153049487222839
